ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA	CONCEPTICON_ID	GLOTTOLOG
#
4275	Merina_Malagasy	Eight	valo	v a l o	105	451 997 554 887	1705	plat1254
4276	Thao	Eight	kaspat	k a s p a t	821	838 997 89 291 997 120	1705	thao1240
4277	Palauan	Eight	kleiai	k l e i a i	1394	838 554 1089 1076 997 1076	1705	pala1344
4278	Tunjung	Eight	kaluŋk	k a l u ŋ k	1479	838 997 554 868 801 838	1705	tunj1244
4279	Bare'e	Eight	uaju	u a j u	1551	868 997 570 868	1705	pamo1252
4280	Iban	Eight	lapan	l a p a n	68	554 997 291 997 107	1705	iban1264
4281	Berawan_Long_Terawan	Eight	mareh	m a r e h	1697	241 997 153 1089 405	1705	west2564
4282	Moken	Eight	waloj	w a l o j	105	462 997 554 887 570	1705	moke1242
4283	Hanunoo	Eight	walu	w a l u	105	462 997 554 868	1705	hanu1241
4284	Tetum	Eight	ualu	u a l u	1928	868 997 554 868	1705	tetu1246
4285	Tsou	Eight	voeu	v o e u	105	451 887 1089 868	1705	tsou1248
4286	Tsou	Eight	woru	w o r u	105	462 887 153 868	1705	tsou1248
4287	Tsou	Eight	mevarou	m e v a r o u	105	241 1089 451 997 153 887 868	1705	tsou1248
4288	Central_Amis	Eight	falu	f a l u	105	452 997 554 868	1705	amis1246
4289	Central_Amis	Eight	falo	f a l o	105	452 997 554 887	1705	amis1246
4290	Chamorro	Eight	gualo	ɡ u a l o	2592	831 868 997 554 887	1705	cham1312
4291	Chamorro	Eight	gualguijai	ɡ u a l ɡ u i j a i	2593	831 868 997 554 831 868 1076 570 997 1076	1705	cham1312
#
4335	Palauan	Fifty	okejim	o k e j i m	1398	887 838 1089 570 1076 241	1717	pala1344
4336	Bare'e	Fifty	alima#mpuju	a l i m a _ m p u j u	1555	997 554 1076 241 997 1190 241 291 868 570 868	1717	pamo1252
4337	Iban	Fifty	limaʔ#puluh	l i m a ʔ _ p u l u h	1630	554 1076 241 997 409 1190 291 868 554 868 405	1717	iban1264
4338	Berawan_Long_Terawan	Fifty	dimah#pulo	d i m a h _ p u l o	1700	145 1076 241 997 405 1190 291 868 554 887	1717	west2564
4339	Tetum	Fifty	limanulu	l i m a n u l u	1931	554 1076 241 997 107 868 554 868	1717	tetu1246
4340	Chamorro	Fifty	limijai#na#fulu	l i m i j a i _ n a _ f u l u	2599	554 1076 241 1076 570 997 1076 1190 107 997 1190 452 868 554 868	1717	cham1312
#
4223	Merina_Malagasy	Five	dimj	d i m j	134	145 1076 241 570	493	plat1254
4224	Thao	Five	riːmaʔ	r iː m a ʔ	134	153 1068 241 997 409	493	thao1240
4225	Thao	Five	hrima	h r i m a	134	405 153 1076 241 997	493	thao1240
4226	Palauan	Five	kleim	k l e i m	134	838 554 1089 1076 241	493	pala1344
4227	Tunjung	Five	limaq	l i m a q	134	554 1076 241 997 757	493	tunj1244
4228	Bare'e	Five	alima	a l i m a	134	997 554 1076 241 997	493	pamo1252
4229	Iban	Five	limaʔ	l i m a ʔ	134	554 1076 241 997 409	493	iban1264
4230	Berawan_Long_Terawan	Five	dimːah	d i mː a h	134	145 1076 244 997 405	493	west2564
4231	Moken	Five	lemaʔ	l e m a ʔ	134	554 1089 241 997 409	493	moke1242
4232	Hanunoo	Five	lima	l i m a	134	554 1076 241 997	493	hanu1241
4233	Tetum	Five	lima	l i m a	134	554 1076 241 997	493	tetu1246
4234	Tsou	Five	eimo	e i m o	134	1089 1076 241 887	493	tsou1248
4235	Tsou	Five	rimo	r i m o	134	153 1076 241 887	493	tsou1248
4236	Nias	Five	lima	l i m a	134	554 1076 241 997	493	nias1242
4237	Central_Amis	Five	lima	l i m a	134	554 1076 241 997	493	amis1246
4238	Central_Amis	Five	lima	l i m a	134	554 1076 241 997	493	amis1246
4239	Chamorro	Five	lima	l i m a	134	554 1076 241 997	493	cham1312
#
4200	Maloh	Four	ampat	a m p a t	358	997 241 291 997 120	1500	emba1238
4201	Merina_Malagasy	Four	éfatra	e f a t r a	358	1089 452 997 120 153 997	1500	plat1254
4202	Thao	Four	pat	p a t	358	291 997 120	1500	thao1240
4203	Palauan	Four	oaŋ	o a ŋ	-358	887 997 801	1500	pala1344
4204	Tunjung	Four	pat	p a t	358	291 997 120	1500	tunj1244
4205	Bare'e	Four	opo	o p o	358	887 291 887	1500	pamo1252
4206	Bare'e	Four	pata	p a t a	358	291 997 120 997	1500	pamo1252
4207	Iban	Four	ampat	a m p a t	358	997 241 291 997 120	1500	iban1264
4208	Iban	Four	empat	e m p a t	358	1089 241 291 997 120	1500	iban1264
4209	Berawan_Long_Terawan	Four	paʔ	p a ʔ	358	291 997 409	1500	west2564
4210	Moken	Four	paːt	p aː t	358	291 1004 120	1500	moke1242
4211	Hanunoo	Four	upat	u p a t	358	868 291 997 120	1500	hanu1241
4212	Wuna	Four	paʔ	p a ʔ	358	291 997 409	1500	muna1247
4213	Mailu	Four	tourai	t o u r a i	2098	120 887 868 153 997 1076	1500	mail1248
4214	Tsou	Four	sʉptʉ	s ʉ p t ʉ	358	89 968 291 120 968	1500	tsou1248
4215	Nias	Four	õfa	õ f a	358	883 452 997	1500	nias1242
4216	Central_Amis	Four	sepat	s e p a t	358	89 1089 291 997 120	1500	amis1246
4217	Central_Amis	Four	spat	s p a t	358	89 291 997 120	1500	amis1246
4218	Chamorro	Four	farfatai	f a r f a t a i	2589	452 997 153 452 997 120 997 1076	1500	cham1312
4219	Chamorro	Four	fatfat	f a t f a t	2590	452 997 120 452 997 120	1500	cham1312
4220	Banoni	Four	toatsi	t o a t s i	358	120 887 997 120 89 1076	1500	bann1247
4221	Singhi	Four	pat	p a t	358	291 997 120	1500	baub1235
4222	Banggi	Four	afad	a f a d	358	997 452 997 145	1500	bong1289
#
3788	Maloh	I	iak	i a k	7	1076 997 838	1209	emba1238
3789	Merina_Malagasy	I	iz	i z	7	1076 80	1209	plat1254
3790	Thao	I	jaku	j a k u	7	570 997 838 868	1209	thao1240
3791	Palauan	I	ŋak	ŋ a k	7	801 997 838	1209	pala1344
3792	Tunjung	I	ap	a p	1471	997 291	1209	tunj1244
3793	Bare'e	I	aku	a k u	7	997 838 868	1209	pamo1252
3794	Iban	I	aku	a k u	7	997 838 868	1209	iban1264
3795	Berawan_Long_Terawan	I	akːoh	a kː o h	7	997 832 887 405	1209	west2564
3796	Hanunoo	I	aku	a k u	7	997 838 868	1209	hanu1241
3797	Wuna	I	inodi	i n o d i	697	1076 107 887 145 1076	1209	muna1247
3798	Tetum	I	hau	h a u	7	405 997 868	1209	tetu1246
3799	Mailu	I	ia	i a	-7	1076 997	1209	mail1248
3800	Tsou	I	ao	a o	7	997 887	1209	tsou1248
3801	Nias	I	jaʔo	j a ʔ o	-7	570 997 409 887	1209	nias1242
3802	Central_Amis	I	aku	a k u	7	997 838 868	1209	amis1246
3803	Central_Amis	I	kako	k a k o	7	838 997 838 887	1209	amis1246
3804	Chamorro	I	guahu	ɡ u a h u	7	831 868 997 405 868	1209	cham1312
3805	Banoni	I	na	n a	-7	107 997	1209	bann1247
3806	Singhi	I	aku	a k u	7	997 838 868	1209	baub1235
3807	Banggi	I	ou	o u	7	887 868	1209	bong1289
#
4292	Merina_Malagasy	Nine	sivj	s i v j	339	89 1076 451 570	1483	plat1254
4293	Thao	Nine	tamaso	t a m a s o	695	120 997 241 997 89 887	1483	thao1240
4294	Palauan	Nine	klteiu	k l t e i u	1395	838 554 120 1089 1076 868	1483	pala1344
4295	Tunjung	Nine	tiant	t i a n t	1480	120 1076 997 107 120	1483	tunj1244
4296	Bare'e	Nine	sasio	s a s i o	1552	89 997 89 1076 887	1483	pamo1252
4297	Iban	Nine	semilan	s e m i l a n	1627	89 1089 241 1076 554 997 107	1483	iban1264
4298	Berawan_Long_Terawan	Nine	gelpej	ɡ e l p e j	1698	831 1089 554 291 1089 570	1483	west2564
4299	Moken	Nine	sewaːj	s e w aː j	339	89 1089 462 1004 570	1483	moke1242
4300	Hanunoo	Nine	sijam	s i j a m	461	89 1076 570 997 241	1483	hanu1241
4301	Tetum	Nine	sia	s i a	1929	89 1076 997	1483	tetu1246
4302	Tsou	Nine	sio	s i o	339	89 1076 887	1483	tsou1248
4303	Tsou	Nine	sijo	s i j o	339	89 1076 570 887	1483	tsou1248
4304	Tsou	Nine	cʰuga	cʰ u ɡ a	2225	604 868 831 997	1483	tsou1248
4305	Central_Amis	Nine	siwa	s i w a	339	89 1076 462 997	1483	amis1246
4306	Central_Amis	Nine	siwa	s i w a	339	89 1076 462 997	1483	amis1246
4307	Chamorro	Nine	sigua	s i ɡ u a	2594	89 1076 831 868 997	1483	cham1312
4308	Chamorro	Nine	siguijai	s i ɡ u i j a i	2595	89 1076 831 868 1076 570 997 1076	1483	cham1312
#
4133	Maloh	One	sera	s e r a	676	89 1089 153 997	1493	emba1238
4134	Maloh	One	insa	i n s a	676	1076 107 89 997	1493	emba1238
4135	Merina_Malagasy	One	isa	i s a	676	1076 89 997	1493	plat1254
4136	Thao	One	tata	t a t a	-676	120 997 120 997	1493	thao1240
4137	Palauan	One	taŋ	t a ŋ	676	120 997 801	1493	pala1344
4138	Tunjung	One	caʔ	c a ʔ	676	606 997 409	1493	tunj1244
4139	Tunjung	One	bueq	b u e q	1475	257 868 1089 757	1493	tunj1244
4140	Bare'e	One	isa	i s a	676	1076 89 997	1493	pamo1252
