ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_COGNATE_CLASS	PARTIAL	PARTIALID	CLPA	CONCEPTICON_ID	GLOTTOLOG
#
1516	Changsha	I	ŋo⁴¹	ŋ o ⁴¹	1028	我	我	826	801 887 1177	1209	xian1251
1517	Guiyang	I	ŋo⁴²	ŋ o ⁴²	1028	我	我	826	801 887 1175	1209	mand1415
1518	Xiamen	I	gwa⁵³	ɡ w a ⁵³	1028	我	我	826	831 462 997 1185	1209	minn1241
1519	Hefei	I	ʊ²⁴	ʊ ²⁴	1028	我	我	826	904 1156	1209	mand1415
1520	Jinan	I	və⁵⁵	v ə ⁵⁵	1028	我	我	826	451 1022 1189	1209	mand1415
1521	Jinan	I	ŋã⁵⁵	ŋ ã ∼ ⁵⁵	1029	俺	俺	827	801 1014 1191 1189	1209	mand1415
1522	Hangzhou	I	ŋo⁵³	ŋ o ⁵³	1028	我	我	826	801 887 1185	1209	wuch1236
1523	Guangzhou	I	ŋɔ²³	ŋ ɔ ²³	1028	我	我	826	801 916 1151	1209	yuec1235
1524	Nanchang	I	ŋo²¹³	ŋ o ²¹³	1028	我	我	826	801 887 1154	1209	ganc1239
1525	Chengdu	I	ŋo⁵³	ŋ o ⁵³	1028	我	我	826	801 887 1185	1209	mand1415
1526	Taoyuan	I	ɣɤ⁵³	ɣ ɤ ⁵³	1028	我	我	826	780 947 1185	1209	hakk1236
1527	Taoyuan	I	æ̃⁵³	æ̃ ∼ ⁵³	1029	俺	俺	827	1086 1191 1185	1209	hakk1236
1528	Shexian	I	a³¹	a ³¹	1030	卬	卬	828	997 1162	1209	hui1242
1529	Beijing	I	wo²¹⁴	w o ²¹⁴	1028	我	我	826	462 887 1155	1209	mand1415
1530	Kunming	I	o⁵³	o ⁵³	1028	我	我	826	887 1185	1209	mand1415
1531	Shanghai	I	ŋu¹³	ŋ u ¹³	1028	我	我	826	801 868 1168	1209	wuch1236
#
1920	Meixian	a while	ha⁵³	h a ⁵³	78	听一下	下	1074	405 997 1185	726	hakk1236
1921	Changsha	a while	xa¹¹xaʦɿ	x a ¹¹ x a ⁰ ts ɿ	79	听一下下子	下下子	1074 1074 1075	778 997 1169 778 997 1171 15 945	726	xian1251
1922	Guiyang	a while	ʦen²¹³	ts e n ²¹³	81	听一阵	阵	1076	15 1089 107 1154	726	mand1415
1923	Guiyang	a while	xa²¹³	x a ²¹³	78	听一下	下	1074	778 997 1154	726	mand1415
