ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_FORM	CLPA	CONCEPTICON_ID	GLOTTOLOG
#
1693	Urdu	I	mɛ̃	m ɛ̃	62	mɛ̃	241 1123	1209	urdu1245
1694	Armenian_Mod	I	jɛs	j ɛ s	62	jɛs	570 1121 89	1209	nucl1235
1695	Czech	I	jaː	j aː	62	jaː	570 1004	1209	czec1258
1696	German	I	ɪç	ɪ ç	62	ɪç	1110 583	1209	stan1295
1697	Italian	I	io	i o	62	'io	1076 887	1209	ital1282
1698	Swedish	I	jɑːɡ	j ɑː ɡ	62	ˈjɑːɡ, ˈjɑː	570 954 831	1209	swed1254
1699	Breton_ST	I	meː	m eː	62	me:	241 1091	1209	bret1244
1700	Catalan	I	ʒɔ	ʒ ɔ	62	ʒɔ, jɔ	685 916	1209	stan1289
1701	Danish	I	jɑj	j ɑ j	62	jɑj	570 952 570	1209	dani1285
1702	Dutch_List	I	ɪk	ɪ k	62	ɪk	1110 838	1209	dutc1256
1703	English	I	aɪ	aɪ	62	aɪ	1039	1209	stan1293
1704	French	I	ʒə	ʒ ə	62	ʒə	685 1022	1209	stan1290
1705	Greek_Mod	I	e̞ɣo̞	e̞ ɣ o̞	62	e̞ˈɣo̞	1106 780 878	1209	mode1248
1706	Marathi	I	miː	m iː	62	mi:	241 1068	1209	mara1378
1707	Polish	I	ja	j a	62	ja	570 997	1209	poli1260
1708	Portuguese_ST	I	eu	eu	62	eu	1135	1209	port1283
1709	Russian	I	ja	j a	62	ja	570 997	1209	russ1263
1710	Spanish	I	ʝo	ʝ o	62	ʝo	580 887	1209	stan1288
1711	Bihari	I	həm	h ə m	62	həm	405 1022 241	1209	mait1250
1712	Bihari	I	mẽ	m ẽ	62	mẽ	241 1090	1209	mait1250
1713	Oriya	I	mũ	m ũ	62	mũ	241 866	1209	oriy1255
#
1	English	all	ɔːl	ɔː l	175	ɔ:l	914 554	98	stan1293
2	German	all	alə	a l ə	175	'alə	997 554 1022	98	stan1295
3	Armenian_Mod	all	boloɾ	b o l o ɾ	566	boˈloɾ	257 887 554 887 66	98	nucl1235
4	Greek_Mod	all	o̞lo̞s	o̞ l o̞ s	965	ˈo̞lo̞s	878 554 878 89	98	mode1248
5	Italian	all	tutto	t u tː o	543	'tutto	120 868 130 887	98	ital1282
6	Marathi	all	səɾwə	s ə ɾ w ə	748	'səɾwə, 'səgɭə	89 1022 66 462 1022	98	mara1378
7	Danish	all	ɛl	ɛ l	175	ɛl	1121 554	98	dani1285
8	Portuguese_ST	all	toðu	t o ð u	543	ˈtoðu	120 887 419 868	98	port1283
9	French	all	tu	t u	543	tu	120 868	98	stan1290
10	Russian	all	vsʲo	v sʲ o	1102	vsʲo	451 90 887	98	russ1263
11	Spanish	all	toðo	t o ð o	543	'toðo	120 887 419 887	98	stan1288
12	Swedish	all	ala	a l a	175	ˈala	997 554 997	98	swed1254
13	Bihari	all	səb	s ə b	748	səb	89 1022 257	98	mait1250
14	Oriya	all	sɔbɔ	s ɔ b ɔ	748	sɔbɔ	89 916 257 916	98	oriy1255
15	Dutch_List	all	ɑləs	ɑ l ə s	175	'ɑləs	952 554 1022 89	98	dutc1256
16	Czech	all	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	1102	fʃɪxɲɪ	452 683 1110 778 595 1110	98	czec1258
17	Breton_ST	all	ɔl	ɔ l	965	ɔl	916 554	98	bret1244
18	Catalan	all	tot	t o t	543	tot	120 887 120	98	stan1289
19	Urdu	all	səb	s ə b	748	səb	89 1022 257	98	urdu1245
20	Polish	all	kaʒdɨ	k a ʒ d ɨ	3542	ˈkaʒdɨ	838 997 685 145 983	98	poli1260
#
21	Armenian_Mod	and	jɛv	j ɛ v	567	jɛv	570 1121 451	1577	nucl1235
22	Breton_ST	and	a	a	966	a	997	1577	bret1244
23	Catalan	and	i	i	848	i	1076	1577	stan1289
24	Czech	and	a	a	1103	a	997	1577	czec1258
25	Danish	and	ɒw	ɒ w	1303	ɒw, ʌ	900 462	1577	dani1285
26	Dutch_List	and	ɛn	ɛ n	176	ɛn	1121 107	1577	dutc1256
27	English	and	ænd	æ n d	176	ænd	1087 107 145	1577	stan1293
