ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA	CONCEPTICON_ID	GLOTTOLOG
#
1	Miyako	I	ban	b a n	1	257 997 107	1209	miya1259
2	Tōkyō	I	watasi	w a t a s i	2	462 997 120 997 89 1076	1209	toky1238
3	Amami	I	waɴ	w a ɴ	1	462 997 751	1209	naze1238
4	Kyōto	I	wate	w a t e	2	462 997 120 1089	1209	kyot1238
5	Hachijō	I	ware	w a r e	1	462 997 153 1089	1209	hach1238
6	Shuri	I	waɴ	w a ɴ	1	462 997 751	1209	shur1243
7	Kōchi	I	asi	a s i	2	997 89 1076	1209	shik1243
8	Sado	I	ore	o r e	3	887 153 1089	1209	sado1237
9	Oki	I	ora	o r a	3	887 153 997	1209	
10	Kagoshima	I	oiː	o iː	3	887 1068	1209	kyus1238
#
1957	Miyako	alive (live)	nːuʦɨduaɭ	nː u ts ɨ d ua ɭ	454	106 868 15 983 145 930 708	1422	miya1259
1958	Tōkyō	alive (live)	ikiteru	i k i t e r u	455	1076 838 1076 120 1089 153 868	1422	toky1238
1959	Amami	alive (live)	ʔikiʨuri	ʔ i k i tɕ u r i	455	409 1076 838 1076 200 868 153 1076	1422	naze1238
1960	Kyōto	alive (live)	ikiteru	i k i t e r u	455	1076 838 1076 120 1089 153 868	1422	kyot1238
1961	Hachijō	alive (live)	ikite	i k i t e	455	1076 838 1076 120 1089	1422	hach1238
1962	Shuri	alive (live)	ʔiʨiʦoːɴ	ʔ i tɕ i ts oː ɴ	455	409 1076 200 1076 15 880 751	1422	shur1243
1963	Kōchi	alive (live)	ikitʲuː	i k i tʲ uː	455	1076 838 1076 115 860	1422	shik1243
1964	Sado	alive (live)	ikitoru	i k i t o r u	455	1076 838 1076 120 887 153 868	1422	sado1237
1965	Oki	alive (live)	ekeʨoru	e k e tɕ o r u	455	1089 838 1089 200 887 153 868	1422	
1966	Kagoshima	alive (live)	ikiːʨːo	i k iː tːɕ o	455	1076 838 1068 202 887	1422	kyus1238
#
81	Miyako	all	mːna	mː n a	24	244 107 997	98	miya1259
82	Tōkyō	all	miɴna	m i ɴ n a	24	241 1076 751 107 997	98	toky1238
83	Amami	all	ʔaɴxaːri	ʔ a ɴ x aː r i	26	409 997 751 778 1004 153 1076	98	naze1238
84	Kyōto	all	miɴna	m i ɴ n a	24	241 1076 751 107 997	98	kyot1238
85	Hachijō	all	miɴna	m i ɴ n a	24	241 1076 751 107 997	98	hach1238
86	Shuri	all	ɴna	ɴ n a	24	751 107 997	98	shur1243
87	Kōchi	all	miɴna	m i ɴ n a	24	241 1076 751 107 997	98	shik1243
88	Sado	all	miɴna	m i ɴ n a	24	241 1076 751 107 997	98	sado1237
89	Oki	all	ɴːna	ɴ̩ n a	24	752 107 997	98	
90	Kagoshima	all	sukːai	s u kː ai	25	89 868 832 1037	98	kyus1238
#
1268	Miyako	arm	udi	u d i	289	868 145 1076	1673	miya1259
1269	Tōkyō	arm	ude	u d e	289	868 145 1089	1673	toky1238
1270	Amami	arm	xeːnʲa	x eː nʲ a	291	778 1091 101 997	1673	naze1238
1271	Kyōto	arm	teː	t eː	290	120 1091	1673	kyot1238
1272	Hachijō	arm	ude	u d e	289	868 145 1089	1673	hach1238
1273	Shuri	arm	tiː	t iː	290	120 1068	1673	shur1243
1274	Kōchi	arm	ude	u d e	289	868 145 1089	1673	shik1243
1275	Sado	arm	ude	u d e	289	868 145 1089	1673	sado1237
1276	Oki	arm	ode	o d e	289	887 145 1089	1673	
1277	Kagoshima	arm	te	t e	290	120 1089	1673	kyus1238
#
820	Miyako	ash	pazɨ	p a z ɨ	185	291 997 80 983	646	miya1259
821	Tōkyō	ash	hai	h ai	185	405 1037	646	toky1238
822	Amami	ash	hwe	h w e	185	405 462 1089	646	naze1238
823	Kyōto	ash	hai	h ai	185	405 1037	646	kyot1238
824	Hachijō	ash	hia	h ia	185	405 1138	646	hach1238
825	Shuri	ash	hweː	h w eː	185	405 462 1091	646	shur1243
826	Kōchi	ash	hai	h ai	185	405 1037	646	shik1243
827	Sado	ash	hai	h ai	185	405 1037	646	sado1237
828	Oki	ash	ɸeː	ɸ eː	185	226 1091	646	
829	Kagoshima	ash	hei	h ei	185	405 1107	646	kyus1238
#
1397	Miyako	at	n	n	312	107	1461	miya1259
1398	Tōkyō	at	de	d e	313	145 1089	1461	toky1238
1399	Amami	at	naɴθɨ	n a ɴ θ ɨ	313	107 997 751 417 983	1461	naze1238
