ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA	CONCEPTICON_ID	GLOTTOLOG
#
773	North Mansi	I	am	a m	82	997 241	1209	mans1258
774	Middle Lozva Mansi	I	æm	æ m	82	1087 241	1209	mans1258
775	Lower Lozva Mansi	I	am	a m	82	997 241	1209	
776	Pelymka Mansi	I	ɔm	ɔ m	82	916 241	1209	mans1258
777	Konda Mansi	I	ɔm	ɔ m	82	916 241	1209	khan1273
778	Tavda Mansi	I	æm	æ m	82	1087 241	1209	mans1258
779	Vakh Khanty	I	mæː	m æː	82	241 1088	1209	khan1273
780	Vasjugan Khanty	I	mæː	m æː	82	241 1088	1209	khan1273
781	Tremjugan Khanty	I	mæː	m æː	82	241 1088	1209	mans1258
782	Jugan Khanty	I	mæː	m æː	82	241 1088	1209	khan1273
783	Upper Demjanka Khanty	I	mæːn	m æː n	82	241 1088 107	1209	khan1273
784	Konda Khanty	I	mæn	m æ n	82	241 1087 107	1209	khan1273
785	Nizjam Khanty	I	maː	m aː	82	241 1004	1209	khan1273
786	Sherkaly Khanty	I	maː	m aː	82	241 1004	1209	khan1273
787	Kazym Khanty	I	maː	m aː	82	241 1004	1209	khan1273
788	Synja Khanty	I	maː	m aː	82	241 1004	1209	khan1273
789	Obdorsk Khanty	I	mæː	m æː	82	241 1088	1209	khan1273
#
1	North Mansi	all	pusən	p u s ə n	1	291 868 89 1022 107	98	mans1258
2	Middle Lozva Mansi	all	puʃn	p u ʃ n	1	291 868 683 107	98	mans1258
3	Lower Lozva Mansi	all	ʃaq	ʃ a q	2	683 997 757	98	
4	Pelymka Mansi	all	ʃoq	ʃ o q	2	683 887 757	98	mans1258
5	Konda Mansi	all	soq	s o q	2	89 887 757	98	khan1273
6	Tavda Mansi	all	ʃɔχ	ʃ ɔ χ	2	683 916 748	98	mans1258
7	Vakh Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
8	Verkhne-Kalymsk Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
9	Vartovskoje Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
10	Likrisovskoje Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
11	Malyj Jugan Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
12	Tremjugan Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	mans1258
13	Jugan Khanty	all	ejnæːm	e j n æː m	3	1089 570 107 1088 241	98	khan1273
14	Upper Demjanka Khanty	all	χarnaː	χ a r n aː	4	748 997 153 107 1004	98	khan1273
15	Konda Khanty	all	pertæː	p e r t æː	5	291 1089 153 120 1088	98	khan1273
16	Nizjam Khanty	all	isaχaːt	i s a χ aː t	6	1076 89 997 748 1004 120	98	khan1273
17	Sherkaly Khanty	all	isaːt	i s aː t	6	1076 89 1004 120	98	khan1273
18	Kazym Khanty	all	isaː	i s aː	6	1076 89 1004	98	khan1273
19	Synja Khanty	all	isaː	i s aː	6	1076 89 1004	98	khan1273
#
20	North Mansi	ashes	χuʎəm	χ u ʎ ə m	8	748 868 588 1022 241	646	mans1258
21	Middle Lozva Mansi	ashes	quʎəm	q u ʎ ə m	8	757 868 588 1022 241	646	mans1258
22	Lower Lozva Mansi	ashes	quʎəm	q u ʎ ə m	8	757 868 588 1022 241	646	
23	Konda Mansi	ashes	quʎəm	q u ʎ ə m	8	757 868 588 1022 241	646	khan1273
24	Tavda Mansi	ashes	qoːʎəm	q oː ʎ ə m	8	757 880 588 1022 241	646	mans1258
25	Vakh Khanty	ashes	pæːr	p æː r	9	291 1088 153	646	khan1273
26	Vasjugan Khanty	ashes	pæːr	p æː r	9	291 1088 153	646	khan1273
27	Tremjugan Khanty	ashes	næːjpæːr	n æː j p æː r	9	107 1088 570 291 1088 153	646	mans1258
28	Jugan Khanty	ashes	næːjpæːr	n æː j p æː r	9	107 1088 570 291 1088 153	646	khan1273
29	Upper Demjanka Khanty	ashes	χoːjəm	χ oː j ə m	8	748 880 570 1022 241	646	khan1273
30	Konda Khanty	ashes	χoːjəm	χ oː j ə m	8	748 880 570 1022 241	646	khan1273
31	Nizjam Khanty	ashes	χɔːjəm	χ ɔː j ə m	8	748 914 570 1022 241	646	khan1273
32	Sherkaly Khanty	ashes	χɔːjəm	χ ɔː j ə m	8	748 914 570 1022 241	646	khan1273
33	Kazym Khanty	ashes	raːtχiʃ	r aː t χ i ʃ	7	153 1004 120 748 1076 683	646	khan1273
34	Obdorsk Khanty	ashes	ræːtχis	r æː t χ i s	7	153 1088 120 748 1076 89	646	khan1273
#
35	North Mansi	bark	sul	s u l	-10	89 868 554	1204	mans1258
36	Middle Lozva Mansi	bark	sul	s u l	-10	89 868 554	1204	mans1258
37	Lower Lozva Mansi	bark	sul	s u l	-10	89 868 554	1204	
38	Pelymka Mansi	bark	sul	s u l	-10	89 868 554	1204	mans1258
39	Konda Mansi	bark	suːl	s uː l	-10	89 860 554	1204	khan1273
40	Tavda Mansi	bark	su	s u	-10	89 868	1204	mans1258
41	Vakh Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
42	Verkhne-Kalymsk Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
43	Vasjugan Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
44	Likrisovskoje Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
45	Malyj Jugan Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
46	Tremjugan Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	mans1258
47	Jugan Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
48	Upper Demjanka Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
49	Konda Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
50	Nizjam Khanty	bark	kaːr	k aː r	11	838 1004 153	1204	khan1273
51	Kazym Khanty	bark	kaːr	k aː r	11	838 1004 153	1204	khan1273
52	Obdorsk Khanty	bark	kæːr	k æː r	11	838 1088 153	1204	khan1273
#
73	North Mansi	belly	sorɨɣ	s o r ɨ ɣ	12	89 887 153 983 780	1251	mans1258
74	Middle Lozva Mansi	belly	sɔr	s ɔ r	12	89 916 153	1251	mans1258
75	Pelymka Mansi	belly	sori	s o r i	12	89 887 153 1076	1251	mans1258
76	Vakh Khanty	belly	koɳ	k o ɳ	13	838 887 711	1251	khan1273
