language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Alak	alk	ashes	6		pʻuːh	99	pʻ uː h	puh
Bahnar-Golar	bdq	ashes	6		tənuh	106	t ə n u h	t3nuh
Bahnar-Kontum	bdq	ashes	6		tənuh	106	t ə n u h	t3nuh
Bahnar-Pleiku	bdq	ashes	6		tənuhʔuɲ	106	tənuh ʔuɲ	t3nuh7u5
Brao	brb	ashes	6		krəʔɨh	111	k r ə ʔ ɨ h	kr373h
Jru-Laven	lbo	ashes	6		bruk	112	b r u k	bruk
Mnong-Rölöm	mng	ashes	6		doʔbuh	99	doʔ buh	do7buh
Nyaheun	nev	ashes	6		bruk	112	b r u k	bruk
Rengao	ren	ashes	6		blɔː	113	b l ɔː	blo
Sedang	sed	ashes	6		cɔj	115	c ɔ j	Toy
Sre	kpm	ashes	6		buːh	99	b uː h	buh
Stieng	sti	ashes	6		buh	99	b u h	buh
Bru-Ubon	bru	ashes	6		bɔh	99	b ɔ h	boh
In	irr	ashes	6		bɔ̰ːh	99	b ɔ̰ː h	boh
Katang	kgd	ashes	6		ʔabɔh	99	ʔ a b ɔ h	7aboh
Katu-AnDiem	ktv	ashes	6		ɓlɔː	113	ɓ l ɔː	plo
Kui(Sriwises1978)	kdt	ashes	6		pʰɑʔ	114	pʰ ɑ ʔ	ph~a7
Kui(Huffman1979)	kdt	ashes	6		pʰɑʔ	114	pʰ ɑ ʔ	ph~a7
Mankong	sss	ashes	6		bɑh	99	b ɑ h	bah
Nge'	ngt	ashes	6		bɔh	99	b ɔ h	boh
Pacoh	pac	ashes	6		ʔabɔh	99	ʔ a b ɔ h	7aboh
So-Khammouane	sss	ashes	6		bɑh	99	b ɑ h	bah
So-SakonNakhon	sss	ashes	6		bɑh	99	b ɑ h	bah
Souei-Saravan	kdt	ashes	6		ʔabɔh	99	ʔ a b ɔ h	7aboh
TaOi	tto	ashes	6		bɔːh	99	b ɔː h	boh
Khasi	khi	ashes	6		dpɛj	93	d p ɛ j	dpEy
Pnar	pbv	ashes	6		tpaːi	93	t p aːi	tpai
War-Lamin	aml	ashes	6		pusiaʔ	94	p u s ia ʔ	pusia7
Khmer-Surin	kxm	ashes	6		pʰɛh	99	pʰ ɛ h	ph~Eh
Khmer-Standard	khm	ashes	6		pʰəːh	99	pʰ əː h	ph~3h
Idu	tyh	ashes	6		bɔ̰̂ː	99	b ɔ̰̂ː	bo
Khmu-Cuang	kjg	ashes	6		bɔh	99	b ɔ h	boh
Khmu-Yuan	kjg	ashes	6		pɔ̀h	99	p ɔ̀ h	poh
Mal-T'in	mlf	ashes	6		puah	99	p ua h	puah
Mang	zng	ashes	6		paː¹ʑɨə³	95	p aː ʑ ɨə	paZ33
Mon	mnw	ashes	6		pətɑɲ	96	p ə t ɑ ɲ	p3ta5
Nyahkur	cbn	ashes	6		pətíɲ	96	p ə t í ɲ	p3ti5
Gorum	pcj	ashes	6		buɖi	97	b u ɖ i	budi
Kharia	khr	ashes	6		kʰarom	98	kʰ a r o m	kh~arom
Santali	sat	ashes	6		toroc˺	100	t o r o c˺	toroT
Sora	srb	ashes	6		komab	101	k o m a b	komab
Car	caq	ashes	6		tisum	102	t i s u m	tisum
Nancowri	ncb	ashes	6		benhoava	103	b e n h oa v a	benhoava
Lawa(Ratanakul)	lcp	ashes	6		ɲoʔ	104	ɲ o ʔ	5o7
ManMet	mml	ashes	6		pui³¹	110	p ui	pui
Palaung-Dara'ang	pce	ashes	6		brɔŋɔ	105	b r ɔ ŋ ɔ	broNo
Palaung-Kalaw	pce	ashes	6		kafaːk	107	ka faːk	kafak
Palaung-Namhsan	pce	ashes	6		kəfaŋ	107	k ə f a ŋ	k3faN
Wa-Praok	prk	ashes	6		ɲa̤ɔʔ	104	ɲ a̤ɔ ʔ	5ao7
Karii	pkt	ashes	6		bùːɲ	108	b uː ɲ	bu5
Ruc	scb	ashes	6		tapɛːh	109	t a p ɛː h	tapEh
Vietnamese	vie	ashes	6		mun	108	m u n	mun
Alak	alk	banana	8		priːt	151	p r iː t	prit
Bahnar-Golar	bdq	banana	8		priːt	151	p r iː t	prit
Bahnar-Kontum	bdq	banana	8		priːt	151	p r iː t	prit
Bahnar-Pleiku	bdq	banana	8		priːt	151	p r iː t	prit
Brao	brb	banana	8		prɨːt	151	p r ɨː t	pr3t
Cua	cua	banana	8		pareːt	151	p a r eː t	paret
Halang	hal	banana	8		pri̤ət	151	p r i̤ə t	pri3t
Jeh	jeh	banana	8		pri̤at	151	p r i̤a t	priat
Jru-Laven	lbo	banana	8		prɨət	151	p r ɨə t	pr33t
Mnong-Rölöm	mng	banana	8		priːt	151	p r iː t	prit
Nyaheun	nev	banana	8		prɨət	151	p r ɨə t	pr33t
Rengao	ren	banana	8		pret	151	p r e t	pret
Sedang	sed	banana	8		priət	151	p r iə t	pri3t
Sre	kpm	banana	8		priːt	151	p r iː t	prit
Stieng	sti	banana	8		priːt	151	p r iː t	prit
Bru-Talan	oog	banana	8		prinʔ	151	p r i n ʔ	prin7
Bru-Ubon	bru	banana	8		priat	151	p r ia t	priat
In	irr	banana	8		prinˀ	151	p r i nˀ	prin
Katang	kgd	banana	8		priːət	151	p r iːə t	pri3t
Katu-AnDiem	ktv	banana	8		pri̤at	151	p r i̤a t	priat
Kui(Sriwises1978)	kdt	banana	8		priːt	151	p r iː t	prit
Kui(Huffman1979)	kdt	banana	8		pliət	151	p l iə t	pli3t
Mankong	sss	banana	8		pri̤at	151	p r i̤a t	priat
Nge'	ngt	banana	8		priːt	151	p r iː t	prit
Pacoh	pac	banana	8		priat	151	p r ia t	priat
So-Khammouane	sss	banana	8		priət	151	p r iə t	pri3t
So-SakonNakhon	sss	banana	8		priːət	151	p r iːə t	pri3t
Souei-Saravan	kdt	banana	8		priat	151	p r ia t	priat
TaOi	tto	banana	8		prinˀ	151	p r i nˀ	prin
Khasi	khi	banana	8		kac	152	k a c	kaT
Pnar	pbv	banana	8		ladaw	153	l a d a w	ladaw
War-Lamin	aml	banana	8		lədia	153	l ə d ia	l3dia
Khmer-Surin	kxm	banana	8		ʨeːɁ	154	ʨ eː Ɂ	Ce7
