language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Alak	alk	alive/live	3		pʻroːs	51	pʻ r oː s	pros
Bahnar-Golar	bdq	alive/live	3		hədrih	42	h ə d r i h	h3drih
Bahnar-Kontum	bdq	alive/live	3		ʔadrih	42	ʔ a d r i h	7adrih
Bahnar-Pleiku	bdq	alive/live	3		ʔadrih	42	ʔ a d r i h	7adrih
Brao	brb	alive/live	3		ɲiw	51	ɲ i w	5iw
Cua	cua	alive/live	3		rilh	42	r i l h	rilh
Halang	hal	alive/live	3		pe̤ːn	52	p e̤ː n	pen
Jeh	jeh	alive/live	3		pe̤ːn	52	p e̤ː n	pen
Jru-Laven	lbo	alive/live	3		dɛj	53	d ɛ j	dEy
Mnong-Rölöm	mng	alive/live	3		breh	42	b r e h	breh
Nyaheun	nev	alive/live	3		ɲiw	51	ɲ i w	5iw
Rengao	ren	alive/live	3		həri̤h	42	h ə r i̤ h	h3rih
Sedang	sed	alive/live	3		rɛh	42	r ɛ h	rEh
Sre	kpm	alive/live	3		ris	42	r i s	ris
Stieng	sti	alive/live	3		reh	42	r e h	reh
Bru-Talan	oog	alive/live	3		moŋʔ	54	m o ŋ ʔ	moN7
Bru-Ubon	bru	alive/live	3		nɔ̤ŋʔaːmɔ̤ŋ	54	nɔ̤ŋ ʔaːmɔ̤ŋ	noN7amoN
In	irr	alive/live	3		naŋmoŋˀ	54	naŋ moŋˀ	naNmoN
Katu-AnDiem	ktv	alive/live	3		mamoŋ	54	m a m o ŋ	mamoN
Kui(Sriwises1978)	kdt	alive/live	3		təmoŋ	54	t ə m o ŋ	t3moN
Kui(Huffman1979)	kdt	alive/live	3		təmɑŋ	54	t ə m ɑ ŋ	t3maN
Nge'	ngt	alive/live	3		moŋ	54	m o ŋ	moN
Pacoh	pac	alive/live	3		tumo̰ŋ	54	t u m o̰ ŋ	tumoN
So-Khammouane	sss	alive/live	3		ʔəːtpanʔəːt	55	ʔəːt pan ʔəːt	73tpan73t
So-SakonNakhon	sss	alive/live	3		ʔəːt	55	ʔ əː t	73t
Souei-Saravan	kdt	alive/live	3		nɔŋ	56	n ɔ ŋ	noN
TaOi	tto	alive/live	3		moŋˀ	54	m o ŋˀ	moN
Khasi	khi	alive/live	3		ʔim	37	ʔ i m	7im
Pnar	pbv	alive/live	3		ʔim	37	ʔ i m	7im
War-Lamin	aml	alive/live	3		pʔem	37	p ʔ e m	p7em
Khmer-Surin	kxm	alive/live	3		ruah	42	r ua h	ruah
Khmer-Standard	khm	alive/live	3		rʊəh	42	r ʊə h	ru3h
Idu	tyh	alive/live	3		rîəh	42	r îə h	ri3h
Khmu-Cuang	kjg	alive/live	3		blɨər	38	b l ɨə r	bl33r
Khmu-Yuan	kjg	alive/live	3		prɨal	38	p r ɨa l	pr3al
Mal-T'in	mlf	alive/live	3		jih	42	j i h	yih
Bugan	bbh	alive/live	3		kai³³	39	k ai	kai
Mang	zng	alive/live	3		miːn¹	40	m iː n	min
Nyahkur	cbn	alive/live	3		kʰəɲùŋ	41	kʰ ə ɲ u ŋ	kh~35uN
Mon	mnw	alive/live	3		càŋ	43	c à ŋ	TaN
Gorum	pcj	alive/live	3		mḛŋ	44	m ḛ ŋ	mN
Kharia	khr	alive/live	3		bɔˈrɔl	46	b ɔ ˈr ɔ l	borol
Kharia	khr	alive/live	3		ɟan	47	ɟ a n	Can
Kharia	khr	alive/live	3		kaca	45	k a c a	kaTa
Santali	sat	alive/live	3		waɲcaw	48	w a ɲ c a w	wa5Taw
Sora	srb	alive/live	3		mʔɛŋ	44	m ʔ ɛ ŋ	m7EN
Car	caq	alive/live	3		ʔãh	42	ʔ ã h	7ah
Nancowri	ncb	alive/live	3		ʔæ̃h	42	ʔ æ̃ h	7Eh
Lawa(Ratanakul)	lcp	alive/live	3		ʔaɨt	49	ʔ aɨ t	7a3t
ManMet	mml	alive/live	3		im³⁵	37	i m	im
Palaung-Dara'ang	pce	alive/live	3		Ɂim	37	Ɂ i m	7im
Palaung-Namhsan	pce	alive/live	3		ʔim	37	ʔ i m	7im
Riang-Sak	ril	alive/live	3		ʔim¹	37	ʔ i m	7im
Wa-Praok	prk	alive/live	3		ʔim	37	ʔ i m	7im
