language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Maloh		hand	1		taŋan	155	t a ŋ a n	
Merina (Malagasy)		hand	1		tanana	155	t a n a n a	
Thao		hand	1		rima	446	r i m a	
Palauan		hand	1		cʰim	446	cʰ i m	
Tunjung		hand	1		aŋaʔ	155	a ŋ a ʔ	
Bare'e		hand	1		pale	1484	p a l e	
Iban		hand	1		taŋan	155	t a ŋ a n	
Iban		hand	1		jari	1556	j a r i	
Berawan (Long Terawan)		hand	1		tisu	481	t i s u	
Berawan (Long Terawan)		hand	1		isu	481	i s u	
Hanunoo		hand	1		kamaŋ	1796	k a m a ŋ	
Wuna		hand	1		lima	446	l i m a	
Tetum		hand	1		liman	446	l i m a n	
Mailu		hand	1		ima	446	i m a	
Tsou		hand	1		mucu	350	m u c u	
Nias		hand	1		taŋa	155	t a ŋ a	
Central Amis		hand	1		kamaj	19	k a m a j	
Chamorro		hand	1		kanːai	2515	k a nː a i	
Banoni		hand	1		numa	446	n u m a	
Singhi		hand	1		toŋan	155	t o ŋ a n	
Maloh		left	2		kajoko	1000	k a j o k o	
Merina (Malagasy)		left	2		havia	-483	h a v i a	
Palauan		left	2		katur	1253	k a t u r	
Tunjung		left	2		ulaj	645	u l a j	
Bare'e		left	2		kaiː	483	k a iː	
Iban		left	2		kibaʔ	560	k i b a ʔ	
Berawan (Long Terawan)		left	2		pəmaiŋ	645	p ə m a i ŋ	
Moken		left	2		ʔeloj	1702	ʔ e l o j	
Hanunoo		left	2		wala	159	w a l a	
Wuna		left	2		kema	98	k e m a	
Tetum		left	2		karuk	1881	k a r u k	
Mailu		left	2		ebe	1934	e b e	
Tsou		left	2		vrina	483	v r i n a	
Nias		left	2		kabera	2227	k a b e r a	
Central Amis		left	2		kawili	483	k a w i l i	
Chamorro		left	2		akague	2516	a k a g u e	
Banoni		left	2		tororona	2601	t o r o r o n a	
Singhi		left	2		bait	2743	b a i t	
Banggi		left	2		kuikiwaŋ	-159	k u i k i w a ŋ	
Maloh		right	3		kato	-519	k a t o	
Merina (Malagasy)		right	3		havanana	255	h a v a n a n a	
Palauan		right	3		kadikm	1254	k a d i k m	
Tunjung		right	3		tauʔ	519	t a u ʔ	
Bare'e		right	3		kana	255	k a n a	
Iban		right	3		kanan	255	k a n a n	
Berawan (Long Terawan)		right	3		pəŋkatuʔoh	519	p ə ŋ k a t u ʔ o h	
Moken		right	3		nanaːn	255	n a n aː n	
Hanunoo		right	3		sikun	-184	s i k u n	
Wuna		right	3		swana	255	s w a n a	
Tetum		right	3		kwana	255	k w a n a	
Mailu		right	3		iata	1935	i a t a	
Tsou		right	3		vhona	255	v h o n a	
Nias		right	3		kawõlõ	2228	k a w õ l õ	
Central Amis		right	3		kawanan	255	k a w a n a n	
Banoni		right	3		matoː	519	m a t oː	
Singhi		right	3		toux	519	t o u x	
Banggi		right	3		kikuan	-184	k i k u a n	
Merina (Malagasy)		leg/foot	4		ranjo	-97	r a n j o	
Merina (Malagasy)		leg/foot	4		toŋotra	1053	t o ŋ o t r a	
Thao		leg/foot	4		kuskus	1161	k u s k u s	
Palauan		leg/foot	4		oacʰ	-290	o a cʰ	
Tunjung		leg/foot	4		uneŋ	1401	u n e ŋ	
Bare'e		leg/foot	4		witi	28	w i t i	
Iban		leg/foot	4		kaki	290	k a k i	
Iban		leg/foot	4		pah	1557	p a h	
Berawan (Long Terawan)		leg/foot	4		gimaʔ	366	g i m a ʔ	
Moken		leg/foot	4		pakaʔ	199	p a k a ʔ	
Moken		leg/foot	4		kakaj	290	k a k a j	
Hanunoo		leg/foot	4		raparapa	1797	r a p a r a p a	
Wuna		leg/foot	4		gʰagʰe	290	gʰ a gʰ e	
Tetum		leg/foot	4		ain	290	a i n	
Mailu		leg/foot	4		au	1936	a u	
Tsou		leg/foot	4		ruru	2099	r u r u	
Nias		leg/foot	4		ahe	290	a h e	
Central Amis		leg/foot	4		waqaj	290	w a q a j	
Chamorro		leg/foot	4		adːeŋ	2517	a dː e ŋ	
Banoni		leg/foot	4		rapinːa	2602	r a p i nː a	
Singhi		leg/foot	4		peun	2744	p e u n	
Banggi		leg/foot	4		uei	290	u e i	
Maloh		to walk	5		lambaʔ	563	l a m b a ʔ	
Merina (Malagasy)		to walk	5		mandéha	1054	m a n d é h a	
Palauan		to walk	5		merael	212	m e r a e l	
Tunjung		to walk	5		calan	212	c a l a n	
Bare'e		to walk	5		linja	99	l i n j a	
Iban		to walk	5		jalai	212	j a l a i	
Berawan (Long Terawan)		to walk	5		lakaw	57	l a k a w	
Moken		to walk	5		lakaw	57	l a k a w	
Hanunoo		to walk	5		lumakaw	57	l u m a k a w	
Wuna		to walk	5		nokala	362	n o k a l a	
Tetum		to walk	5		laʔo	57	l a ʔ o	
Mailu		to walk	5		baebae	1937	b a e b a e	
Tsou		to walk	5		coeconʉ	2100	c o e c o n ʉ	
Nias		to walk	5		fanõ	416	f a n õ	
Central Amis		to walk	5		lumakat	690	l u m a k a t	
Central Amis		to walk	5		rumakat	690	r u m a k a t	
Chamorro		to walk	5		lahu	57	l a h u	
Singhi		to walk	5		ponu	416	p o n u	
Banggi		to walk	5		empaːno	416	e m p aː n o	
Maloh		road/path	6		dalan	95	d a l a n	
Merina (Malagasy)		road/path	6		lalana	95	l a l a n a	
Thao		road/path	6		saran	95	s a r a n	
Palauan		road/path	6		rael	95	r a e l	
Tunjung		road/path	6		loroŋ	95	l o r o ŋ	
Bare'e		road/path	6		jaja	95	j a j a	
Iban		road/path	6		jalai	95	j a l a i	
Berawan (Long Terawan)		road/path	6		ilan	95	i l a n	
Hanunoo		road/path	6		dalan	95	d a l a n	
Wuna		road/path	6		sala	95	s a l a	
Tetum		road/path	6		dalan	95	d a l a n	
Mailu		road/path	6		laea	1938	l a e a	
Tsou		road/path	6		ceonʉ	95	c e o n ʉ	
Nias		road/path	6		lala	95	l a l a	
Central Amis		road/path	6		lalan	95	l a l a n	
Chamorro		road/path	6		cʰalan	95	cʰ a l a n	
Banoni		road/path	6		sanana	95	s a n a n a	
Singhi		road/path	6		aran	95	a r a n	
Maloh		to come	7		mondok	1001	m o n d o k	
Merina (Malagasy)		to come	7		avj	154	a v j	
Merina (Malagasy)		to come	7		toŋa	1055	t o ŋ a	
Thao		to come	7		munaj	1162	m u n a j	
Palauan		to come	7		méi	719	m é i	
Tunjung		to come	7		moːt	1402	m oː t	
Bare'e		to come	7		maʔi	719	m a ʔ i	
Iban		to come	7		datai	-561	d a t a i	
Berawan (Long Terawan)		to come	7		liʔ	1631	l i ʔ	
Moken		to come	7		ŋadin	1703	ŋ a d i n	
Hanunoo		to come	7		balik	1798	b a l i k	
Wuna		to come	7		mai	719	m a i	
Tetum		to come	7		mai	719	m a i	
Mailu		to come	7		ai	-719	a i	
Tsou		to come	7		oh	3	o h	
Tsou		to come	7		uso	3	u s o	
Nias		to come	7		mõi	719	m õ i	
Central Amis		to come	7		tajni	2334	t a j n i	
Singhi		to come	7		nug	2745	n u g	
Banggi		to come	7		miaːtaŋ	2845	m i aː t a ŋ	
Maloh		to turn	8		lempaŋ	1002	l e m p a ŋ	
Merina (Malagasy)		to turn	8		vilj	-367	v i l j	
Thao		to turn	8		taushuqish	1163	t a u s h u q i s h	
Palauan		to turn	8		meŋesoim	1255	m e ŋ e s o i m	
Tunjung		to turn	8		nencaŋ	1403	n e n c a ŋ	
Bare'e		to turn	8		gili	591	g i l i	
Iban		to turn	8		bilok	431	b i l o k	
Berawan (Long Terawan)		to turn	8		ŋəlibiʔ	1632	ŋ ə l i b i ʔ	
Moken		to turn	8		nʲiliək	1704	nʲ i l i ə k	
Hanunoo		to turn	8		simaŋ	1799	s i m a ŋ	
Wuna		to turn	8		nobelo	1860	n o b e l o	
Tetum		to turn	8		filas	-367	f i l a s	
Tetum		to turn	8		fila	-367	f i l a	
Tetum		to turn	8		faur	-367	f a u r	
Tsou		to turn	8		miunu	2101	m i u n u	
Central Amis		to turn	8		maliwuŋ	2335	m a l i w u ŋ	
Banoni		to turn	8		beruː	2603	b e r uː	
Banoni		to turn	8		vegom	2604	v e g o m	
Singhi		to turn	8		kus	2746	k u s	
Maloh		to swim	9		arananaŋ	-311	a r a n a n a ŋ	
Merina (Malagasy)		to swim	9		lomano	543	l o m a n o	
Merina (Malagasy)		to swim	9		milomano	1056	m i l o m a n o	
Thao		to swim	9		mrauz	1164	m r a u z	
Palauan		to swim	9		meŋedub	1256	m e ŋ e d u b	
Tunjung		to swim	9		karaŋoj	543	k a r a ŋ o j	
Bare'e		to swim	9		naŋu	543	n a ŋ u	
Iban		to swim	9		njemerai	1558	n j e m e r a i	
Berawan (Long Terawan)		to swim	9		pəloŋoj	543	p ə l o ŋ o j	
Moken		to swim	9		naŋoj	543	n a ŋ o j	
Hanunoo		to swim	9		lumaŋuj	543	l u m a ŋ u j	
Wuna		to swim	9		leni	543	l e n i	
Tetum		to swim	9		nani	543	n a n i	
Mailu		to swim	9		loroloro	540	l o r o l o r o	
Mailu		to swim	9		rolorolo	540	r o l o r o l o	
Tsou		to swim	9		euhuŋzu	543	e u h u ŋ z u	
Nias		to swim	9		molaŋi	543	m o l a ŋ i	
Central Amis		to swim	9		laŋuj	543	l a ŋ u j	
Central Amis		to swim	9		milaŋuj	543	m i l a ŋ u j	
Chamorro		to swim	9		naŋunʲaŋu	543	n a ŋ u nʲ a ŋ u	
Banoni		to swim	9		suː	789	s uː	
Singhi		to swim	9		naŋuj	543	n a ŋ u j	
Merina (Malagasy)		dirty	10		maloto	242	m a l o t o	
Thao		dirty	10		marisrisin	1165	m a r i s r i s i n	
Palauan		dirty	10		idokel	1257	i d o k e l	
Tunjung		dirty	10		marotaʔ	242	m a r o t a ʔ	
Bare'e		dirty	10		sapa	1485	s a p a	
Iban		dirty	10		kamah	667	k a m a h	
Berawan (Long Terawan)		dirty	10		labih	1633	l a b i h	
Moken		dirty	10		caʔiək	1705	c a ʔ i ə k	
Hanunoo		dirty	10		majagtiŋ	423	m a j a g t i ŋ	
Hanunoo		dirty	10		maʔuriŋ	423	m a ʔ u r i ŋ	
Wuna		dirty	10		noraku	785	n o r a k u	
Tetum		dirty	10		kfur	1882	k f u r	
Tetum		dirty	10		karebo	1883	k a r e b o	
Mailu		dirty	10		milomilo	335	m i l o m i l o	
Tsou		dirty	10		cai	79	c a i	
Tsou		dirty	10		caʔi	79	c a ʔ i	
Nias		dirty	10		moŋdaʔi	-401	m o ŋ d a ʔ i	
Central Amis		dirty	10		maacek	2336	m a a c e k	
Central Amis		dirty	10		makalit	2337	m a k a l i t	
Chamorro		dirty	10		hoplat	2518	h o p l a t	
Banoni		dirty	10		kiːpi	2605	k iː p i	
Singhi		dirty	10		kais	2747	k a i s	
Singhi		dirty	10		sirida	2748	s i r i d a	
Banggi		dirty	10		damak	567	d a m a k	
Merina (Malagasy)		dust	11		vovoka	1057	v o v o k a	
Bare'e		dust	11		awu	182	a w u	
Iban		dust	11		abu	703	a b u	
Iban		dust	11		apok	182	a p o k	
Berawan (Long Terawan)		dust	11		apoʔ	182	a p o ʔ	
Moken		dust	11		kaboj	703	k a b o j	
Hanunoo		dust	11		gabuk	182	g a b u k	
Hanunoo		dust	11		pukapuk	182	p u k a p u k	
Tetum		dust	11		rai#ahun	-182	r a i # a h u n	
Mailu		dust	11		veve	1939	v e v e	
Central Amis		dust	11		taʔfod	2338	t a ʔ f o d	
Banoni		dust	11		ramuta	2606	r a m u t a	
Singhi		dust	11		abux	182	a b u x	
Singhi		dust	11		sapok	182	s a p o k	
Banggi		dust	11		auː	-182	a uː	
Maloh		skin	12		kulit	216	k u l i t	
Merina (Malagasy)		skin	12		hoditra	-216	h o d i t r a	
Thao		skin	12		shapa	1166	s h a p a	
Palauan		skin	12		budél	1258	b u d é l	
Tunjung		skin	12		kulit	216	k u l i t	
Bare'e		skin	12		pela	1486	p e l a	
Iban		skin	12		kulit	216	k u l i t	
