language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Alak		beans/peas	832		ntaːk	278	n t aː k	
BahnarGolar		beans/peas	832		təh	286	t ə h	
BahnarKontum		beans/peas	832		təh	286	t ə h	
BahnarPleiku		beans/peas	832		təh	286	t ə h	
Brao		beans/peas	832		ntaːk	278	n t aː k	
Cheng		beans/peas	832		ntaːk	278	n t aː k	
Cua		beans/peas	832		tuah	286	t u a h	
Halang		beans/peas	832		toh	286	t o h	
Jeh		beans/peas	832		tɔh	286	t ɔ h	
Kasseng		beans/peas	832		ntuəŋ	287	n t u ə ŋ	
Khaonh		beans/peas	832		toh / tox	286	t o h	
Mel		beans/peas	832		tuh	286	t u h	
Nyaheun		beans/peas	832		ttaːk	278	t t aː k	
Rengao		beans/peas	832		tɔh	278	t ɔ h	
Sapuan		beans/peas	832		ntaːk	286	n t aː k	
Sedang		beans/peas	832		tɔ	278	t ɔ	
Sre		beans/peas	832		kʰoah	288	kʰ o a h	
Stieng		beans/peas	832		toh	286	t o h	
Tampuan		beans/peas	832		tɔh	286	t ɔ h	
JruLaven		beans/peas	832		htaːk	278	h t aː k	
Chrau		beans/peas	832		tuːh	286	t uː h	
Ramam		beans/peas	832		kətɔh	278	k ə t ɔ h	
BahnarGolar		brain	1583		ʔŋɔːk	595	ʔ ŋ ɔː k	
BahnarKontum		brain	1583		ʔŋɔːk	595	ʔ ŋ ɔː k	
BahnarPleiku		brain	1583		ʔŋɔːk	595	ʔ ŋ ɔː k	
Cua		brain	1583		ŋɔːk	595	ŋ ɔː k	
Halang		brain	1583		ŋɔak	595	ŋ ɔ a k	
JruLaven		brain	1583		htok	596	h t o k	
Kasseng		brain	1583		ʔəduək	596	ʔ ə d u ə k	
MnongRlm		brain	1583		dlɔː / dluo	597	d l ɔː	
Ramam		brain	1583		kluɔ	597	k l u ɔ	
Rengao		brain	1583		ŋɔːk	595	ŋ ɔː k	
Sedang		brain	1583		ŋɔə	595	ŋ ɔ ə	
Sre		brain	1583		təŋoh	598	t ə ŋ o h	
Tampuan		brain	1583		taŋɔːk	595	t a ŋ ɔː k	
Nyaheun		brain	1583		tʔɔk	596	t ʔ ɔ k	
Jeh		brain	1583		ʔnɔk	596	ʔ n ɔ k	
Stieng		brain	1583		rŋɔːk	595	r ŋ ɔː k	
Alak		cold	1287		takat	738	t a k a t	
BahnarGolar		cold	1287		təŋjɛt	749	t ə ŋ j ɛ t	
BahnarKontum		cold	1287		təŋjɛt	749	t ə ŋ j ɛ t	
BahnarPleiku		cold	1287		təŋjɛt	749	t ə ŋ j ɛ t	
Brao		cold	1287		gɑː	788	ɡ ɑː	
Bunong		cold	1287		nɨʔɨk	791	n ɨ ʔ ɨ k	
Cheng		cold	1287		hadɛh	789	h a d ɛ h	
Cheng		cold	1287		gliːm	790	ɡ l iː m	
Chrau		cold	1287		ləʔiːʔ	791	l ə ʔ iː ʔ	
