language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Alak		alive/live	1422		pʻroːs	94	pʼ r oː s	
BahnarGolar		alive/live	1422		hədrih	74	h ə d r i h	
BahnarKontum		alive/live	1422		ʔadrih	74	ʔ a d r i h	
BahnarPleiku		alive/live	1422		ʔadrih	74	ʔ a d r i h	
Brao		alive/live	1422		ɲiw	94	ɲ i w	
Bunong		alive/live	1422		reːh	74	r eː h	
Chrau		alive/live	1422		rih	74	r i h	
Cua		alive/live	1422		rilh	74	r i lʰ	
Halang		alive/live	1422		pe̤ːn	95	p e̤ː n	
MnongRlm		alive/live	1422		breh / mbreh	74	b r e h	
Nyaheun		alive/live	1422		ɲiw	94	ɲ i w	
Rengao		alive/live	1422		həri̤h	74	h ə r i̤ h	
Sedang		alive/live	1422		rɛh	74	r ɛ h	
Sre		alive/live	1422		ris	74	r i s	
Stieng		alive/live	1422		reh	74	r e h	
Jeh		alive/live	1422		pe̤ːn	95	p e̤ː n	
JruLaven		alive/live	1422		dɛj	96	d ɛ j	
Tampuan		alive/live	1422		ʔŋrəis	74	ʔ ŋ r ə i s	
Alak		arrow	977		plaː	140	p l aː	
BahnarGolar		arrow	977		mrɔm	151	m r ɔ m	
BahnarKontum		arrow	977		mrɔm	151	m r ɔ m	
BahnarPleiku		arrow	977		ɓrəm	151	ɓ r ə m	
Brao		arrow	977		draŋ	154	d r a ŋ	
Bunong		arrow	977		har	130	h a r	
Cheng		arrow	977		sraː	155	s r aː	
Chrau		arrow	977		kam	156	k a m	
Cua		arrow	977		rʌŋ	154	r ʌ ŋ	
JruLaven		arrow	977		tɔŋ	159	t ɔ ŋ	
Mel		arrow	977		haɨ	130	h a ɨ	
MnongRlm		arrow	977		kam tlak	156	k a m _ t l a k	
Sapuan		arrow	977		tɔːŋ	159	t ɔː ŋ	
Sedang		arrow	977		ra̰ŋ	154	r a̰ ŋ	
Cua		arrow	977		nɔːk	157	n ɔː k	
Halang		arrow	977		sɔar	158	s ɔ a r	
Jeh		arrow	977		plaː	140	p l aː	
Rengao		arrow	977		raŋ	154	r a ŋ	
Sre		arrow	977		kam	156	k a m	
Tampuan		arrow	977		kam	156	k a m	
Khaonh		arrow	977		hɑɵ	130	h ɑ ɵ	
Nyaheun		arrow	977		tɔːŋ	159	t ɔː ŋ	
Ramam		arrow	977		kaᵖm	156	k a m̥	
Alak		ashes	646		pʻuːh	171	pʼ uː h	
BahnarGolar		ashes	646		tənuh	182	t ə n u h	
BahnarKontum		ashes	646		tənuh	182	t ə n u h	
BahnarPleiku		ashes	646		tənuh ʔuɲ	182	t ə n u h _ ʔ u ɲ	
Brao		ashes	646		krəʔɨh	190	k r ə ʔ ɨ h	
Bunong		ashes	646		pṳːh	171	p ṳː h	
Cheng		ashes	646		tuh	182	t u h	
Chrau		ashes	646		vuːh	171	v uː h	
JruLaven		ashes	646		bruk	191	b r u k	
Kasseng		ashes	646		blɔː	192	b l ɔː	
Khaonh		ashes	646		nɑk	193	n ɑ k	
Mel		ashes	646		buhənak	193	b u h ə n a k	
MnongRlm		ashes	646		doʔ buh	171	d o ʔ _ b u h	
Rengao		ashes	646		blɔː	192	b l ɔː	
Sapuan		ashes	646		tuh	182	t u h	
Sedang		ashes	646		cɔj	195	c ɔ j	
Nyaheun		ashes	646		bruk	191	b r u k	
Ramam		ashes	646		puɺ	194	p u ɺ	
Sre		ashes	646		buːh	171	b uː h	
Stieng		ashes	646		buh	171	b u h	
Alak		banana	868		priːt	260	p r iː t	
BahnarGolar		banana	868		priːt	260	p r iː t	
BahnarKontum		banana	868		priːt	260	p r iː t	
BahnarPleiku		banana	868		priːt	260	p r iː t	
Brao		banana	868		prɨːt	260	p r ɨː t	
Kasseng		banana	868		priət	260	p r i ə t	
Khaonh		banana	868		pʀiːt	260	p ʀ iː t	
