language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Beijing		horizontal	2376	2376	xəŋ³⁵	83	x ə ŋ ³⁵	
Jinan		horizontal	2376	2376	xəŋ⁴²	83	x ə ŋ ⁴²	
Shenyang		horizontal	2376	2376	xəŋ³⁵	83	x ə ŋ ³⁵	
Xian		horizontal	2376	2376	ɕye²⁴	84	ɕ y e ²⁴	
Chengdu		horizontal	2376	2376	xuən³¹	83	x u ə n ³¹	
Kunming		horizontal	2376	2376	xuə̃³¹	83	x u ə̃ ∼ ³¹	
Hefei		horizontal	2376	2376	xʊ̃⁵⁵	83	x ʊ̃ ∼ ⁵⁵	
Yangzhou		horizontal	2376	2376	xoŋ³⁴	83	x o ŋ ³⁴	
Suzhou		horizontal	2376	2376	ɦuaŋ²⁴	83	ɦ u a ŋ ²⁴	
Wenzhou		horizontal	2376	2376	viɛ³¹	83	v i ɛ ³¹	
Changsha		horizontal	2376	2376	fən¹³	83	f ə n ¹³	
Nanchang		horizontal	2376	2376	uaŋ⁵⁵	83	u a ŋ ⁵⁵	
Meixian		horizontal	2376	2376	vaŋ¹²	83	v a ŋ ¹²	
Guangzhou		horizontal	2376	2376	waŋ²¹	83	w a ŋ ²¹	
Yangjiang		horizontal	2376	2376	waŋ⁴⁴³	83	w a ŋ ⁴⁴³	
Xiamen		horizontal	2376	2376	hũãĩ²⁴	83	h ũ ã ĩ ∼ ²⁴	
Chaozhou		horizontal	2376	2376	hũẽ⁵⁵	83	h ũ ẽ ∼ ⁵⁵	
Fuzhou		horizontal	2376	2376	xuaŋ⁵²	83	x u a ŋ ⁵²	
Beijing		hot	1286	1286	ʐə⁵¹	168	ʐ ə ⁵¹	
Jinan		hot	1286	1286	ʐə²¹	168	ʐ ə ²¹	
Shenyang		hot	1286	1286	ie⁴¹	168	i e ⁴¹	
Xian		hot	1286	1286	ʐə²¹	168	ʐ ə ²¹	
Chengdu		hot	1286	1286	ze³¹	168	z e ³¹	
Kunming		hot	1286	1286	ʐə³¹	168	ʐ ə ³¹	
Hefei		hot	1286	1286	ʐɐʔ⁴	168	ʐ ɐ ʔ ⁴	
Yangzhou		hot	1286	1286	iəʔ⁴	168	i ə ʔ ⁴	
Suzhou		hot	1286	1286	ȵiɪʔ²³	168	nʲ i ɪ ʔ ²³	
Wenzhou		hot	1286	1286	ȵi¹²	168	nʲ i ¹²	
Changsha		hot	1286	1286	ye²⁴	168	y e ²⁴	
Nanchang		hot	1286	1286	lɛt⁵	168	l ɛ t ⁵	
Meixian		hot	1286	1286	ȵiayt⁴	168	nʲ i a y t ⁴	
Meixian		hot	1286	1286	sau⁴⁴	169	s a u ⁴⁴	
Guangzhou		hot	1286	1286	jit²²	168	j i t ²²	
Yangjiang		hot	1286	1286	jit⁴⁵⁴	168	j i t ⁴⁵⁴	
Xiamen		hot	1286	1286	liat⁵	168	l i a t ⁵	
Xiamen		hot	1286	1286	sio⁵⁵	169	s i o ⁵⁵	
Chaozhou		hot	1286	1286	sie³³	169	s i e ³³	
Fuzhou		hot	1286	1286	ieʔ⁴	168	i e ʔ ⁴	
Beijing		left	244	244	tsuo²¹⁴₃₅ʂou²¹⁴	714	ts u o ²¹⁴ ʂ o u ²¹⁴	
Jinan		left	244	244	tsuə²¹ʂou⁵⁵	714	ts u ə ²¹ ʂ o u ⁵⁵	
Shenyang		left	244	244	tsuə²¹³₃₅sou²¹³	714	ts u ə ²¹³ s o u ²¹³	
Xian		left	244	244	tsuo⁵³ʂou⁵³	714	ts u o ⁵³ ʂ o u ⁵³	
Chengdu		left	244	244	tso⁵³səu⁵³	714	ts o ⁵³ s ə u ⁵³	
Kunming		left	244	244	tsuo⁵³ʂəu⁵³	714	ts u o ⁵³ ʂ ə u ⁵³	
Hefei		left	244	244	tsʊ²⁴ʂɯ²⁴	714	ts ʊ ²⁴ ʂ ɯ ²⁴	
Yangzhou		left	244	244	tso⁴²sɤɯ⁴²	714	ts o ⁴² s ɤ ɯ ⁴²	
Yangzhou		left	244	244	tɕi⁵⁵sɤɯ⁴²	715	tɕ i ⁵⁵ s ɤ ɯ ⁴²	
Suzhou		left	244	244	tsi⁵¹³₄₄sʏ⁴¹₂₁	715	ts i ⁵¹³ s ʏ ⁴¹	
Suzhou		left	244	244	tsəu⁵¹³₄₄sʏ⁴¹₂₁	714	ts ə u ⁵¹³ s ʏ ⁴¹	
Wenzhou		left	244	244	tsei²³ɕiu⁴⁵	716	ts e i ²³ ɕ i u ⁴⁵	
Changsha		left	244	244	tso⁴¹səu⁴¹	714	ts o ⁴¹ s ə u ⁴¹	
Nanchang		left	244	244	tsɔ²¹³səu²¹³	714	ts ɔ ²¹³ s ə u ²¹³	
Meixian		left	244	244	tsɔ³¹su³¹	714	ts ɔ ³¹ s u ³¹	
Guangzhou		left	244	244	tʃɔ³⁵ʃɐu³⁵	714	tʃ ɔ ³⁵ ʃ ɐ u ³⁵	
Yangjiang		left	244	244	tʃɔ²¹ʃɐu²¹	714	tʃ ɔ ²¹ ʃ ɐ u ²¹	
Xiamen		left	244	244	to¹¹₅₁tsʰiu⁵¹	717	t o ¹¹ tsʰ i u ⁵¹	
Chaozhou		left	244	244	to²¹³₅₃tsʰiu⁵³₂₁	717	t o ²¹³ tsʰ i u ⁵³	
Fuzhou		left	244	244	siu³¹βeiŋ⁴⁴₅₂ȵiu⁵¹	722	s i u ³¹ β e i ŋ ⁴⁴ nʲ i u ⁵¹	
Beijing		that	78	78	na⁵¹kə⁰	262	n a ⁵¹ k ə ⁰	
Jinan		that	78	78	na²¹kə⁰	262	n a ²¹ k ə ⁰	
Shenyang		that	78	78	na⁴¹kə⁰	262	n a ⁴¹ k ə ⁰	
Xian		that	78	78	uo⁵³kə⁰	265	u o ⁵³ k ə ⁰	
Chengdu		that	78	78	na¹³ko¹³₄₄	262	n a ¹³ k o ¹³	
Kunming		that	78	78	nə¹³kə¹³	262	n ə ¹³ k ə ¹³	
Hefei		that	78	78	na⁵³kʊ⁵³	262	n a ⁵³ k ʊ ⁵³	
Yangzhou		that	78	78	ləʔ⁴kɤɯ⁰	266	l ə ʔ ⁴ k ɤ ɯ ⁰	
Suzhou		that	78	78	kuɛ⁴⁴kɤʔ⁴₂₁	267	k u ɛ ⁴⁴ k ɤ ʔ ⁴	
Suzhou		that	78	78	uɛ⁴⁴kɤʔ⁴₂₁	265	u ɛ ⁴⁴ k ɤ ʔ ⁴	
Wenzhou		that	78	78	hi⁴⁵kai⁴²	268	h i ⁴⁵ k a i ⁴²	
Changsha		that	78	78	lai⁵⁵ko⁵⁵	262	l a i ⁵⁵ k o ⁵⁵	
Nanchang		that	78	78	hɛ²⁴kɔ⁰	268	h ɛ ²⁴ k ɔ ⁰	
Meixian		that	78	78	kɛ⁴²kɛ⁴²	264	k ɛ ⁴² k ɛ ⁴²	
Guangzhou		that	78	78	kɔ³⁵kɔ³³	269	k ɔ ³⁵ k ɔ ³³	
Yangjiang		that	78	78	na²¹kɔ⁴⁵⁴	262	n a ²¹ k ɔ ⁴⁵⁴	
Xiamen		that	78	78	hit³²₅e²⁴	270	h i t ³² e ²⁴	
Chaozhou		that	78	78	hia⁵³kai⁵⁵₂₁	271	h i a ⁵³ k a i ⁵⁵	
Chaozhou		that	78	78	hia⁵³₂₄hia⁵³	272	h i a ⁵³ h i a ⁵³	
Fuzhou		that	78	78	xi³¹₄₄zieʔ²³	273	x i ³¹ z i e ʔ ²³	
Fuzhou		that	78	78	xy³¹βiʔ⁴	274	x y ³¹ β i ʔ ⁴	
Beijing		the father	1217	1217	pa⁵¹pa⁰	835	p a ⁵¹ p a ⁰	
