language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Somba-Siawari (Mindik Dialect)		(he) eats	1336		ne	8319	n e	
Nabak		(he) eats	1336		ni	8319	n i	
Mape		(he) eats	1336		na	8319	n a	
Timbe		(he) eats	1336		ni	8319	n i	
Komba		(he) eats	1336		ni	8319	n i	
Selepet		(he) eats	1336		ni	8319	n i	
Kube		(he) eats	1336		ne	8319	n e	
Borong		(he) eats	1336		ne	8319	n e	
Dedua		(he) eats	1336		ne	8319	n e	
Somba-Siawari (Burum Dialect)		(he) eats	1336		ne	8319	n e	
Tobo		(he) eats	1336		ne	8319	n e	
Ono		(he) eats	1336		ni	8319	n i	
Kate		(he) eats	1336		na	8319	n a	
Tobo		(he) sucks	1421		bitsi	7922	b i ts i	
Kube		(he) sucks	1421		bitsi	7922	b i ts i	
Nabak		(he) sucks	1421		bəsəi	7792	b ə s ə i	
Komba		(he) sucks	1421		musuku	7810	m u s u k u	
Somba-Siawari (Mindik Dialect)		(he) sucks	1421		botso	7922	b o ts o	
Selepet		(he) sucks	1421		musuku	7810	m u s u k u	
Somba-Siawari (Burum Dialect)		(he) sucks	1421		bobok	14006	b o b o k	
Mape		(he) sucks	1421		muduɡaː	14020	m u d u ɡ aː	
Timbe		(he) sucks	1421		musuku	7810	m u s u k u	
Ono		(he) sucks	1421		muzuluki	7810	m u z u l u k i	
Kube		(he) turns	1444		meren	7782	m e r e n	
Mesem		(he) turns	1444		ɡiridzə	7779	ɡ i r i dz ə	
Mape		(he) turns	1444		perisie	7781	p e r i s i e	
Kate		(he) turns	1444		barisie	7781	b a r i s i e	
Somba-Siawari (Burum Dialect)		(he) turns	1444		meleŋ	7782	m e l e ŋ	
Komba		(he) turns	1444		purik	7780	p u r i k	
Ono		(he) turns	1444		maiŋɡi	13801	m a i ŋ ɡ i	
Somba-Siawari (Mindik Dialect)		(he) turns	1444		meleŋ	7782	m e l e ŋ	
Tobo		(he) turns	1444		meleŋ	7782	m e l e ŋ	
Selepet		(he) turns	1444		purik	7780	p u r i k	
Dedua		(he) turns	1444		meren	7782	m e r e n	
Nabak		(he) turns	1444		ɡiridzəi	7779	ɡ i r i dz ə i	
Timbe		(he) turns	1444		purik	7780	p u r i k	
Nabak		(he) vomits	1278		okdzi	13648	o k dz i	
Kube		(he) vomits	1278		ron	7750	r o n	
Komba		(he) vomits	1278		mohat	7749	m o h a t	
Kate		(he) vomits	1278		maŋu	13845	m a ŋ u	
Selepet		(he) vomits	1278		mohat	7749	m o h a t	
Tobo		(he) vomits	1278		lon	7750	l o n	
Somba-Siawari (Mindik Dialect)		(he) vomits	1278		lon	7750	l o n	
Somba-Siawari (Burum Dialect)		(he) vomits	1278		lon	7750	l o n	
Timbe		(he) vomits	1278		muhat	7749	m u h a t	
Ono		(he) vomits	1278		madoɡi	14091	m a d o ɡ i	
Mesem		(its) seed	714		kət	7790	k ə t	
Mape		(its) seed	714		faŋaŋ	13739	f a ŋ a ŋ	
Komba		(its) seed	714		keːt	7788	k eː t	
Tobo		(its) seed	714		ɡopi	13896	ɡ o p i	
Somba-Siawari (Mindik Dialect)		(its) seed	714		kat	7790	k a t	
Ono		(its) seed	714		wau	13946	w a u	
Dedua		(its) seed	714		honduŋ	7791	h o n d u ŋ	
Selepet		(its) seed	714		kehet	7788	k e h e t	
Borong		(its) seed	714		kota	7790	k o t a	
Somba-Siawari (Burum Dialect)		(its) seed	714		kat	7790	k a t	
Timbe		(its) seed	714		kadet	14060	k a d e t	
Nabak		(its) seed	714		kət	7790	k ə t	
Kate		(its) seed	714		handaŋ	7791	h a n d a ŋ	
Nabak		(its) skin	763		sək	7958	s ə k	
Mesem		(its) skin	763		sək	7958	s ə k	
Somba-Siawari (Burum Dialect)		(its) skin	763		sile	7959	s i l e	
Ono		(its) skin	763		solai	7957	s o l a i	
Timbe		(its) skin	763		hak	7958	h a k	
Komba		(its) skin	763		sak	7958	s a k	
Tobo		(its) skin	763		sawal	7959	s a w a l	
Somba-Siawari (Mindik Dialect)		(its) skin	763		sele	7957	s e l e	
Selepet		(its) skin	763		hak	7958	h a k	
Kube		(its) skin	763		sewira	7959	s e w i r a	
Mape		(its) skin	763		madzu	14017	m a dz u	
Kate		(its) skin	763		sahac	14031	s a h a c	
Dedua		(its) skin	763		sebi	7959	s e b i	
Tobo		left (side)	244		kpana	7714	k p a n a	
Somba-Siawari (Burum Dialect)		left (side)	244		kpani	7714	k p a n i	
Mesem		left (side)	244		kana	7714	k a n a	
Nabak		left (side)	244		kanen	7714	k a n e n	
Komba		left (side)	244		kane	7714	k a n e	
Somba-Siawari (Mindik Dialect)		left (side)	244		kani	7714	k a n i	
