language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Nabak		(he) bites it	1403		i	7775	i	
Mape		(he) bites it	1403		ki	7774	k i	
Komba		(he) bites it	1403		zihi	7775	z i h i	
Timbe		(he) bites it	1403		ihi	7775	i h i	
Selepet		(he) bites it	1403		ihi	7775	i h i	
Somba-Siawari (Mindik Dialect)		(he) bites it	1403		jaha	7775	j a h a	
Kube		(he) bites it	1403		ki	7774	k i	
Borong		(he) bites it	1403		ki	7774	k i	
Somba-Siawari (Burum Dialect)		(he) bites it	1403		jaha	7775	j a h a	
Tobo		(he) bites it	1403		ki	7774	k i	
Ono		(he) bites it	1403		ki	7774	k i	
Nabak		(he) blows	175		kumbu	13654	k u m b u	
Ono		(he) blows	175		puani	13777	p u a n i	
Timbe		(he) blows	175		wai	8037	w a i	
Selepet		(he) blows	175		hanɡu	13884	h a n ɡ u	
Tobo		(he) blows	175		hi	13644	h i	
Somba-Siawari (Mindik Dialect)		(he) blows	175		hu	13644	h u	
Borong		(he) blows	175		uː	13644	uː	
Somba-Siawari (Burum Dialect)		(he) blows	175		unaŋ	13998	u n a ŋ	
Nabak		(he) cries	1839		su	7932	s u	
Tobo		(he) cries	1839		sia	7929	s i a	
Somba-Siawari (Burum Dialect)		(he) cries	1839		saha	7929	s a h a	
Ono		(he) cries	1839		arop	13784	a r o p	
Timbe		(he) cries	1839		ide	13858	i d e	
Komba		(he) cries	1839		isi	7931	i s i	
Somba-Siawari (Mindik Dialect)		(he) cries	1839		saha	7929	s a h a	
Selepet		(he) cries	1839		isi	7931	i s i	
Kube		(he) cries	1839		siak	7929	s i a k	
Mape		(he) cries	1839		kueː	14015	k u eː	
Nabak		(he) digs	1418		kiŋɡadzi	13653	k i ŋ ɡ a dz i	
Mesem		(he) digs	1418		lo	13680	l o	
Borong		(he) digs	1418		toɡuŋken	13829	t o ɡ u ŋ k e n	
Timbe		(he) digs	1418		kenda	7880	k e n d a	
Selepet		(he) digs	1418		ai	13883	a i	
Tobo		(he) digs	1418		asa	13890	a s a	
Somba-Siawari (Mindik Dialect)		(he) digs	1418		etso	7881	e ts o	
Kube		(he) digs	1418		oro	13920	o r o	
Dedua		(he) digs	1418		usu	7882	u s u	
Somba-Siawari (Burum Dialect)		(he) digs	1418		etso	7881	e ts o	
Ono		(he) digs	1418		kepikito	14084	k e p i k i t o	
Mesem		(he) falls	1280		kao	13675	k a o	
Somba-Siawari (Burum Dialect)		(he) falls	1280		he	7711	h e	
