language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
English		all	1		ɔːl	175	ɔː l	
German		all	1		alə	175	a l ə	
Armenian_Mod		all	1		boloɾ	566	b o l o ɾ	
Greek_Mod		all	1		o̞lo̞s	965	o̞ l o̞ s	
Italian		all	1		tutto	543	t u tː o	
Marathi		all	1		səɾwə	748	s ə ɾ w ə	
Danish		all	1		ɛl	175	ɛ l	
Portuguese_ST		all	1		toðu	543	t o ð u	
French		all	1		tu	543	t u	
Russian		all	1		vsʲo	1102	v sʲ o	
Spanish		all	1		toðo	543	t o ð o	
Swedish		all	1		ala	175	a l a	
Bihari		all	1		səb	748	s ə b	
Oriya		all	1		sɔbɔ	748	s ɔ b ɔ	
Dutch_List		all	1		ɑləs	175	ɑ l ə s	
Czech		all	1		fʃɪxɲɪ	1102	f ʃ ɪ x ɲ ɪ	
Breton_ST		all	1		ɔl	965	ɔ l	
Catalan		all	1		tot	543	t o t	
Urdu		all	1		səb	748	s ə b	
Polish		all	1		kaʒdɨ	3542	k a ʒ d ɨ	
Armenian_Mod		and	2		jɛv	567	j ɛ v	
Breton_ST		and	2		a	966	a	
Catalan		and	2		i	848	i	
Czech		and	2		a	1103	a	
Danish		and	2		ɒw	1303	ɒ w	
Dutch_List		and	2		ɛn	176	ɛ n	
English		and	2		ænd	176	æ n d	
French		and	2		e	848	e	
German		and	2		ʊnt	176	ʊ n t	
Greek_Mod		and	2		ce̞	1447	c e̞	
Italian		and	2		e	848	e	
Marathi		and	2		ani	1591	a n i	
Polish		and	2		i	1103	i	
Portuguese_ST		and	2		i	848	i	
Russian		and	2		i	1103	i	
Spanish		and	2		i	848	i	
Swedish		and	2		ɔkː	1303	ɔ kː	
Oriya		and	2		o	1	o	
Bihari		and	2		aur	1	au r	
Urdu		and	2		ʔɔɾ	1	ʔ ɔ ɾ	
Armenian_Mod		animal	3		kɛntʰɑni	3385	k ɛ n tʰ ɑ n i	
Breton_ST		animal	3		ɑ̃neval	849	ɑ̃ n e v a l	
Catalan		animal	3		ənimal	849	ə n i m a l	
Czech		animal	3		zviːr̝ɛ	1104	z v iː r̝ ɛ	
Danish		animal	3		d̥yːʌ	177	d̥ yːʌ	
Dutch_List		animal	3		dir	177	d i r	
English		animal	3		ænɪməl	849	æ n ɪ m ə l	
French		animal	3		animal	849	a n i m a l	
German		animal	3		tiːɐ̯	177	t iːɐ̯	
Greek_Mod		animal	3		zo̞o̞	2176	z o̞o̞	
Italian		animal	3		animale	849	a n i m a l e	
Polish		animal	3		zvʲɛʒɛ̃	1104	z vʲ ɛ ʒ ɛ̃	
Portuguese_ST		animal	3		ɐnimaɫ	849	ɐ n i m a ɫ	
Russian		animal	3		ʒɨvotnoe	2176	ʒ ɨ v o t n oe	
Spanish		animal	3		animal	849	a n i m a l	
Swedish		animal	3		jʉːr	177	j ʉː r	
Oriya		animal	3		praɳi	849	p r a ɳ i	
Oriya		animal	3		pɔsu	2177	p ɔ s u	
Bihari		animal	3		janbər	684	j a n b ə r	
Oriya		animal	3		ǰɔntu	684	ǰ ɔ n t u	
Urdu		animal	3		ʤɑnwəɾ	684	ʤ ɑ n w ə ɾ	
Breton_ST		animal	3		lo.ɛ̃n	2429	l o ɛ̃ n	
Marathi		animal	3		dzənawəɾ	684	d z ə n a w ə ɾ	
Armenian_Mod		ashes	4		moχiɾ	568	m o χ i ɾ	
Breton_ST		ashes	4		lyːdy	968	l yː d y	
Catalan		ashes	4		sɛndrə	850	s ɛ n d r ə	
Czech		ashes	4		popɛl	1105	p o p ɛ l	
Danish		ashes	4		asg̥ʰə	178	a s g̥ʰ ə	
Dutch_List		ashes	4		ɑs	178	ɑ s	
English		ashes	4		æʃɪz	178	æ ʃ ɪ z	
French		ashes	4		sɑ̃dʀ	850	s ɑ̃ d ʀ	
German		ashes	4		aʃə	178	a ʃ ə	
Greek_Mod		ashes	4		staxti	1448	s t a x t i	
Italian		ashes	4		ʧenere	850	ʧ e n e r e	
Marathi		ashes	4		ɾakʰ	1592	ɾ a kʰ	
Polish		ashes	4		pɔpʲuw	1105	p ɔ pʲ u w	
Portuguese_ST		ashes	4		sĩzɐʃ	850	s ĩ z ɐ ʃ	
Russian		ashes	4		zola	3386	z o l a	
Spanish		ashes	4		θeniθas	850	θ e n i θ a s	
Swedish		ashes	4		stɔft	1448	s t ɔ f t	
Bihari		ashes	4		cʰaur	2182	cʰ au r	
Oriya		ashes	4		bʱɔsmoɔ	2189	bʱ ɔ s m oɔ	
Oriya		ashes	4		paːũsɔ	3389	p aːũ s ɔ	
Urdu		ashes	4		ɾɑkʰ	1592	ɾ ɑ kʰ	
Swedish		ashes	4		aska	178	a s k a	
Marathi		ashes	4		bʱəsmə	2189	bʱ ə s m ə	
Catalan		at	5		a	2542	a	
Czech		at	5		ʊ	2540	ʊ	
Danish		at	5		veð	2545	v e ð	
Dutch_List		at	5		tə	2546	t ə	
English		at	5		æt	2542	æ t	
French		at	5		a	2542	a	
German		at	5		an	2544	a n	
Greek_Mod		at	5		se̞	1449	s e̞	
Italian		at	5		a	2542	a	
Marathi		at	5		t	1659	t	
Polish		at	5		v	2535	v	
Portuguese_ST		at	5		ɐ̃j	2535	ɐ̃ j	
Russian		at	5		v	2535	v	
Spanish		at	5		a	2542	a	
Swedish		at	5		viːd	2545	v iː d	
Breton_ST		at	5		e	2535	e	
Oriya		at	5		ʈʰare	2537	ʈʰ a r e	
Oriya		at	5		re	2537	r e	
Urdu		at	5		pəɾ	2536	p ə ɾ	
Czech		at	5		pr̝ɪ	2538	p r̝ ɪ	
Russian		at	5		u	2540	u	
Catalan		at	5		pər	3544	p ə r	
Portuguese_ST		at	5		a	2543	a	
Swedish		at	5		poː	3561	p oː	
Marathi		at	5		wadzta	1829	w a d z t a	
Armenian_Mod		at	5		um	3582	u m	
Armenian_Mod		at	5		in	3588	i n	
Breton_ST		back	6		kɛjn	969	k ɛ j n	
Catalan		back	6		əspaʎʎə	2186	ə s p a ʎː ə	
Danish		back	6		b̥ɛj	180	b̥ ɛ j	
Dutch_List		back	6		rʏχ	2183	r ʏ χ	
English		back	6		bæk	180	b æ k	
French		back	6		do	851	d o	
German		back	6		rijkn̩	2183	r i j k n̩	
Greek_Mod		back	6		plati	1580	p l a t i	
Italian		back	6		dɔsso	851	d ɔ sː o	
Marathi		back	6		patʰ	686	p a tʰ	
Polish		back	6		plɛʦɨ	1885	p l ɛ ʦ ɨ	
Russian		back	6		spina	2059	s p i n a	
Spanish		back	6		espalda	2186	e s p a l d a	
Swedish		back	6		rʏg	2183	r ʏ g	
