language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Adnyamathanha	adny1235	ASH	4		aɖɭa_imba	449	a ɖ ɭ a i m b a	
Alyawarr	alya1239	ASH	4		etnment̪	475	e t n m e n t̪	
Arabana	arab1267	ASH	4		pudn̪u	445	p u d n̪ u	
Yugambeh-Bandjalang	band1339	ASH	4		diman	487	d i m a n	
Yugambeh-Bandjalang	band1339	ASH	4		muɹuhjn_g	487	m u ɹ u h j n g	
Yugambeh-Bandjalang	band1339	ASH	4		muɹujn_c	487	m u ɹ u j n c	
Dhangu	dhan1270	ASH	4		ganuʔ	433	g a n u ʔ	
Dhuwal	dhuw1249	ASH	4		ɭirgi	437	ɭ i r g i	
Dieri	dier1241	ASH	4		puta	446	p u t a	
Dyaabugay	dyaa1242	ASH	4		bulŋan	469	b u l ŋ a n	
Djambarrpuyngu	djam1256	ASH	4		ganuʔ	437	g a n u ʔ	
Djinang	djin1253	ASH	4		gibilbal	436	g i b i l b a l	
Gamilaraay	gami1243	ASH	4		giran	460	g i r a n	
Kumbainggar	kumb1268	ASH	4		culaːr	474	c u l aː r	
Gupapuyngu	gupa1247	ASH	4		ɭirgi	437	ɭ i r g i	
Gurindji	guri1247	ASH	4		cani	448	c a n i	
Guyani	guya1249	ASH	4		dultaɹa	455	d u l t a ɹ a	
Sydney	sydn1236	ASH	4		d̪ulaɹa	1	d̪ u l a ɹ a	
Jaru	jaru1254	ASH	4		balgaɹa	502	b a l g a ɹ a	
Djiwarli	djiw1241	ASH	4		ŋari	472	ŋ a r i	
Kalkutung	kalk1246	ASH	4		pumpa	431	p u m p a	
Gamilaraay	gami1243	ASH	4		giran	460	g i r a n	
Karadjeri	kara1476	ASH	4		pulkaɹu	441	p u l k a ɹ u	
Kartujarra	kart1247	ASH	4		cuɳpa	462	c u ɳ p a	
Kaurna	kaur1267	ASH	4		buʈa	446	b u ʈ a	
Kukatja	kuka1246	ASH	4		kawaɳ	502	k a w a ɳ	
Kuku-Yalanji	kuku1273	ASH	4		nulu	493	n u l u	
Gurdjar	gurd1238	ASH	4		noːŋ	491	n oː ŋ	
Kuuku-Ya'u	kuuk1238	ASH	4		puɹka	483	p u ɹ k a	
Kala Lagaw Ya	kala1377	ASH	4		tibi	435	t i b i	
Kala Lagaw Ya	kala1377	ASH	4		kunaɹ	435	k u n a ɹ	
Margany	marg1253	ASH	4		bud̪a	446	b u d̪ a	
