language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Shixing	shix1238	cloud	15		ći⁵⁵_rã³³	223	tsʲ i r ã ∼	
Quueyu	quey1238	cloud	15		ćtie⁵⁵	1335	tsʲ t i e	
Dhimal	dhim1246	cloud	15		badel__<_NPL	7	b a d e l	
Apatari	apat1240	cloud	15		ʒómɨ	322	ʒ o m ɨ	
Jirel	jire1238	cloud	15		muk_L¹pa_T¹	322	m u k p a	
Old Chinese	oldc1244	cloud	15		u̯hən	489	w h ə n	
Idu	idum1241	cloud	15		a¹_mu¹	260	a m u	
Lhota	loth1237	cloud	15		eloːk	903	e l oː k	
Lushai	lush1249	cloud	15		chhuːm	1335	tʃʰ uː m	
Lepcha	lepc1244	cloud	15		byoŋ	540	b y o ŋ	
Sgaw	sgaw1245	cloud	15		t̯a³³_ʔə̃ʔ⁵³	489	ʈ a ʔ ə̃ ∼ ʔ	
Rourou	nusu1239	cloud	15		ćiæ̃⁵⁵	206	tʃ i æ̃	
Dulong	drun1238	cloud	15		rɨ³¹_mɨ̆t⁵⁵	371	r ɨ m ɨ t	
Tangkul	tang1336	cloud	15		muiya	169	m u i y a	
Pa'O	paok1235	cloud	15		mouʔ⁵⁵_ʔe⁴⁴	489	m o u ʔ ʔ e	
Kulung	kulu1253	cloud	15		mɔm	322	m ɔ m	
Geker	geko1235	cloud	15		đɨʔ⁵³_ʔu⁵³	489	ð ɨ ʔ ʔ u	
Ersu	ersu1241	cloud	15		cɛ⁵⁵	223	ts ɛ	
Ao-Mongsen	mong1332	cloud	15		cuŋmiluŋ	417	ts u ŋ m i l u ŋ	
Sherpa	sher1255	cloud	15		mukpɛHF	322	m u k p ɛ	
Rawang	rawa1265	cloud	15		rəmit	371	r ə m i t	
Bokar	bori1243	cloud	15		daŋ_muk	322	d a ŋ m u k	
Hmar	hmar1241	cloud	15		suːm	1335	s uː m	
Nusu	nusu1239	cloud	15		c̣huẽ³¹_mɔ⁵	206	tʂʰ u ẽ ∼ m ɔ	
Geba	geba1237	cloud	15		t̯ɛ²²_ṭo²²_b̄	1255	ʈ ɛ ʈ o b̄	
Manu	manu1255	cloud	15		pu²²_u³³_lụ	489	p u u l ṵ	
Alike Tibetan	amdo1237	cloud	15		wćən	1422	w tsʲ ə n	
Shixing	shix1238	cloud	15		ći⁵⁵_rã³³	1422	tsʲ i r ã ∼	
Ninglang-Naxi	naxi1245	cloud	15		ći³¹	192	tsʲ i	
Khaling	khal1275	cloud	15		kömH	516	k ö m	
W. Kayah	west2409	cloud	15		ɔ⁵⁵_lɨə̣⁴⁴	489	ɔ l ɨ ə̰	
Written Tibetan	tibe1272	cloud	15		sprin	1422	s p r i n	
Batang Tibetan	kham1282	cloud	15		ći⁵⁵	1422	tsʲ i	
Gurung	guru1261	cloud	15		nxãːm³ʒyo	223	n x ãː m ʒ y o	
Lhasa Tibetan	tibe1272	cloud	15		ćĩ⁵⁵_pə⁵⁵	1422	tsʲ ĩ ∼ p ə	
Garo	garo1247	cloud	15		aram	1457	a r a m	
Hill-Miri	nyis1236	cloud	15		dumuk	322	d u m u k	
Limbu	limb1266	cloud	15		khaːpmiː	516	kʰ aː p m iː	
Hakka	hakk1236	cloud	15		iun²	489	i u n	
Motuo-M	dakp1242	cloud	15		muk_pa	322	m u k p a	
Tujia	nort2732	cloud	15		mɨe³_la¹_ɣoŋ	1422	m ɨ e l a ɣ o ŋ	
Beijing	mand1415	cloud	15		yún	489	y u n	
Zhaba	zhab1238	cloud	15		mu̲t⁵⁵_mau⁵⁵	371	m u t m a u	
Kaike	kaik1246	cloud	15		nɔmle	901	n ɔ m l e	
Yintale	yint1235	cloud	15		kan³³_ʔuŋ⁵⁵	489	k a n ʔ u ŋ	
Jinuo	youl1235	cloud	15		m⁴²_tɛ⁴⁴	1335	m t ɛ	
Serdukpen	sher1257	cloud	15		sinti	1188	s i n t i	
Namuzi	namu1246	cloud	15		c̣u³³	223	tʂ u	
Xiaxe Tibetan	amdo1237	cloud	15		śən	1422	sʲ ə n	
Lüsu	lisu1250	cloud	15		će⁵⁵	223	tsʲ e	
Liangmai	lian1251	cloud	15		kamwaŋ	349	k a m w a ŋ	
Dimasa	dima1251	cloud	15		ʒimi	169	ʒ i m i	
Yeinbaw	yinb1236	cloud	15		cə¹¹_ʔvo⁴⁴	489	ts ə ʔ v o	
N-Qiang	nort2722	cloud	15		zdəm	1335	z d ə m	
Lijiang-Naxi	lich1241	cloud	15		ći³¹	192	tsʲ i	
Zeme	zeme1240	cloud	15		kemau	349	k e m a u	
Jingpo	kach1280	cloud	15		sə³³_mui³³	169	s ə m u i	
Bodo	bodo1269	cloud	15		zəməʔj	169	z ə m ə ʔ j	
