language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Quueyu	quey1238	all	2		tə⁵⁵_łye⁵⁵	406	t ə ɬ y e	
Apatari	apat1240	all	2		mɨlaŋrɨ	411	m ɨ l a ŋ r ɨ	
Jirel	jire1238	all	2		ga_L¹ŋe_L¹	636	g a ŋ e	
Old Chinese	oldc1244	all	2		kīj_	1465	k iː j	
Lhota	loth1237	all	2		oːmpa	660	oː m p a	
Lushai	lush1249	all	2		an-za-in	268	a n z a i n	
Lepcha	lepc1244	all	2		gŭn	558	g u n	
Sgaw	sgaw1245	all	2		khɛ⁴⁴_ləʔ⁵³	382	kʰ ɛ l ə ʔ	
Rourou	nusu1239	all	2		ćiæ³⁵	317	tsʲ i æ	
Dulong	drun1238	all	2		sɨ³¹_naʔ⁵⁵	275	s ɨ n a ʔ	
Tangkul	tang1336	all	2		hupta	1502	h u p t a	
Pa'O	paok1235	all	2		ka⁴⁴_loʔ⁵⁵_lo	382	k a l o ʔ l o	
Kulung	kulu1253	all	2		khɔːlɔ	558	kʰ ɔː l ɔ	
Geker	geko1235	all	2		lɔ⁵⁵_nɨʔ⁵³	382	l ɔ n ɨ ʔ	
Ersu	ersu1241	all	2		ńo³³_kua³³	558	nʲ o k u a	
Ao-Mongsen	mong1332	all	2		telu	406	t e l u	
Sherpa	sher1255	all	2		tokHR	1502	t o k	
Rawang	rawa1265	all	2		šaŋbɛ	660	ʃ a ŋ b ɛ	
Bokar	bori1243	all	2		kə_baŋ	851	k ə b a ŋ	
Hmar	hmar1241	all	2		po_po	660	p o p o	
Nusu	nusu1239	all	2		li⁵⁵	406	l i	
Geba	geba1237	all	2		lu²²_sa⁴⁴_sɛ̃	382	l u s a s ɛ̃ ∼	
Manu	manu1255	all	2		lụ⁴⁴_bɔ¹¹	382	l ṵ b ɔ	
Alike Tibetan	amdo1237	all	2		chaŋ_mæ	183	tsʰ a ŋ m æ	
Shixing	shix1238	all	2		la³³_wa⁵⁵	692	l a w a	
Ninglang-Naxi	naxi1245	all	2		dɨ³³_ta³³	1502	d ɨ t a	
Khaling	khal1275	all	2		kholeŋ_L	558	kʰ o l e ŋ	
W. Kayah	west2409	all	2		lɔ̣³³_pli¹¹	382	l ɔ̰ p l i	
Written Tibetan	tibe1272	all	2		mthaã_dag	1502	m tʰ a ã ∼ d a g	
Batang Tibetan	kham1282	all	2		jö¹³_chɛʔ⁵³	317	j ö tsʰ ɛ ʔ	
Gurung	guru1261	all	2		taːn¹	1502	t aː n	
Lhasa Tibetan	tibe1272	all	2		chaŋ⁵⁵_ma⁵⁵	183	tsʰ a ŋ m a	
Garo	garo1247	all	2		pilak	382	p i l a k	
Hill-Miri	nyis1236	all	2		mɨllɨ	411	m ɨ l l ɨ	
Limbu	limb1266	all	2		kɛrɛk	558	k ɛ r ɛ k	
Hakka	hakk1236	all	2		du¹	1502	d u	
Motuo-M	dakp1242	all	2		tham_ćeʔ__TIB	16	tʰ a m tsʲ e ʔ	
Tujia	nort2732	all	2		xu³_ńi¹	275	x u nʲ i	
Beijing	mand1415	all	2		dōu	1502	d oː u	
Zhaba	zhab1238	all	2		tʃa̲t⁵⁵	317	tʃ a̰ t	
Kaike	kaik1246	all	2		solo	406	s o l o	
Yintale	yint1235	all	2		lu⁵⁵_lu¹¹	382	l u l u	
Jinuo	youl1235	all	2		tʃə³³	317	tʃ ə	
Serdukpen	sher1257	all	2		zebdo	196	z e b d o	
Namuzi	namu1246	all	2		a³³_kɛ³³_mu⁵	1467	a k ɛ m u	
Xiaxe Tibetan	amdo1237	all	2		ha_no	275	h a n o	
Liangmai	lian1251	all	2		matiu	317	m a t i u	
Dimasa	dima1251	all	2		kurup_	25	k u r u p	
Yeinbaw	yinb1236	all	2		pwại⁴⁴_trv²²	851	p w a̰ i t r v	
N-Qiang	nort2722	all	2		kin_di	1502	k i n d i	
Lijiang-Naxi	lich1241	all	2		ndɨ³³_χə³³_mb	1502	n d ɨ χ ə m b	
Zeme	zeme1240	all	2		pelene	275	p e l e n e	
Jingpo	kach1280	all	2		joŋ³¹	267	j o ŋ	
Bodo	bodo1269	all	2		boʔj	718	b o ʔ j	
Fuzhou	mind1253	all	2		tou⁵²	1502	t o u	
Burmese	nucl1310	all	2		alumː	455	a l u mː	
Horpa	horp1239	all	2		thəm_ćɛ_TIB	34	tʰ ə m tsʲ ɛ	
Ao-Chungli	chon1286	all	2		aʒak	209	a ʒ a k	
Padam	pada1257	all	2		apɨŋ	851	a p ɨ ŋ	
Bola	pela1242	all	2		a³¹_la̲p⁵⁵	402	a l a̰ p	
Guiqiong	guiq1238	all	2		giɛ̃³³_ʒ̣ɨ⁵⁵	883	g i ɛ̃ ∼ ʒ ɨ	
Written Tibetan	tibe1272	all	2		thams_ćad	317	tʰ a m s tsʲ a d	
Zeme	zeme1240	all	2		ramme	1431	r a m m e	
Ao-Chungli	chon1286	all	2		temaŋ	1467	t e m a ŋ	
Quueyu	quey1238	ashes	3		thə⁵⁵_pka⁵⁵_p	677	tʰ ə p k a p	
Dhimal	dhim1246	ashes	3		busuri	844	b u s u r i	
Apatari	apat1240	ashes	3		múbu	844	m u b u	
Jirel	jire1238	ashes	3		tha_L¹la_T¹	120	tʰ a l a	
Old Chinese	oldc1244	ashes	3		smə̄j	709	s m ə j	
Idu	idum1241	ashes	3		i¹_gu¹	517	i g u	
Lhota	loth1237	ashes	3		mipoːk	844	m i p oː k	
Lushai	lush1249	ashes	3		mei_vaːp	710	m e i v aː p	
Lepcha	lepc1244	ashes	3		yu	711	y u	
Sgaw	sgaw1245	ashes	3		phaʔ⁵³_sha⁴⁴	710	pʰ a ʔ sʰ a	
Rourou	nusu1239	ashes	3		na⁵⁵_ma³⁵_phu	844	n a m a pʰ u	
Dulong	drun1238	ashes	3		pa⁵⁵_pu⁵⁵	844	p a p u	
Tangkul	tang1336	ashes	3		hotla	438	h o t l a	
Pa'O	paok1235	ashes	3		pha³³	710	pʰ a	
Kulung	kulu1253	ashes	3		chubui	438	tsʰ u b u i	
Geker	geko1235	ashes	3		pha²²_sha⁴⁴	710	pʰ a sʰ a	
Ersu	ersu1241	ashes	3		ər⁵⁵	1443	ə r	
Ao-Mongsen	mong1332	ashes	3		opu	844	o p u	
Sherpa	sher1255	ashes	3		thalǯum_LR	120	tʰ a l dʒ u m	
Rawang	rawa1265	ashes	3		khaphu	844	kʰ a pʰ u	
Bokar	bori1243	ashes	3		mə_reː	1443	m ə r eː	
Hmar	hmar1241	ashes	3		pilvut	517	p i l v u t	
Nusu	nusu1239	ashes	3		dʒɛr⁴²_nhɛr⁴²	279	dʒ ɛ r nʰ ɛ r	
Geba	geba1237	ashes	3		phɛʔ⁵³_shɛ⁴⁴	710	pʰ ɛ ʔ sʰ ɛ	
Manu	manu1255	ashes	3		ku¹¹_pha⁴⁴	710	k u pʰ a	
Shixing	shix1238	ashes	3		pa³³_ji³⁵	710	p a j i	
Ninglang-Naxi	naxi1245	ashes	3		luə¹³	438	l u ə	
Khaling	khal1275	ashes	3		püyüH	438	p y y y	
W. Kayah	west2409	ashes	3		kɔ⁵⁵_phɛ¹¹	710	k ɔ pʰ ɛ	
Written Tibetan	tibe1272	ashes	3		go_thal	120	g o tʰ a l	
Batang Tibetan	kham1282	ashes	3		thei¹³_kâ⁵⁵	120	tʰ e i k a	
Gurung	guru1261	ashes	3		mebro¹	438	m e b r o	
Lhasa Tibetan	tibe1272	ashes	3		kho¹³_thɛ⁵⁵	120	kʰ o tʰ ɛ	
Garo	garo1247	ashes	3		tapra	438	t a p r a	
Hill-Miri	nyis1236	ashes	3		maya	711	m a j a	
Limbu	limb1266	ashes	3		thappu	1514	tʰ a p p u	
Hakka	hakk1236	ashes	3		foi¹	709	f o i	
Motuo-M	dakp1242	ashes	3		thu_lu	120	tʰ u l u	
Tujia	nort2732	ashes	3		pu⁴_chi³	844	p u tsʰ i	
Beijing	mand1415	ashes	3		xūi	709	x uː i	
Zhaba	zhab1238	ashes	3		_mop⁵⁵	710	m o p	
Kaike	kaik1246	ashes	3		malha	438	m a lʰ a	
Yintale	yint1235	ashes	3		pha³³	710	pʰ a	
Jinuo	youl1235	ashes	3		a³³_mə⁵⁵	709	a m ə	
Serdukpen	sher1257	ashes	3		mi	709	m i	
Namuzi	namu1246	ashes	3		la³⁵	438	l a	
Xiaxe Tibetan	amdo1237	ashes	3		tha	120	tʰ a	
Lüsu	lisu1250	ashes	3		źy³⁵	1443	zʲ y	
Dimasa	dima1251	ashes	3		thapla	438	tʰ a p l a	
Yeinbaw	yinb1236	ashes	3		pha¹¹	710	pʰ a	
N-Qiang	nort2722	ashes	3		ći_ći_bu_zụ	710	tsʲ i tsʲ i b u z ṵ	
Lijiang-Naxi	lich1241	ashes	3		ɣɨ⁵⁵	438	ɣ ɨ	
Zeme	zeme1240	ashes	3		tinbun	681	t i n b u n	
Jingpo	kach1280	ashes	3		tap³¹	1514	t a p	
Bodo	bodo1269	ashes	3		_haŋgar	531	h a ŋ g a r	
Fuzhou	mind1253	ashes	3		xui⁵⁵	709	x u i	
Burmese	nucl1310	ashes	3		pra	438	p r a	
Horpa	horp1239	ashes	3		flɛ	438	f l ɛ	
Ao-Chungli	chon1286	ashes	3		ap	844	a p	
Padam	pada1257	ashes	3		med-bu	844	m e d b u	
Bola	pela1242	ashes	3		mi³¹_map³¹	710	m i m a p	
Guiqiong	guiq1238	ashes	3		c̣hɨ⁵³	710	tʂʰ ɨ	
Quueyu	quey1238	ashes	3		thə⁵⁵_pka⁵⁵_p	710	tʰ ə p k a p	
Apatari	apat1240	ashes	3		muyu	711	m u y u	
Jirel	jire1238	ashes	3		tha_L¹la_T¹	438	tʰ a l a	
Lushai	lush1249	ashes	3		vut	517	v u t	
Kulung	kulu1253	ashes	3		chubui	844	tsʰ u b u i	
