language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Tasha_Tujia		all	98	98	xu²⁴+ni⁵⁵	1	x u ²⁴ n i ⁵⁵	
Duogu_Tujia		all	98	98	xu²⁴+ni⁴⁴	1	x u ²⁴ n i ⁴⁴	
Dianfang_Tujia		all	98	98	xu³⁵+ni⁵⁵	1	x u ³⁵ n i ⁵⁵	
Boluo_Tujia		all	98	98	bu¹³+li⁵³	2	b u ¹³ l i ⁵³	
Tanxi_Tujia		all	98	98	bu¹³	2	b u ¹³	
Tasha_Tujia		ashes	646	646	pu²¹+ʨʰi²⁴	3	p u ²¹ tɕʰ i ²⁴	
Duogu_Tujia		ashes	646	646	pu²¹+ʦʰi⁵³	3	p u ²¹ tsʰ i ⁵³	
Dianfang_Tujia		ashes	646	646	pu²¹+ʦʰi³⁵	3	p u ²¹ tsʰ i ³⁵	
Boluo_Tujia		ashes	646	646	mu²¹+ʦʰi⁵³	3	m u ²¹ tsʰ i ⁵³	
Tanxi_Tujia		ashes	646	646	mu¹³+ʦʰi⁵⁵	3	m u ¹³ tsʰ i ⁵⁵	
Tasha_Tujia		belly	1251	1251	mɤ²¹+ʦʰi²¹+kʰɤ⁵⁵	5	m ɤ ²¹ tsʰ i ²¹ kʰ ɤ ⁵⁵	
Duogu_Tujia		belly	1251	1251	mɨe²¹	5	m ɨ e ²¹	
Dianfang_Tujia		belly	1251	1251	mɨe²¹	5	m ɨ e ²¹	
Boluo_Tujia		belly	1251	1251	mɨe²¹+ʨi⁵³	5	m ɨ e ²¹ tɕ i ⁵³	
Tanxi_Tujia		belly	1251	1251	mɨe¹³+ʨi⁵⁵	5	m ɨ e ¹³ tɕ i ⁵⁵	
Tasha_Tujia		big	1202	1202	ʦʰi²¹	6	tsʰ i ²¹	
Duogu_Tujia		big	1202	1202	ʦʰi⁵³	6	tsʰ i ⁵³	
Dianfang_Tujia		big	1202	1202	ʦʰi⁵⁵	6	tsʰ i ⁵⁵	
Boluo_Tujia		big	1202	1202	ʨʰi³³	6	tɕʰ i ³³	
Tanxi_Tujia		big	1202	1202	ʨʰi³³	6	tɕʰ i ³³	
Tasha_Tujia		bird	937	937	ni̯ɛ²⁴+pi⁵⁵	7	n j ɛ ²⁴ p i ⁵⁵	
Duogu_Tujia		bird	937	937	nie²¹+pi⁵³	7	n i e ²¹ p i ⁵³	
Dianfang_Tujia		bird	937	937	ne³⁵+pi³⁵	7	n e ³⁵ p i ³⁵	
Boluo_Tujia		bird	937	937	kɨ²¹+ʦo²¹+nũ²¹	8	k ɨ ²¹ ts o ²¹ n ũ ∼ ²¹	
Tanxi_Tujia		bird	937	937	kɨ²¹+ʦo²¹	8	k ɨ ²¹ ts o ²¹	
Tasha_Tujia		bite	1403	1403	ka²⁴	9	k a ²⁴	
Duogu_Tujia		bite	1403	1403	ka²⁴	9	k a ²⁴	
Boluo_Tujia		bite	1403	1403	go¹³	9	g o ¹³	
Tasha_Tujia		black	163	163	laŋ²⁴+ka⁵⁵	10	l a ŋ ²⁴ k a ⁵⁵	
