language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Erzya		at	1461		kedʲse	2340	k e dʲ s e	
Erzya		at	1461		peʎe	2343	p e ʎ e	
Ingrian		at	1461		loːn	2338	l oː n	
Komi-Permyak		at	1461		sɑjɯn	2348	s ɑ j ɯ n	
Komi-Permyak		at	1461		dɯnɯn	2351	d ɯ n ɯ n	
Komi-Zyrian		at	1461		dorɯn	2341	d o r ɯ n	
Komi-Zyrian		at	1461		ordɯn	2342	o r d ɯ n	
Selkup		at	1461		nɑːnə	2347	n ɑː n ə	
Udmurt		at	1461		dorɯn	2341	d o r ɯ n	
Udmurt		at	1461		urtsɯn	2342	u r t s ɯ n	
Erzya		because	1157		ɕeks	2360	ɕ e k s	
Erzya		because	1157		ɕeks_meks	2360	ɕ e k s _ m e k s	
Ingrian		because	1157		sentæː	2	s e n t æː	
Ingrian		because	1157		sentæː	2	s e n t æː	
Ingrian		because	1157		sem_peræst	2363	s e m _ p e r æ s t	
Komi-Permyak		because	1157		ɕiʥ_kɯʥ	2369	ɕ i dʑ _ k ɯ dʑ	
Komi-Permyak		because	1157		dɑ	2368	d ɑ	
Komi-Zyrian		because	1157		sɯ_pondɑ	2359	s ɯ _ p o n d ɑ	
Komi-Zyrian		because	1157		sɯ_vɤsnɑ	2364	s ɯ _ v ɤ s n ɑ	
Nganasan		because	1157		ɲiːðə	2367	ɲ iː ð ə	
Nganasan		because	1157		suəbəsɯ	2370	s u ə b ə s ɯ	
Udmurt		because	1157		mɑlɯ_ke_ʃuono	2365	m ɑ l ɯ _ k e _ ʃ u o n o	
Erzya		cloud	1489		peʎ	2444	p e ʎ	
Ingrian		cloud	1489		pilvi	2444	p i l v i	
Komi-Permyak		cloud	1489		kɯmɤr	2445	k ɯ m ɤ r	
Komi-Zyrian		cloud	1489		kɯmɤr	2445	k ɯ m ɤ r	
Nganasan		cloud	1489		ʧiəðu	7	tʃ i ə ð u	
Selkup		cloud	1489		tiːttə	7	t iː t t ə	
Udmurt		cloud	1489		piʎem	2444	p i ʎ e m	
Ingrian		cloud	1489		tuːtˑsɑ	7	t uː tː s ɑ	
Erzya		cloud	1489		kovol	2445	k o v o l	
Erzya		eat	1336		sevems	14	s e v e m s	
Erzya		eat	1336		jɑrsɑms	2545	j ɑ r s ɑ m s	
Ingrian		eat	1336		søːvˑæ	14	s øː vː æ	
Komi-Permyak		eat	1336		ɕojnɯ	2544	ɕ o j n ɯ	
Komi-Zyrian		eat	1336		ɕojnɯ	2544	ɕ o j n ɯ	
Nganasan		eat	1336		ŋəmsɑ	15	ŋ ə m s ɑ	
Udmurt		eat	1336		ɕiɯnɯ	2544	ɕ i ɯ n ɯ	
