language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Ingrian		I	1209		miæ	2293	m i æ	
Komi-Permyak		I	1209		me	2293	m e	
Komi-Zyrian		I	1209		me	2293	m e	
Nganasan		I	1209		mənə	2293	m ə n ə	
Selkup		I	1209		mɑn	2293	m ɑ n	
Udmurt		I	1209		mon	2293	m o n	
Erzya		I	1209		mon	2293	m o n	
Erzya		all	98		veɕe	2296	v e ɕ e	
Ingrian		all	98		kɑi	2294	k ɑ i	
Komi-Permyak		all	98		bɯdɤs	2297	b ɯ d ɤ s	
Komi-Zyrian		all	98		bɯd	2297	b ɯ d	
Komi-Zyrian		all	98		stɑv	2300	s t ɑ v	
Nganasan		all	98		bənsə	2296	b ə n s ə	
Selkup		all	98		muntə	2301	m u n t ə	
Udmurt		all	98		vɑɲmɯz	2302	v ɑ ɲ m ɯ z	
Erzya		ashes	646		kulov	2336	k u l o v	
Ingrian		ashes	646		poro	2330	p o r o	
Komi-Permyak		ashes	646		pɤjim	2333	p ɤ j i m	
Komi-Zyrian		ashes	646		pɤjim	2333	p ɤ j i m	
Nganasan		ashes	646		tuː_dʲoəʔ	2337	t uː _ dʲ o ə ʔ	
Selkup		ashes	646		ɕiːmə	2335	ɕ iː m ə	
Udmurt		ashes	646		peɲ	2333	p e ɲ	
Erzya		because	1157		ɕeks	2360	ɕ e k s	
Erzya		because	1157		ɕeks_meks	2360	ɕ e k s _ m e k s	
Ingrian		because	1157		sentæː	2	s e n t æː	
Ingrian		because	1157		sentæː	2	s e n t æː	
Ingrian		because	1157		sem_peræst	2363	s e m _ p e r æ s t	
Komi-Permyak		because	1157		ɕiʥ_kɯʥ	2369	ɕ i dʑ _ k ɯ dʑ	
Komi-Permyak		because	1157		dɑ	2368	d ɑ	
Komi-Zyrian		because	1157		sɯ_pondɑ	2359	s ɯ _ p o n d ɑ	
Komi-Zyrian		because	1157		sɯ_vɤsnɑ	2364	s ɯ _ v ɤ s n ɑ	
Nganasan		because	1157		ɲiːðə	2367	ɲ iː ð ə	
Nganasan		because	1157		suəbəsɯ	2370	s u ə b ə s ɯ	
Udmurt		because	1157		mɑlɯ_ke_ʃuono	2365	m ɑ l ɯ _ k e _ ʃ u o n o	
Erzya		big	1202		pokʃ	2389	p o k ʃ	
Ingrian		big	1202		suːr	2385	s uː r	
Komi-Permyak		big	1202		ɯʤɯt	2388	ɯ dʒ ɯ t	
Komi-Zyrian		big	1202		ɯʤɯd	2388	ɯ dʒ ɯ d	
Nganasan		big	1202		ɑniʔə	2393	ɑ n i ʔ ə	
Selkup		big	1202		uə̠rqə	2391	u ə̠ r q ə	
Udmurt		big	1202		bɑʥʥɯm	2392	b ɑ dʑ dʑ ɯ m	
Erzya		bird	937		nɑrmuɲ	2395	n ɑ r m u ɲ	
Ingrian		bird	937		lind̥u	2394	l i n d̥ u	
Komi-Permyak		bird	937		kɑj	2403	k ɑ j	
Komi-Zyrian		bird	937		kitsɑ	2397	k i t s ɑ	
Komi-Zyrian		bird	937		lebɑʨ	2398	l e b ɑ tɕ	
Nganasan		bird	937		təibəː	2402	t ə i b əː	
Selkup		bird	937		tilʧəti_suːrəm	2402	t i l tʃ ə t i _ s uː r ə m	
