concept,doculect,counterpart,cc,inferredCC,db
"I, me",Alak,ʔal,9,"aa:I, me:1",aa
"I, me",Bahnar-Golar,ʔiɲ,1,"aa:I, me:1",aa
"I, me",Bahnar-Kontum,ʔiɲ,1,"aa:I, me:1",aa
"I, me",Bahnar-Pleiku,ʔiɲ,1,"aa:I, me:1",aa
"I, me",Brao,ʔaj,10,"aa:I, me:1",aa
"I, me",Bru-Talan,kɨː,2,"aa:I, me:1",aa
"I, me",Bru-Ubon,kɤw,2,"aa:I, me:1",aa
"I, me",Bugan,ɔ̱³¹,3,"aa:I, me:1",aa
"I, me",Car,cin,7,"aa:I, me:1",aa
"I, me",Cua,go,11,"aa:I, me:1",aa
"I, me",Gorum,miŋ,1,"aa:I, me:1",aa
"I, me",Halang,ʔau,10,"aa:I, me:1",aa
"I, me",Idu,naʔɛ̰̂ːŋ,5,"aa:I, me:1",aa
"I, me",In,kɨː,2,"aa:I, me:1",aa
"I, me",Jeh,ʔaw,10,"aa:I, me:1",aa
"I, me",Jru-Laven,ʔaːj,10,"aa:I, me:1",aa
"I, me",Karii,tɛːʔ,8,"aa:I, me:1",aa
"I, me",Katang,kaw,2,"aa:I, me:1",aa
"I, me",Katu-AnDiem,kuː,2,"aa:I, me:1",aa
"I, me",Kharia,iŋ,1,"aa:I, me:1",aa
"I, me",Khmer-Standard,kʰɲum,4,"aa:I, me:1",aa
"I, me",Khmer-Surin,ʔaɲ,1,"aa:I, me:1",aa
"I, me",Khmu-Cuang,ʔoʔ,3,"aa:I, me:1",aa
"I, me",Khmu-Yuan,ʔòʔ,3,"aa:I, me:1",aa
"I, me",Kui(Huffman1979),kʌw,2,"aa:I, me:1",aa
"I, me",Kui(Sriwises1978),kaw,2,"aa:I, me:1",aa
"I, me",Kui(Sriwises1978),haj,12,"aa:I, me:1",aa
"I, me",Lawa(Ratanakul),ʔe,3,"aa:I, me:1",aa
"I, me",Mal-T'in,ʔəɲ,1,"aa:I, me:1",aa
"I, me",ManMet,ɔʔ⁵³,3,"aa:I, me:1",aa
"I, me",Mang,ʔuː⁴,3,"aa:I, me:1",aa
"I, me",Mankong,kɨ̤ʔ,2,"aa:I, me:1",aa
"I, me",Mnong-Rölöm,ʔaɲ,1,"aa:I, me:1",aa
"I, me",Mon,ʔoa,6,"aa:I, me:1",aa
"I, me",Nancowri,ca,7,"aa:I, me:1",aa
"I, me",Nancowri,cɯa,7,"aa:I, me:1",aa
"I, me",Nge',kəw,2,"aa:I, me:1",aa
"I, me",Nyaheun,ʔaː,10,"aa:I, me:1",aa
"I, me",Nyahkur,wɛ́j,6,"aa:I, me:1",aa
"I, me",Pacoh,kɯː,2,"aa:I, me:1",aa
"I, me",Palaung-Dara'ang,Ɂo,3,"aa:I, me:1",aa
"I, me",Palaung-Kalaw,ʔowniː,3,"aa:I, me:1",aa
"I, me",Palaung-Namhsan,ʔɔ,3,"aa:I, me:1",aa
"I, me",Pnar,ʔɔ,3,"aa:I, me:1",aa
"I, me",Rengao,ʔaw,10,"aa:I, me:1",aa
"I, me",Riang-Sak,ʔoʔ¹,3,"aa:I, me:1",aa
"I, me",Ruc,ho,8,"aa:I, me:1",aa
"I, me",Santali,ʔɤʔ,3,"aa:I, me:1",aa
"I, me",Sedang,ʔaw,10,"aa:I, me:1",aa
"I, me",So-Khammouane,ŋko̤aʔ,2,"aa:I, me:1",aa
"I, me",So-SakonNakhon,ŋkɑ̤ʔ,2,"aa:I, me:1",aa
"I, me",So-SakonNakhon,hiʔ,12,"aa:I, me:1",aa
"I, me",Sora,iɲ,1,"aa:I, me:1",aa
"I, me",Sora,ɲen,1,"aa:I, me:1",aa
"I, me",Souei-Saravan,kɨː,2,"aa:I, me:1",aa
"I, me",Sre,ʔaɲ,1,"aa:I, me:1",aa
"I, me",Stieng,hej,12,"aa:I, me:1",aa
"I, me",TaOi,kɨː,2,"aa:I, me:1",aa
"I, me",Wa-Praok,aə,3,"aa:I, me:1",aa
bear,Alak,cakaw,189,aa:bear:1,aa
bear,Bahnar-Golar,ɟəkøu,189,aa:bear:1,aa
bear,Bahnar-Kontum,həgøu,189,aa:bear:1,aa
bear,Bahnar-Pleiku,cəgəw,189,aa:bear:1,aa
bear,Bru-Talan,haŋkaːw,189,aa:bear:1,aa
bear,Bru-Ubon,səkaw,189,aa:bear:1,aa
bear,Bugan,pi̱u̱³¹,182,aa:bear:5,aa
bear,Cua,sagəw,189,aa:bear:1,aa
bear,Gorum,kibuˀd,185,aa:bear:6,aa
bear,Idu,bî̤ː,181,aa:bear:9,aa
bear,In,həŋkaːw,189,aa:bear:1,aa
bear,Jeh,kəta̤m,190,aa:bear:10,aa
bear,Jru-Laven,hkaw,189,aa:bear:1,aa
bear,Karii,cakùːʔ,189,aa:bear:1,aa
bear,Katang,həŋkɨaw,189,aa:bear:1,aa
bear,Katu-AnDiem,ɟarɨəm,192,aa:bear:11,aa
bear,Kharia,bɔˈnɔi,186,aa:bear:4,aa
bear,Kharia,banaj,186,aa:bear:4,aa
bear,Khasi,dŋiem,179,aa:bear:2,aa
bear,Khmer-Standard,kʰmùm,180,aa:bear:2,aa
bear,Khmu-Cuang,huəl,182,aa:bear:7,aa
bear,Khmu-Yuan,húal,182,aa:bear:7,aa
bear,Kui(Huffman1979),ka̤w,189,aa:bear:1,aa
bear,Lawa(Ratanakul),kjəih,187,aa:bear:3,aa
bear,Mal-T'in,piak,181,aa:bear:5,aa
bear,ManMet,afeh³³,187,aa:bear:12,aa
bear,Mang,cɨə¹,183,aa:bear:1,aa
bear,Mankong,səkaw,189,aa:bear:1,aa
bear,Mnong-Rölöm,kɔːkʰaːŋ,189,aa:bear:13,aa
bear,Mon,mɛm,184,aa:bear:2,aa
bear,Nge',haŋkʌw,189,aa:bear:1,aa
bear,Nyaheun,naːklaːŋ,191,aa:bear:14,aa
bear,Pacoh,ʔapɤːŋ,177,aa:bear:15,aa
bear,Palaung-Dara'ang,magrəjh,187,aa:bear:16,aa
bear,Palaung-Kalaw,leʔprɛː,188,aa:bear:17,aa
bear,Palaung-Namhsan,krer,187,aa:bear:3,aa
bear,Pnar,dŋɛm,179,aa:bear:2,aa
bear,Rengao,həkəw,189,aa:bear:1,aa
bear,Riang-Sak,krɛs¹,187,aa:bear:3,aa
bear,Ruc,cakṵ̀ː,189,aa:bear:1,aa
bear,Santali,bana,186,aa:bear:4,aa
bear,Sedang,rəko̰w,189,aa:bear:1,aa
bear,So-Khammouane,cikaw,189,aa:bear:1,aa
bear,So-SakonNakhon,miː,178,aa:bear:18,aa
bear,Sora,kʌmbud,185,aa:bear:6,aa
bear,Souei-Saravan,səkaːw,189,aa:bear:1,aa
bear,Sre,ɟirkaw,189,aa:bear:1,aa
bear,Stieng,kau,189,aa:bear:8,aa
bear,TaOi,həŋkaːw,189,aa:bear:1,aa
bear,Vietnamese,gấu,189,aa:bear:8,aa
bear,Wa-Praok,krih,187,aa:bear:3,aa
bear,War-Lamin,ləŋɛm,179,aa:bear:2,aa
rat/mouse,Alak,camaŋ,1750,aa:rat/mouse:8,aa
rat/mouse,Bahnar-Golar,kənɛː,1743,aa:rat/mouse:1,aa
rat/mouse,Bahnar-Kontum,kənɛː,1743,aa:rat/mouse:1,aa
rat/mouse,Bahnar-Pleiku,kənɛː,1743,aa:rat/mouse:1,aa
rat/mouse,Brao,kəneː,1743,aa:rat/mouse:1,aa
