db,concept,doculect,counterpart,fullCC,inferredCC
aa_0_train,root,Alak,rɛːh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bahnar-Golar,rəh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bahnar-Kontum,rəh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bahnar-Pleiku,rəh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Brao,riax,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bru-Talan,riˀajh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bru-Ubon,re̤ːh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Bugan,ɣa̱ɯ̱¹³,aa_0_train:root:1881,aa_0_train:root:8
aa_0_train,root,Car,reh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Cua,reah,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Gorum,unloˀb,aa_0_train:root:1885,aa_0_train:root:7
aa_0_train,root,Halang,riəh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Idu,rîə,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,In,rḭajh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Jeh,riaç,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Jru-Laven,rias,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Karii,lɛːrh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Katang,riːeh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Katu-AnDiem,rieh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Kharia,ɟuˑˀɖ,aa_0_train:root:1886,aa_0_train:root:2
aa_0_train,root,Khasi,tɨnraːj,aa_0_train:root:1881,aa_0_train:root:6
aa_0_train,root,Khmer-Standard,rɨh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Khmer-Surin,rɯh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Khmu-Cuang,riəs,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Khmu-Yuan,rìas,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Kui(Huffman1979),lɛ̤h,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Kui(Sriwises1978),rɛ̀h,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Lawa(Ratanakul),ɣɛh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Mal-T'in,kiəs,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,ManMet,ɡɛh³¹seʔ⁵³,aa_0_train:root:1881,aa_0_train:root:5
aa_0_train,root,Mankong,re̤ːh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Mnong-Rölöm,rɛh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Mon,rə̀h,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Nancowri,jiah,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Nge',rias,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Nyaheun,riah,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Nyahkur,rìh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Pacoh,rḭas,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Palaung-Dara'ang,riah,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Palaung-Kalaw,riahhəj,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Palaung-Namhsan,riər,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Pnar,treː,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Rengao,rih,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Riang-Sak,rias²,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Ruc,liɛlʰ¹,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Santali,səɽim,aa_0_train:root:1882,aa_0_train:root:4
aa_0_train,root,Santali,rehet˺,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Sedang,rɛj,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,So-Khammouane,re̤h,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,So-SakonNakhon,re̤h,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Sora,ɟʔed,aa_0_train:root:1884,aa_0_train:root:2
aa_0_train,root,Souei-Saravan,rɛːh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Sre,rias,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Stieng,drieh,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,TaOi,rias,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Vietnamese,rễ,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Wa-Praok,ri̤ah,aa_0_train:root:1881,aa_0_train:root:1
aa_0_train,root,Wa-Praok,num,aa_0_train:root:1881,aa_0_train:root:3
aa_0_train,root,War-Lamin,ʃit,aa_0_train:root:1883,aa_0_train:root:2
aa_0_train,stick of wood,Alak,tarkal,aa_0_train:stick of wood:2254,aa_0_train:stick of wood:10
aa_0_train,stick of wood,Alak,ʔlɔːŋkʻartʻeh,aa_0_train:stick of wood:2255,aa_0_train:stick of wood:1
aa_0_train,stick of wood,Bahnar-Pleiku,ʔlɔːŋ,aa_0_train:stick of wood:2255,aa_0_train:stick of wood:1
aa_0_train,stick of wood,Brao,lɑːŋ,aa_0_train:stick of wood:2255,aa_0_train:stick of wood:1
aa_0_train,stick of wood,Brao,kɨrdoːŋ,aa_0_train:stick of wood:2255,aa_0_train:stick of wood:2
