db,concept,doculect,counterpart,fullCC,inferredCC
aa_prop_50_4_train,"I, me",Alak,ʔal,"aa_prop_50_4_train:I, me:9","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Bahnar-Golar,ʔiɲ,"aa_prop_50_4_train:I, me:1","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Bahnar-Kontum,ʔiɲ,"aa_prop_50_4_train:I, me:1","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Bahnar-Pleiku,ʔiɲ,"aa_prop_50_4_train:I, me:1","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Brao,ʔaj,"aa_prop_50_4_train:I, me:10","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Bru-Talan,kɨː,"aa_prop_50_4_train:I, me:2","aa_prop_50_4_train:I, me:2"
aa_prop_50_4_train,"I, me",Bru-Ubon,kɤw,"aa_prop_50_4_train:I, me:2","aa_prop_50_4_train:I, me:2"
aa_prop_50_4_train,"I, me",Bugan,ɔ̱³¹,"aa_prop_50_4_train:I, me:3","aa_prop_50_4_train:I, me:4"
aa_prop_50_4_train,"I, me",Car,cin,"aa_prop_50_4_train:I, me:7","aa_prop_50_4_train:I, me:3"
aa_prop_50_4_train,"I, me",Cua,go,"aa_prop_50_4_train:I, me:11","aa_prop_50_4_train:I, me:2"
aa_prop_50_4_train,"I, me",Gorum,miŋ,"aa_prop_50_4_train:I, me:1","aa_prop_50_4_train:I, me:3"
aa_prop_50_4_train,"I, me",Halang,ʔau,"aa_prop_50_4_train:I, me:10","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Idu,naʔɛ̰̂ːŋ,"aa_prop_50_4_train:I, me:5","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",In,kɨː,"aa_prop_50_4_train:I, me:2","aa_prop_50_4_train:I, me:2"
aa_prop_50_4_train,"I, me",Jeh,ʔaw,"aa_prop_50_4_train:I, me:10","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Jru-Laven,ʔaːj,"aa_prop_50_4_train:I, me:10","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Karii,tɛːʔ,"aa_prop_50_4_train:I, me:8","aa_prop_50_4_train:I, me:1"
aa_prop_50_4_train,"I, me",Katang,kaw,"aa_prop_50_4_train:I, me:2","aa_prop_50_4_train:I, me:2"
