db,concept,doculect,counterpart,fullCC,inferredCC
an_train,hand,Banoni,numa,an_train:hand:446,an_train:hand:9
an_train,hand,Bare'e,pale,an_train:hand:1484,an_train:hand:10
an_train,hand,Berawan (Long Terawan),tisu,an_train:hand:481,an_train:hand:5
an_train,hand,Berawan (Long Terawan),isu,an_train:hand:481,an_train:hand:4
an_train,hand,Central Amis,kamaj,an_train:hand:19,an_train:hand:3
an_train,hand,Chamorro,kanːai,an_train:hand:2515,an_train:hand:1
an_train,hand,Hanunoo,kamaŋ,an_train:hand:1796,an_train:hand:3
an_train,hand,Iban,taŋan,an_train:hand:155,an_train:hand:1
an_train,hand,Iban,jari,an_train:hand:1556,an_train:hand:8
an_train,hand,Mailu,ima,an_train:hand:446,an_train:hand:2
an_train,hand,Maloh,taŋan,an_train:hand:155,an_train:hand:1
an_train,hand,Merina (Malagasy),tanana,an_train:hand:155,an_train:hand:1
an_train,hand,Nias,taŋa,an_train:hand:155,an_train:hand:1
an_train,hand,Palauan,cʰim,an_train:hand:446,an_train:hand:7
an_train,hand,Singhi,toŋan,an_train:hand:155,an_train:hand:1
an_train,hand,Tetum,liman,an_train:hand:446,an_train:hand:2
an_train,hand,Thao,rima,an_train:hand:446,an_train:hand:2
an_train,hand,Tsou,mucu,an_train:hand:350,an_train:hand:6
an_train,hand,Tunjung,aŋaʔ,an_train:hand:155,an_train:hand:1
an_train,hand,Wuna,lima,an_train:hand:446,an_train:hand:2
an_train,dirty,Banggi,damak,an_train:dirty:567,an_train:dirty:20
an_train,dirty,Banoni,kiːpi,an_train:dirty:2605,an_train:dirty:19
an_train,dirty,Bare'e,sapa,an_train:dirty:1485,an_train:dirty:18
an_train,dirty,Berawan (Long Terawan),labih,an_train:dirty:1633,an_train:dirty:17
an_train,dirty,Central Amis,maacek,an_train:dirty:2336,an_train:dirty:16
an_train,dirty,Central Amis,makalit,an_train:dirty:2337,an_train:dirty:15
an_train,dirty,Chamorro,hoplat,an_train:dirty:2518,an_train:dirty:14
an_train,dirty,Hanunoo,majagtiŋ,an_train:dirty:423,an_train:dirty:13
an_train,dirty,Hanunoo,maʔuriŋ,an_train:dirty:423,an_train:dirty:12
an_train,dirty,Iban,kamah,an_train:dirty:667,an_train:dirty:22
an_train,dirty,Mailu,milomilo,an_train:dirty:335,an_train:dirty:21
an_train,dirty,Merina (Malagasy),maloto,an_train:dirty:242,an_train:dirty:1
an_train,dirty,Moken,caʔiək,an_train:dirty:1705,an_train:dirty:2
an_train,dirty,Nias,moŋdaʔi,an_train:dirty:-401,an_train:dirty:11
an_train,dirty,Palauan,idokel,an_train:dirty:1257,an_train:dirty:10
an_train,dirty,Singhi,kais,an_train:dirty:2747,an_train:dirty:9
an_train,dirty,Singhi,sirida,an_train:dirty:2748,an_train:dirty:8
an_train,dirty,Tetum,kfur,an_train:dirty:1882,an_train:dirty:7
an_train,dirty,Tetum,karebo,an_train:dirty:1883,an_train:dirty:6
an_train,dirty,Thao,marisrisin,an_train:dirty:1165,an_train:dirty:5
an_train,dirty,Tsou,cai,an_train:dirty:79,an_train:dirty:4
an_train,dirty,Tsou,caʔi,an_train:dirty:79,an_train:dirty:2
