concept,doculect,counterpart,cc,inferredCC,db
right (side),Alak,pah tɨm,2999,bah:right (side):1,bah
right (side),BahnarGolar,(gah) ʔmaː,3010,bah:right (side):1,bah
right (side),BahnarKontum,(gah) ʔmaː,3010,bah:right (side):1,bah
right (side),BahnarPleiku,(gah) ʔmaː,3010,bah:right (side):1,bah
right (side),Brao,cəmaː,3010,bah:right (side):1,bah
right (side),Bunong,maː,3010,bah:right (side):1,bah
right (side),Cheng,paw camaː,3010,bah:right (side):1,bah
right (side),Chrau,maː,3010,bah:right (side):1,bah
right (side),Cua,ɓəː,3010,bah:right (side):2,bah
right (side),Halang,ʔmaː,3010,bah:right (side):1,bah
right (side),Jeh,nah ʔmaː,3010,bah:right (side):1,bah
right (side),JruLaven,hmaː,3010,bah:right (side):1,bah
right (side),Kasseng,ʔəmaː,3010,bah:right (side):1,bah
right (side),Khaonh,kʰɑŋ mɑː,3010,bah:right (side):1,bah
right (side),Mel,kʰaŋ maː,3010,bah:right (side):1,bah
right (side),MnongRlm,maː,3010,bah:right (side):1,bah
right (side),Nyaheun,mmaː,3010,bah:right (side):1,bah
right (side),Ramam,həmaː,3010,bah:right (side):1,bah
right (side),Rengao,ʔmaː,3010,bah:right (side):1,bah
right (side),Sapuan,samaː,3010,bah:right (side):1,bah
right (side),Sre,ma,3010,bah:right (side):1,bah
right (side),Stieng,maː,3010,bah:right (side):1,bah
right (side),Tampuan,samaː,3010,bah:right (side):1,bah
hair (head),Alak,sɔk,1520,bah:hair (head):1,bah
hair (head),BahnarGolar,sɔk,1520,bah:hair (head):1,bah
hair (head),BahnarKontum,sɔk,1520,bah:hair (head):1,bah
hair (head),BahnarPleiku,sɔk,1520,bah:hair (head):1,bah
hair (head),Brao,cʰok,1520,bah:hair (head):1,bah
hair (head),Bunong,sɔk,1520,bah:hair (head):1,bah
hair (head),Cheng,sɔk,1520,bah:hair (head):1,bah
hair (head),Chrau,sɔʔ,1520,bah:hair (head):1,bah
hair (head),Cua,hloːk,1520,bah:hair (head):1,bah
hair (head),Halang,sɔk,1520,bah:hair (head):1,bah
hair (head),Jeh,suk,1520,bah:hair (head):1,bah
hair (head),JruLaven,sok,1520,bah:hair (head):1,bah
hair (head),Kasseng,sok,1520,bah:hair (head):1,bah
hair (head),Khaonh,sɔk,1520,bah:hair (head):1,bah
hair (head),Mel,sɔk,1520,bah:hair (head):1,bah
hair (head),MnongRlm,sɔk,1520,bah:hair (head):1,bah
hair (head),Nyaheun,sɔk,1520,bah:hair (head):1,bah
hair (head),Ramam,ʦak,1520,bah:hair (head):1,bah
hair (head),Rengao,ʦə̤k,1520,bah:hair (head):1,bah
hair (head),Sapuan,sɔk / ʔasɔk,1520,bah:hair (head):1,bah
hair (head),Sedang,sak,1520,bah:hair (head):1,bah
hair (head),Sre,sɔʔ,1520,bah:hair (head):1,bah
hair (head),Stieng,sɔk,1520,bah:hair (head):1,bah
hair (head),Tampuan,sɔk,1520,bah:hair (head):1,bah
light (weight),Alak,hacʻəːc,1879,bah:light (weight):1,bah
light (weight),BahnarGolar,hjəːc,1879,bah:light (weight):1,bah
light (weight),BahnarKontum,hjəːc,1879,bah:light (weight):1,bah
light (weight),BahnarPleiku,həʔjəːc,1879,bah:light (weight):1,bah
light (weight),BahnarPleiku,pʰjəːl,1880,bah:light (weight):1,bah
light (weight),Brao,joːc,1879,bah:light (weight):1,bah
light (weight),Chrau,nkʰəːc,1879,bah:light (weight):1,bah
light (weight),Cua,ʔahjəːl,1880,bah:light (weight):1,bah
light (weight),Halang,həʔẽ̤ːk,1881,bah:light (weight):1,bah
light (weight),Jeh,ŋe̤ːk,1881,bah:light (weight):1,bah
light (weight),JruLaven,hɟʌːc,1879,bah:light (weight):1,bah
light (weight),Kasseng,ɲɟɤːc,1879,bah:light (weight):1,bah
light (weight),MnongRlm,ŋhəːc,1879,bah:light (weight):1,bah
light (weight),Ramam,ŋhuəɺ,1880,bah:light (weight):1,bah
light (weight),Rengao,he̤ːl,1880,bah:light (weight):1,bah
light (weight),Sedang,hia,1880,bah:light (weight):2,bah
light (weight),Sre,ŋgɔc,1879,bah:light (weight):1,bah
light (weight),Stieng,ŋgəːc,1879,bah:light (weight):1,bah
light (weight),Tampuan,cɨ̤ɨc,1879,bah:light (weight):1,bah
to be born,Alak,kəːt,3946,bah:to be born:1,bah
to be born,BahnarGolar,rənɛh,3947,bah:to be born:2,bah
to be born,BahnarKontum,rənɛh,3947,bah:to be born:2,bah
to be born,BahnarPleiku,rənɛh,3947,bah:to be born:2,bah
to be born,Brao,kəːt,3946,bah:to be born:1,bah
to be born,Cheng,braʔ naʔ,3948,bah:to be born:6,bah
to be born,Cua,paʔiːl,3949,bah:to be born:5,bah
to be born,Halang,ko̤ːt,3946,bah:to be born:1,bah
to be born,JruLaven,kəːt,3946,bah:to be born:1,bah
to be born,Kasseng,ɟeːŋ,3926,bah:to be born:3,bah
to be born,MnongRlm,lue sak,3927,bah:to be born:4,bah
to be born,Nyaheun,kəːt,3946,bah:to be born:1,bah
to be born,Sedang,ɟiəŋ,3926,bah:to be born:3,bah
to be born,Sre,rəh,3947,bah:to be born:2,bah
to be born,Stieng,kəːt,3946,bah:to be born:1,bah
to be born,Tampuan,kəɨt,3946,bah:to be born:1,bah
to cook/boil,Alak,pʻɨːt,4192,bah:to cook/boil:1,bah
to cook/boil,BahnarGolar,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,BahnarKontum,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,BahnarPleiku,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,Brao,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,Brao,bux,4208,bah:to cook/boil:2,bah
to cook/boil,Bunong,nkɔ̤ːn,4161,bah:to cook/boil:3,bah
to cook/boil,Cheng,kraːk,4209,bah:to cook/boil:1,bah
to cook/boil,Cheng,sruː puar,4210,bah:to cook/boil:6,bah
to cook/boil,Chrau,gəm,4211,bah:to cook/boil:4,bah
to cook/boil,Cua,ɓak,4160,bah:to cook/boil:1,bah
to cook/boil,Halang,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,Jeh,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,JruLaven,bus,4208,bah:to cook/boil:2,bah
to cook/boil,Kasseng,boːç,4208,bah:to cook/boil:2,bah
to cook/boil,Khaonh,ɗəɡawn,4161,bah:to cook/boil:3,bah
to cook/boil,Mel,ɗəɡɔːn,4161,bah:to cook/boil:3,bah
to cook/boil,MnongRlm,gam,4211,bah:to cook/boil:4,bah
to cook/boil,MnongRlm,riʔ /riaʔ,4162,bah:to cook/boil:5,bah
to cook/boil,MnongRlm,srɔːŋ,4163,bah:to cook/boil:3,bah
to cook/boil,Nyaheun,buih,4208,bah:to cook/boil:2,bah
to cook/boil,Ramam,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,Rengao,paːj,4203,bah:to cook/boil:1,bah
to cook/boil,Sapuan,buih,4208,bah:to cook/boil:2,bah
to cook/boil,Sedang,pḛ,4203,bah:to cook/boil:1,bah
to cook/boil,Sre,paj,4203,bah:to cook/boil:1,bah
to cook/boil,Stieng,cəm,4164,bah:to cook/boil:4,bah
to cook/boil,Tampuan,pae,4203,bah:to cook/boil:1,bah
to kick,BahnarGolar,kədah,4917,bah:to kick:1,bah
to kick,BahnarKontum,kədah,4917,bah:to kick:1,bah
to kick,BahnarPleiku,kədah,4917,bah:to kick:1,bah
to kick,Cua,kapiːl,4867,bah:to kick:2,bah
to kick,Halang,te̤h,4868,bah:to kick:1,bah
to kick,Jeh,bih,4869,bah:to kick:3,bah
to kick,JruLaven,teh,4868,bah:to kick:1,bah
to kick,MnongRlm,tram,4870,bah:to kick:4,bah
to kick,Rengao,kədah,4917,bah:to kick:1,bah
to kick,Sedang,kətɛh,4917,bah:to kick:1,bah
to kick,Sre,coh,4871,bah:to kick:1,bah
to kick,Tampuan,tʰat,4888,bah:to kick:1,bah
to shoot,Alak,paɲ,5429,bah:to shoot:1,bah
to shoot,BahnarPleiku,prah,5433,bah:to shoot:1,bah
to shoot,Brao,paɲ,5429,bah:to shoot:1,bah
to shoot,Bunong,paɲ,5429,bah:to shoot:1,bah
to shoot,Cheng,paɲ,5429,bah:to shoot:1,bah
to shoot,Chrau,paɲ,5429,bah:to shoot:1,bah
to shoot,Cua,pɛc,5429,bah:to shoot:1,bah
to shoot,Halang,pɛŋ,5429,bah:to shoot:1,bah
to shoot,Jeh,pɛŋ,5429,bah:to shoot:1,bah
to shoot,JruLaven,pɛɲ,5429,bah:to shoot:1,bah
to shoot,Kasseng,paɲ,5429,bah:to shoot:1,bah
to shoot,Khaonh,paɲ,5429,bah:to shoot:1,bah
to shoot,Mel,paɲ,5429,bah:to shoot:1,bah
to shoot,Nyaheun,paɲ,5429,bah:to shoot:1,bah
to shoot,Ramam,pɛᵏŋ,5429,bah:to shoot:1,bah
to shoot,Rengao,pɛŋ,5429,bah:to shoot:1,bah
to shoot,Sapuan,paɲ,5429,bah:to shoot:1,bah
