db,concept,doculect,counterpart,fullCC,inferredCC
bah_4_train,rice (cooked),Alak,paːj,bah_4_train:rice (cooked):2938,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),BahnarGolar,pɔːr,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),BahnarKontum,pɔːr,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),BahnarPleiku,pɔːr,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),BahnarPleiku,məh,bah_4_train:rice (cooked):2969,bah_4_train:rice (cooked):6
bah_4_train,rice (cooked),Brao,puar,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),Bunong,piaːŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Cheng,puar,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),Chrau,pieŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Cua,pʌŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Halang,pɔar,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),Jeh,pɔːl,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),JruLaven,ʔʌːp,bah_4_train:rice (cooked):2971,bah_4_train:rice (cooked):5
bah_4_train,rice (cooked),Kasseng,nsaːj,bah_4_train:rice (cooked):2972,bah_4_train:rice (cooked):4
bah_4_train,rice (cooked),Khaonh,peəŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Mel,piəŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),MnongRlm,pieŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Nyaheun,puan,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Ramam,paː / hapaː,bah_4_train:rice (cooked):2973,bah_4_train:rice (cooked):3
bah_4_train,rice (cooked),Rengao,pɔːr,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),Sapuan,pual / puar,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,rice (cooked),Sedang,ba̰w,bah_4_train:rice (cooked):2934,bah_4_train:rice (cooked):3
bah_4_train,rice (cooked),Sre,piaŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Stieng,piaŋ,bah_4_train:rice (cooked):2970,bah_4_train:rice (cooked):2
bah_4_train,rice (cooked),Tampuan,poːr,bah_4_train:rice (cooked):2966,bah_4_train:rice (cooked):1
bah_4_train,"I, me",Alak,ʔal,"bah_4_train:I, me:17","bah_4_train:I, me:1"
bah_4_train,"I, me",BahnarGolar,ʔiɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",BahnarKontum,ʔiɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",BahnarPleiku,ʔiɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",Brao,ʔaj,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Bunong,kə̤p,"bah_4_train:I, me:20","bah_4_train:I, me:2"
bah_4_train,"I, me",Cheng,ʔaɨ,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Chrau,ʔaɲ / ʔiɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",Cua,go,"bah_4_train:I, me:19","bah_4_train:I, me:3"
bah_4_train,"I, me",Halang,ʔau,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Jeh,ʔaw,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",JruLaven,ʔaːj,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Kasseng,ʔaɯ,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Khaonh,ʔɡəp,"bah_4_train:I, me:20","bah_4_train:I, me:2"
bah_4_train,"I, me",Mel,ʔɡəp,"bah_4_train:I, me:20","bah_4_train:I, me:2"
bah_4_train,"I, me",MnongRlm,ʔaɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",Nyaheun,ʔaː,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Ramam,ʔaj,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Rengao,ʔaw,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Sapuan,ʔaj,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Sedang,ʔaw,"bah_4_train:I, me:18","bah_4_train:I, me:1"
bah_4_train,"I, me",Sre,ʔaɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,"I, me",Stieng,hej,"bah_4_train:I, me:21","bah_4_train:I, me:1"
bah_4_train,"I, me",Tampuan,ʔaɲ,"bah_4_train:I, me:3","bah_4_train:I, me:1"
bah_4_train,head,Alak,kʻɨː,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,BahnarGolar,kəl,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,BahnarKontum,kəl,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,BahnarPleiku,kəl,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,Brao,tuːx,bah_4_train:head:1555,bah_4_train:head:3
bah_4_train,head,Bunong,po̤ːk,bah_4_train:head:1556,bah_4_train:head:2
bah_4_train,head,Cheng,tuːç,bah_4_train:head:1555,bah_4_train:head:3
bah_4_train,head,Chrau,voːʔ,bah_4_train:head:1556,bah_4_train:head:2
bah_4_train,head,Cua,gɨl,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,Halang,kəːl,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,Jeh,ka̤l,bah_4_train:head:1549,bah_4_train:head:1
bah_4_train,head,JruLaven,tuːs,bah_4_train:head:1555,bah_4_train:head:3
bah_4_train,head,Kasseng,tuːç,bah_4_train:head:1555,bah_4_train:head:3
bah_4_train,head,Khaonh,ɓo̤ːk,bah_4_train:head:1556,bah_4_train:head:2
bah_4_train,head,Mel,ɓo̤ːk,bah_4_train:head:1556,bah_4_train:head:2
bah_4_train,head,MnongRlm,boːk,bah_4_train:head:1556,bah_4_train:head:2
bah_4_train,head,Nyaheun,tujh,bah_4_train:head:1555,bah_4_train:head:3
bah_4_train,head,Ramam,kuoɺ / ɣuoɺ,bah_4_train:head:1549,bah_4_train:head:4
bah_4_train,head,Rengao,gə̤l,bah_4_train:head:1549,bah_4_train:head:1
