db,concept,doculect,counterpart,fullCC,inferredCC
bah_prop_50_0_train,hair (head),Alak,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),BahnarGolar,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),BahnarKontum,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),BahnarPleiku,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Brao,cʰok,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Bunong,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Cheng,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Chrau,sɔʔ,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Cua,hloːk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Halang,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Jeh,suk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),JruLaven,sok,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Kasseng,sok,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Khaonh,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
bah_prop_50_0_train,hair (head),Mel,sɔk,bah_prop_50_0_train:hair (head):1520,bah_prop_50_0_train:hair (head):1
