db,concept,doculect,counterpart,fullCC,inferredCC
bai,good,Dashi,xu₃₃,bai:good:275,bai:good:1
bai,good,Dashi,ʨʰõ₄₄,bai:good:274,bai:good:2
bai,good,Ega,xo₅₅,bai:good:275,bai:good:1
bai,good,Enqi,djæ₂₁,bai:good:274,bai:good:3
bai,good,Gongxing,ʣan₁₂,bai:good:274,bai:good:3
bai,good,Jinman,xo₂₂,bai:good:275,bai:good:1
bai,good,Jinxing,xu₃₃,bai:good:275,bai:good:1
bai,good,Jinxing,ʨʰõ₄₄,bai:good:274,bai:good:2
bai,good,Mazhelong,xǝ₃₃,bai:good:275,bai:good:1
bai,good,Tuolo,djaŋ₃₅,bai:good:274,bai:good:3
bai,good,Zhoucheng,xu₃₃,bai:good:275,bai:good:1
bai,good,Zhoucheng,ʨʰow₅₅,bai:good:274,bai:good:2
bai,hair,Dashi,ɕa₄₄,bai:hair:279,bai:hair:2
bai,hair,Ega,ti₂₁mi₅₅,bai:hair:278,bai:hair:1
bai,hair,Enqi,tjɯ₂₁mjɛ₂₄,bai:hair:278,bai:hair:1
bai,hair,Gongxing,di₂₄mjɛ₁₂,bai:hair:278,bai:hair:1
bai,hair,Jinman,ʈe₂₁me₅₅,bai:hair:278,bai:hair:1
bai,hair,Jinxing,ɕɔ₄₄,bai:hair:279,bai:hair:2
bai,hair,Jinxing,tǝ₂₁mã₅₅,bai:hair:278,bai:hair:1
bai,hair,Mazhelong,tɛ₂₁mɛ₅₅,bai:hair:278,bai:hair:1
bai,hair,Tuolo,djɯ₃₅me₅₅,bai:hair:278,bai:hair:1
bai,hair,Zhoucheng,tɯ₂₁ma₃₅,bai:hair:278,bai:hair:1
bai,many,Dashi,ʨi₃₅,bai:many:35,bai:many:1
bai,many,Ega,ti₅₅,bai:many:35,bai:many:1
bai,many,Enqi,ti₂₄,bai:many:35,bai:many:1
bai,many,Gongxing,ti₅₅,bai:many:35,bai:many:1
bai,many,Jinman,ti₅₅,bai:many:35,bai:many:1
bai,many,Jinxing,ʨi₅₅,bai:many:35,bai:many:1
bai,many,Mazhelong,ti₅₅,bai:many:35,bai:many:1
bai,many,Tuolo,ʨɯ₅₅,bai:many:35,bai:many:1
bai,many,Zhoucheng,ʨi₃₅,bai:many:35,bai:many:1
bai,feather,Dashi,ma₂₁,bai:feather:267,bai:feather:1
bai,feather,Ega,mi₂₁,bai:feather:267,bai:feather:1
bai,feather,Enqi,mjɛ₂₁,bai:feather:267,bai:feather:1
bai,feather,Gongxing,mi₁₂,bai:feather:267,bai:feather:1
bai,feather,Jinman,mje₂₁,bai:feather:267,bai:feather:1
bai,feather,Jinxing,mɑ̃₂₁,bai:feather:267,bai:feather:1
bai,feather,Mazhelong,me₂₁,bai:feather:267,bai:feather:1
bai,feather,Tuolo,me₃₅,bai:feather:267,bai:feather:1
bai,feather,Zhoucheng,ma₂₁,bai:feather:267,bai:feather:1
bai,big,Dashi,tow₄₂,bai:big:191,bai:big:1
bai,big,Ega,do₄₂,bai:big:191,bai:big:1
bai,big,Enqi,da₄₃,bai:big:191,bai:big:1
bai,big,Gongxing,da₄₂,bai:big:191,bai:big:1
bai,big,Jinman,do₄₂,bai:big:191,bai:big:1
bai,big,Jinxing,tow₄₂,bai:big:191,bai:big:1
bai,big,Mazhelong,do₄₂,bai:big:191,bai:big:1
bai,big,Tuolo,dɔ₂₁,bai:big:191,bai:big:1
bai,big,Zhoucheng,to₄₂,bai:big:191,bai:big:1
bai,long,Dashi,t͡ʂõ₂₁,bai:long:28,bai:long:1
bai,long,Ega,ʨu₂₁,bai:long:28,bai:long:1
bai,long,Enqi,tjo₂₁,bai:long:28,bai:long:1
bai,long,Gongxing,ʥow₁₂,bai:long:28,bai:long:1
bai,long,Jinman,ʈõ₂₁,bai:long:28,bai:long:1
bai,long,Jinxing,ʦõ₂₁,bai:long:28,bai:long:1
bai,long,Mazhelong,ʦoŋ₂₁,bai:long:28,bai:long:1
bai,long,Tuolo,dɤ₃₅,bai:long:28,bai:long:1
bai,long,Zhoucheng,ʦow₂₁,bai:long:28,bai:long:1
bai,bark,Dashi,t͡ʂɯ₂₁pe₂₁,bai:bark:109,bai:bark:1
bai,bark,Ega,ʥi₄₂ʨyj₂₁qa₅₅,bai:bark:110,bai:bark:3
bai,bark,Enqi,djɯ₄₃pi₂₁,bai:bark:109,bai:bark:1
bai,bark,Gongxing,d͡ʐi₁₂bi₂₁,bai:bark:109,bai:bark:1
bai,bark,Jinxing,ʦɯ₃₁pe₂₁,bai:bark:109,bai:bark:1
bai,bark,Mazhelong,ɕen₅₅pe₂₁,bai:bark:131,bai:bark:2
bai,bark,Tuolo,djɯ₂₁bi₃₅,bai:bark:109,bai:bark:1
bai,bark,Zhoucheng,ʦɯ₃₁pe₂₁,bai:bark:109,bai:bark:1
bai,tongue,Dashi,t͡ʂe₄₂,bai:tongue:156,bai:tongue:1
bai,tongue,Ega,ti₂₁pʰɛ₄₂,bai:tongue:157,bai:tongue:1
bai,tongue,Enqi,tjɛ₂₁,bai:tongue:156,bai:tongue:1
bai,tongue,Gongxing,djɛ₂₁,bai:tongue:156,bai:tongue:1
bai,tongue,Jinman,ʈɚ₄₂,bai:tongue:156,bai:tongue:1
bai,tongue,Jinxing,ʦe₄₂,bai:tongue:156,bai:tongue:1
bai,tongue,Mazhelong,ʦʰɛ₄₂,bai:tongue:156,bai:tongue:1
bai,tongue,Tuolo,de₄₂,bai:tongue:156,bai:tongue:1
bai,tongue,Zhoucheng,ʦe₄₂,bai:tongue:156,bai:tongue:1
bai,I,Dashi,ŋõ₃₁,bai:I:7,bai:I:1
bai,I,Ega,ŋo₄₂,bai:I:7,bai:I:1
bai,I,Enqi,ɴo₄₃,bai:I:7,bai:I:1
bai,I,Gongxing,ŋa₄₂,bai:I:7,bai:I:1
bai,I,Jinman,õ₄₂,bai:I:7,bai:I:1
bai,I,Jinxing,wõ₃₁,bai:I:7,bai:I:1
bai,I,Mazhelong,ŋo₄₂,bai:I:7,bai:I:1
bai,I,Tuolo,ŋɔ₂₁,bai:I:7,bai:I:1
bai,I,Zhoucheng,ŋo₃₁,bai:I:7,bai:I:1
bai,heavy,Dashi,t͡ʂõ₃₃,bai:heavy:204,bai:heavy:1
bai,heavy,Ega,ʥo₂₂,bai:heavy:204,bai:heavy:1
bai,heavy,Enqi,d͡ʐo₂₂,bai:heavy:204,bai:heavy:1
bai,heavy,Gongxing,ʣoŋ₂₂,bai:heavy:204,bai:heavy:1
bai,heavy,Jinman,ʥõ₂₂,bai:heavy:204,bai:heavy:1
bai,heavy,Jinxing,ʦɤ̃₃₃,bai:heavy:204,bai:heavy:1
bai,heavy,Mazhelong,ʦõ₂₁,bai:heavy:204,bai:heavy:1
bai,heavy,Tuolo,ʐɤŋ₃₃,bai:heavy:204,bai:heavy:1
bai,heavy,Zhoucheng,ʦɤ₃₃,bai:heavy:204,bai:heavy:1
bai,we,Dashi,ɲã₅₅,bai:we:174,bai:we:1
bai,we,Ega,ɲo₂₁ɣo₂₂,bai:we:176,bai:we:2
bai,we,Ega,ŋwi₅₅,bai:we:174,bai:we:1
bai,we,Enqi,a₅₅ʁo₂₁,bai:we:178,bai:we:3
bai,we,Enqi,wi₂₄ʦɿ₂₁,bai:we:180,bai:we:4
bai,we,Gongxing,ʁaŋ₂₄,bai:we:173,bai:we:5
bai,we,Gongxing,ŋa₄₂xõ₂₂,bai:we:176,bai:we:2
bai,we,Jinman,ɲa₂₁t͡ʂɚ₂₂,bai:we:175,bai:we:2
bai,we,Jinman,mi₅₅,bai:we:174,bai:we:1
bai,we,Jinxing,jɑ̃₅₅,bai:we:174,bai:we:1
bai,we,Jinxing,ŋɑ₅₅,bai:we:174,bai:we:1
bai,we,Mazhelong,ŋa₅₅xo₃₃,bai:we:176,bai:we:1
bai,we,Tuolo,a₅₅ŋɔ₂₁,bai:we:177,bai:we:3
bai,we,Tuolo,we₅₅,bai:we:179,bai:we:1
bai,we,Zhoucheng,ɲa₅₅,bai:we:174,bai:we:1
bai,this,Dashi,a₅₅ta₃₃,bai:this:151,bai:this:5
bai,this,Ega,a₅₅na₂₄,bai:this:150,bai:this:6
bai,this,Enqi,nɯ₅₅,bai:this:148,bai:this:2
bai,this,Gongxing,ɣǝ₂₁,bai:this:146,bai:this:3
bai,this,Jinman,nõ₅₅,bai:this:148,bai:this:2
bai,this,Jinxing,lɯ₃₁,bai:this:154,bai:this:1
bai,this,Mazhelong,ne₃₃ʦoŋ₂₁,bai:this:149,bai:this:4
bai,this,Mazhelong,lɛ₄₂,bai:this:154,bai:this:1
bai,this,Tuolo,djɯ₂₁,bai:this:152,bai:this:1
bai,this,Zhoucheng,te₃₃le₃₁,bai:this:153,bai:this:1
bai,thou,Dashi,nõ₃₁,bai:thou:155,bai:thou:1
bai,thou,Ega,no₄₂,bai:thou:155,bai:thou:1
bai,thou,Enqi,no₄₃,bai:thou:155,bai:thou:1
bai,thou,Gongxing,na₄₂,bai:thou:155,bai:thou:1
bai,thou,Jinman,no₄₂,bai:thou:155,bai:thou:1
bai,thou,Jinxing,now₃₁,bai:thou:155,bai:thou:1
bai,thou,Mazhelong,nen₄₂,bai:thou:155,bai:thou:1
bai,thou,Tuolo,nɔ₂₁,bai:thou:155,bai:thou:1
bai,thou,Zhoucheng,no₃₁,bai:thou:155,bai:thou:1
bai,worm,Dashi,t͡ʂo₂₁,bai:worm:212,bai:worm:1
bai,worm,Ega,ʨu₂₁,bai:worm:212,bai:worm:1
bai,worm,Enqi,ʨo₂₁,bai:worm:212,bai:worm:1
bai,worm,Gongxing,ʣwa₁₂,bai:worm:212,bai:worm:2
bai,worm,Jinman,ʨu₂₁,bai:worm:212,bai:worm:1
bai,worm,Jinxing,ʦɤ₂₁,bai:worm:212,bai:worm:1
bai,worm,Mazhelong,ʣõ₂₁,bai:worm:212,bai:worm:1
bai,worm,Tuolo,ʐɤ₃₅,bai:worm:212,bai:worm:1
bai,worm,Zhoucheng,ʦɤ₂₁,bai:worm:212,bai:worm:1
bai,tail,Dashi,wɤ₃₃to₅₅,bai:tail:136,bai:tail:2
bai,tail,Ega,mu₂₂qwa₄₄,bai:tail:133,bai:tail:1
bai,tail,Enqi,mæ₂₂qwa₅₅,bai:tail:133,bai:tail:1
bai,tail,Gongxing,mu₂₂qwa₂₄,bai:tail:133,bai:tail:1
bai,tail,Jinman,mo₂₂qwa₄₄,bai:tail:133,bai:tail:1
bai,tail,Jinxing,ɤ̃₃₃tɤ̃₅₅,bai:tail:136,bai:tail:2
bai,tail,Mazhelong,mi₃₃,bai:tail:134,bai:tail:5
bai,tail,Tuolo,mɔ₄₂qɔ₄₂,bai:tail:133,bai:tail:4
bai,tail,Zhoucheng,mi₄₂tu₃₅,bai:tail:135,bai:tail:3
bai,nose,Dashi,wɤ₄₂tiǝ₂₁,bai:nose:65,bai:nose:1
bai,nose,Ega,kʰwɛ₄₂ʨyj₂₁,bai:nose:64,bai:nose:1
bai,nose,Enqi,ʦo₂₁qʰo₂₂tjɯ₂₁,bai:nose:68,bai:nose:1
bai,nose,Gongxing,ty₂₁tjy₂₄,bai:nose:62,bai:nose:4
bai,nose,Jinman,qʰwe₄₂tjɯ₂₁,bai:nose:63,bai:nose:1
bai,nose,Jinxing,pjen₂₁,bai:nose:61,bai:nose:2
bai,nose,Mazhelong,pʰjen₄₂,bai:nose:61,bai:nose:2
bai,nose,Tuolo,vɚ₄₂djɯ₃₅,bai:nose:65,bai:nose:1
bai,nose,Zhoucheng,pi₃₁fɤ₄₄ʦɿ₄₄,bai:nose:66,bai:nose:3
bai,heart,Dashi,ɕen₅₅,bai:heart:4,bai:heart:1
bai,heart,Ega,sɛ₅₅,bai:heart:4,bai:heart:1
bai,heart,Enqi,si₂₄,bai:heart:4,bai:heart:1
bai,heart,Gongxing,ɕin₅₅,bai:heart:4,bai:heart:1
bai,heart,Jinman,sẽ₅₅,bai:heart:4,bai:heart:1
bai,heart,Jinxing,ɕen₅₅,bai:heart:4,bai:heart:1
bai,heart,Mazhelong,ɕen₅₅,bai:heart:4,bai:heart:1
bai,heart,Tuolo,ɕen₅₅,bai:heart:4,bai:heart:1
bai,heart,Zhoucheng,ɕi₃₅,bai:heart:4,bai:heart:1
bai,liver,Dashi,kã₃₅,bai:liver:27,bai:liver:1
bai,liver,Ega,qo₅₅,bai:liver:27,bai:liver:1
bai,liver,Enqi,qa₂₄,bai:liver:27,bai:liver:1
