concept,doculect,counterpart,cc,inferredCC,db
the firewood,Beijing,tʂʰai³⁵,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Beijing,pʰi²¹⁴₂₁tʂʰai⁰,523,chinese_1964:the firewood:1,chinese_1964
the firewood,Changsha,tsai¹³,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Chaozhou,tsʰa⁵⁵,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Chengdu,tsʰai³¹,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Fuzhou,tsʰa⁵²₃₁løy²¹³,521,chinese_1964:the firewood:1,chinese_1964
the firewood,Guangzhou,tʃʰai²¹,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Hefei,tʂʰɛ⁵⁵,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Hefei,pʰiəʔ⁴tʂʰɛ⁵⁵,523,chinese_1964:the firewood:2,chinese_1964
the firewood,Jinan,xuə⁵⁵tʰou⁰,525,chinese_1964:the firewood:3,chinese_1964
the firewood,Kunming,tsʰɛ³¹,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Meixian,tsʰai¹²,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Nanchang,tsʰai²⁴,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Shenyang,tsʰai³⁵xuo⁰,517,chinese_1964:the firewood:1,chinese_1964
the firewood,Shenyang,pʰi²¹³₂₁tsʰai⁰,523,chinese_1964:the firewood:1,chinese_1964
the firewood,Suzhou,zɒ²⁴₂₂bɛ³¹₃₃,518,chinese_1964:the firewood:4,chinese_1964
the firewood,Suzhou,pʰiɪʔ⁴zɒ²⁴,523,chinese_1964:the firewood:2,chinese_1964
the firewood,Wenzhou,za³¹,516,chinese_1964:the firewood:5,chinese_1964
the firewood,Xiamen,tsʰa²⁴₃₃tsʰau⁵¹,519,chinese_1964:the firewood:6,chinese_1964
the firewood,Xiamen,tsʰa²⁴₃₃te¹¹,520,chinese_1964:the firewood:1,chinese_1964
the firewood,Xian,tsʰæ²⁴,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Yangjiang,ʃai⁴⁴³,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Yangzhou,tsʰɛ³¹,516,chinese_1964:the firewood:1,chinese_1964
the firewood,Yangzhou,pʰiəʔ⁴tsʰɛ³⁴,523,chinese_1964:the firewood:2,chinese_1964
right,Beijing,iou⁵¹ʂou²¹⁴,723,chinese_1964:right:1,chinese_1964
right,Changsha,iəu²¹səu⁴¹,723,chinese_1964:right:1,chinese_1964
right,Chaozhou,tsĩã²¹³₅₃tsʰiu⁵³₂₁,725,chinese_1964:right:2,chinese_1964
right,Chengdu,iəu¹³səu⁵³,723,chinese_1964:right:1,chinese_1964
right,Fuzhou,tuai²⁴²₃₁βeiŋ⁴⁴₅₂ȵiu³¹,726,chinese_1964:right:9,chinese_1964
right,Guangzhou,jɐu²²ʃɐu³⁵,723,chinese_1964:right:3,chinese_1964
right,Hefei,iɯ⁵³ʂɯ²⁴,723,chinese_1964:right:8,chinese_1964
right,Jinan,iou²¹ʂou⁵⁵,723,chinese_1964:right:1,chinese_1964
right,Kunming,io¹³ʂəu⁵³,723,chinese_1964:right:1,chinese_1964
right,Meixian,jiu⁴²su³¹,723,chinese_1964:right:1,chinese_1964
right,Nanchang,iu³¹səu²¹³,723,chinese_1964:right:1,chinese_1964
right,Shenyang,iou⁴¹sou²¹³,723,chinese_1964:right:1,chinese_1964
right,Suzhou,zən³¹₂₂sʏ⁴¹₄₄,724,chinese_1964:right:7,chinese_1964
right,Suzhou,iʏ³¹₂₂sʏ⁴¹₄₄,723,chinese_1964:right:6,chinese_1964
right,Wenzhou,ɦyoŋ¹¹ɕiu⁴⁵,724,chinese_1964:right:5,chinese_1964
right,Xiamen,tsĩã¹¹₅₁tsʰiu⁵¹,725,chinese_1964:right:2,chinese_1964
right,Xian,iou⁴⁵ʂou⁵³,723,chinese_1964:right:1,chinese_1964
right,Yangjiang,jɐu⁴⁵⁴ʃɐu²¹,723,chinese_1964:right:3,chinese_1964
right,Yangzhou,iɤɯ⁵⁵sɤɯ⁴²,723,chinese_1964:right:1,chinese_1964
right,Yangzhou,suəŋ⁵⁵sɤɯ⁴²,724,chinese_1964:right:4,chinese_1964
good,Beijing,xau²¹⁴,148,chinese_1964:good:1,chinese_1964
good,Changsha,xau⁴¹,148,chinese_1964:good:1,chinese_1964
good,Chaozhou,ho⁵³,148,chinese_1964:good:1,chinese_1964
good,Chengdu,xau⁵³,148,chinese_1964:good:1,chinese_1964
good,Fuzhou,xɔ³¹,148,chinese_1964:good:1,chinese_1964
good,Guangzhou,hou³⁵,148,chinese_1964:good:1,chinese_1964
good,Hefei,xɔ²⁴,148,chinese_1964:good:1,chinese_1964
good,Jinan,xɔ⁵⁵,148,chinese_1964:good:1,chinese_1964
good,Jinan,tɕʰiaŋ⁴²,149,chinese_1964:good:2,chinese_1964
good,Kunming,xau⁵³,148,chinese_1964:good:1,chinese_1964
good,Meixian,hau³¹,148,chinese_1964:good:1,chinese_1964
good,Meixian,tsan³¹,153,chinese_1964:good:2,chinese_1964
good,Nanchang,hau²¹³,148,chinese_1964:good:1,chinese_1964
good,Shenyang,xau²¹³,148,chinese_1964:good:1,chinese_1964
good,Suzhou,hæ⁴¹,148,chinese_1964:good:1,chinese_1964
good,Suzhou,lin²⁴,151,chinese_1964:good:3,chinese_1964
good,Suzhou,tsɛ⁵¹³,152,chinese_1964:good:2,chinese_1964
good,Wenzhou,hɜ⁴⁵,148,chinese_1964:good:1,chinese_1964
good,Xiamen,ho⁵¹,148,chinese_1964:good:1,chinese_1964
good,Xian,xɑn⁵³,148,chinese_1964:good:1,chinese_1964
good,Xian,liɑu²⁴,150,chinese_1964:good:3,chinese_1964
good,Yangjiang,hou²¹,148,chinese_1964:good:1,chinese_1964
good,Yangzhou,xɔ⁴²,148,chinese_1964:good:1,chinese_1964
the hair (of the head),Beijing,tʰou³⁵fa⁰,649,chinese_1964:the hair (of the head):1,chinese_1964
the hair (of the head),Changsha,təu¹³fa²⁴,649,chinese_1964:the hair (of the head):1,chinese_1964
