db,concept,doculect,counterpart,fullCC,inferredCC
chinese_1964_2_train,long,Beijing,tʂʰaŋ³⁵,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Changsha,tsan¹³,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Chaozhou,tɯῃ⁵⁵,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Chengdu,tsʰaŋ³¹,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Fuzhou,touŋ⁵²,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Guangzhou,tʃʰœŋ²¹,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Hefei,tʂʰɑ̃⁵⁵,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Jinan,tʂʰaŋ⁴²,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Kunming,tʂʰã³¹,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Meixian,tsʰɔŋ¹²,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Nanchang,tsʰɔŋ²⁴,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Shenyang,tsʰaŋ³⁵,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Suzhou,zaŋ²⁴,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Wenzhou,dʑi³¹,chinese_1964_2_train:long:453,chinese_1964_2_train:long:3
chinese_1964_2_train,long,Xiamen,tῃ²⁴,chinese_1964_2_train:long:453,chinese_1964_2_train:long:2
chinese_1964_2_train,long,Xian,tʂʰɑŋ²⁴,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Yangjiang,tʃʰiɛŋ⁴⁴³,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,long,Yangzhou,tsʰɑŋ³⁴,chinese_1964_2_train:long:453,chinese_1964_2_train:long:1
chinese_1964_2_train,the earth (soil),Beijing,tʰu²¹⁴,chinese_1964_2_train:the earth (soil):1172,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Changsha,tʰəu⁴¹,chinese_1964_2_train:the earth (soil):1172,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Chaozhou,tʰou⁵⁵,chinese_1964_2_train:the earth (soil):1177,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Chengdu,ȵi³¹pa⁴⁴,chinese_1964_2_train:the earth (soil):1174,chinese_1964_2_train:the earth (soil):2
chinese_1964_2_train,the earth (soil),Fuzhou,tʰu⁵²,chinese_1964_2_train:the earth (soil):1177,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Guangzhou,nɐi²¹,chinese_1964_2_train:the earth (soil):1173,chinese_1964_2_train:the earth (soil):2
chinese_1964_2_train,the earth (soil),Hefei,tʰu²⁴,chinese_1964_2_train:the earth (soil):1172,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Jinan,tʰu⁵⁵,chinese_1964_2_train:the earth (soil):1172,chinese_1964_2_train:the earth (soil):1
chinese_1964_2_train,the earth (soil),Kunming,ni³¹,chinese_1964_2_train:the earth (soil):1173,chinese_1964_2_train:the earth (soil):2
chinese_1964_2_train,the earth (soil),Meixian,nɛ¹²,chinese_1964_2_train:the earth (soil):1173,chinese_1964_2_train:the earth (soil):2
chinese_1964_2_train,the earth (soil),Nanchang,tʰu²¹³,chinese_1964_2_train:the earth (soil):1172,chinese_1964_2_train:the earth (soil):1
