db,concept,doculect,counterpart,fullCC,inferredCC
chinese_2004,right,Beijing,jow⁵¹pjar¹,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Changsha,jəw¹¹pjẽ³³,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Chengdu,jəw¹³pjan⁵⁵,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Chengdu,jəw¹³mjan¹³,chinese_2004:right:150,chinese_2004:right:1
chinese_2004,right,Guangzhou,jɐw²²pin²²,chinese_2004:right:148,chinese_2004:right:1
chinese_2004,right,Guiyang,jəw²¹³pjan⁵⁵,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Hangzhou,ɦjø¹³pjᴇ̃³³,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Hangzhou,zɥen¹³sej⁵³pjᴇ̃³³,chinese_2004:right:156,chinese_2004:right:1
chinese_2004,right,Hefei,i⁵³pʊ̃⁵³kə,chinese_2004:right:146,chinese_2004:right:3
chinese_2004,right,Jinan,jow²¹pjɛr,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Kunming,jəw²¹²ʂəw⁵³pjɛ̃⁴⁴,chinese_2004:right:143,chinese_2004:right:1
chinese_2004,right,Meixian,ju⁵³pʰjen³¹,chinese_2004:right:141,chinese_2004:right:1
chinese_2004,right,Nanchang,ju²¹pjɛn⁰²,chinese_2004:right:142,chinese_2004:right:1
chinese_2004,right,Nanchang,ju²¹sɨw⁰²,chinese_2004:right:149,chinese_2004:right:4
chinese_2004,right,Shanghai,ɦjɤ¹³mi¹³,chinese_2004:right:150,chinese_2004:right:5
chinese_2004,right,Shanghai,ɦjɤ¹³pø³⁵ba¹³,chinese_2004:right:145,chinese_2004:right:2
chinese_2004,right,Shexian,ɕɥʌ̃²²pe³¹,chinese_2004:right:155,chinese_2004:right:6
chinese_2004,right,Shexian,sjɔ³⁵pe³¹,chinese_2004:right:157,chinese_2004:right:2
chinese_2004,right,Taoyuan,jəw⁴⁵pæ̃⁴⁵ʨʰjəʔ²,chinese_2004:right:147,chinese_2004:right:1
chinese_2004,right,Taoyuan,jəw⁴⁵mjar⁵³,chinese_2004:right:150,chinese_2004:right:1
chinese_2004,right,Xiamen,ʦjã²¹ʦʰju⁵³piŋ,chinese_2004:right:151,chinese_2004:right:7
chinese_2004,right,Xiamen,ʦjã²¹piŋ,chinese_2004:right:152,chinese_2004:right:8
chinese_2004,right,Xiamen,ju²²piŋ³⁵,chinese_2004:right:144,chinese_2004:right:1
chinese_2004,on purpose,Beijing,ku⁵¹i⁵¹,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Changsha,ku⁵⁵i⁵⁵,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Changsha,pa¹¹ʂʅ¹¹,chinese_2004:on purpose:317,chinese_2004:on purpose:3
chinese_2004,on purpose,Chengdu,ni¹³pjan⁵⁵,chinese_2004:on purpose:329,chinese_2004:on purpose:15
chinese_2004,on purpose,Chengdu,ʦʰən³¹ɕin⁵⁵,chinese_2004:on purpose:330,chinese_2004:on purpose:6
chinese_2004,on purpose,Guangzhou,tɐk²tɐŋ⁵⁵,chinese_2004:on purpose:324,chinese_2004:on purpose:4
chinese_2004,on purpose,Guangzhou,ʦyn⁵⁵tɐŋ⁵⁵,chinese_2004:on purpose:327,chinese_2004:on purpose:7
chinese_2004,on purpose,Guiyang,pa²¹³i²¹³,chinese_2004:on purpose:316,chinese_2004:on purpose:3
chinese_2004,on purpose,Guiyang,tjao⁵⁵i²¹³,chinese_2004:on purpose:319,chinese_2004:on purpose:14
chinese_2004,on purpose,Hangzhou,dəʔ²wi¹³,chinese_2004:on purpose:322,chinese_2004:on purpose:2
chinese_2004,on purpose,Hefei,ku⁵³zɿ,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Hefei,pa⁵³pa⁵³,chinese_2004:on purpose:321,chinese_2004:on purpose:13
chinese_2004,on purpose,Jinan,tej⁴²vejti,chinese_2004:on purpose:323,chinese_2004:on purpose:12
chinese_2004,on purpose,Kunming,pᴀ²¹²i²¹²,chinese_2004:on purpose:316,chinese_2004:on purpose:3
chinese_2004,on purpose,Kunming,ku²¹²i²¹²,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Meixian,ku⁵³i⁵³,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Meixian,ju⁴⁴i⁵³,chinese_2004:on purpose:314,chinese_2004:on purpose:5
chinese_2004,on purpose,Nanchang,tʰɛʔ²sɿ⁰²,chinese_2004:on purpose:325,chinese_2004:on purpose:2
chinese_2004,on purpose,Shanghai,ɦjɤ¹³i⁵³,chinese_2004:on purpose:314,chinese_2004:on purpose:11
chinese_2004,on purpose,Shanghai,djɪʔ¹ɦwe¹³,chinese_2004:on purpose:331,chinese_2004:on purpose:2
chinese_2004,on purpose,Shanghai,ɦjɤ¹³ɕiŋ⁵³,chinese_2004:on purpose:315,chinese_2004:on purpose:10
chinese_2004,on purpose,Shexian,ju³⁵i³²⁴,chinese_2004:on purpose:314,chinese_2004:on purpose:5
chinese_2004,on purpose,Taoyuan,ʦwæ̃¹¹i⁴⁵,chinese_2004:on purpose:326,chinese_2004:on purpose:9
chinese_2004,on purpose,Taoyuan,ku⁴⁵i⁴⁵,chinese_2004:on purpose:313,chinese_2004:on purpose:1
chinese_2004,on purpose,Taoyuan,ʦʰəŋ¹¹ɕjəŋ¹¹,chinese_2004:on purpose:330,chinese_2004:on purpose:6
chinese_2004,on purpose,Xiamen,tʰjaw⁵⁵kɔ²¹i²¹,chinese_2004:on purpose:318,chinese_2004:on purpose:8
chinese_2004,on purpose,Xiamen,tʰjaw⁵⁵kaŋ⁵⁵,chinese_2004:on purpose:320,chinese_2004:on purpose:4
chinese_2004,hail,Beijing,pɑw³⁵ʦɿ³,chinese_2004:hail:736,chinese_2004:hail:2
chinese_2004,hail,Changsha,pin³³pʰaw⁵⁵,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Chengdu,pin⁵⁵paw¹³ʦɿ⁵³,chinese_2004:hail:745,chinese_2004:hail:1
chinese_2004,hail,Chengdu,pin⁵⁵tan¹³ʦɿ⁵³,chinese_2004:hail:746,chinese_2004:hail:1
chinese_2004,hail,Chengdu,ɕɥe³¹tan¹³ʦɿ⁵³,chinese_2004:hail:818,chinese_2004:hail:3
chinese_2004,hail,Guangzhou,pɔk²,chinese_2004:hail:735,chinese_2004:hail:2
chinese_2004,hail,Guangzhou,syt³ʦy⁵⁵,chinese_2004:hail:817,chinese_2004:hail:5
chinese_2004,hail,Guiyang,pin⁵⁵pa,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Guiyang,pɛ²¹i⁴²,chinese_2004:hail:754,chinese_2004:hail:6
chinese_2004,hail,Hangzhou,pin³³bɔ²¹³,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Hefei,jɪ̃⁵⁵tɯ⁵³ʦə,chinese_2004:hail:773,chinese_2004:hail:7
chinese_2004,hail,Jinan,pa⁴²ʦɿ,chinese_2004:hail:736,chinese_2004:hail:2
chinese_2004,hail,Jinan,ləŋ⁵⁵ʦɿ,chinese_2004:hail:802,chinese_2004:hail:4
chinese_2004,hail,Kunming,pĩ⁴⁴pɔ²¹²,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Kunming,ɕjɛ³¹tᴀ̃²¹²ʦɿ,chinese_2004:hail:818,chinese_2004:hail:3
chinese_2004,hail,Kunming,ɕjɛ³¹po³¹ʦɿ⁵³,chinese_2004:hail:819,chinese_2004:hail:3
chinese_2004,hail,Meixian,pʰok⁵,chinese_2004:hail:735,chinese_2004:hail:2
chinese_2004,hail,Nanchang,pʰɔʔ²ʦɿ⁰²,chinese_2004:hail:736,chinese_2004:hail:2
chinese_2004,hail,Shanghai,piŋ⁵³bɔ³,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Shexian,pjʌ̃³¹pʰɔ²²,chinese_2004:hail:744,chinese_2004:hail:1
chinese_2004,hail,Taoyuan,ləŋ⁵³tæ̃⁴⁵ʦəʔ,chinese_2004:hail:803,chinese_2004:hail:4
chinese_2004,hail,Xiamen,pʰawʔ⁵,chinese_2004:hail:735,chinese_2004:hail:8
chinese_2004,wheat,Beijing,maj⁵¹ʦɿ¹,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Changsha,mə²⁴ʦɿ,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Chengdu,me³¹ʦɿ⁵³,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Guangzhou,mɐk²,chinese_2004:wheat:43,chinese_2004:wheat:1
chinese_2004,wheat,Guiyang,mɛ²¹ʦɿ⁴²,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Hangzhou,mɑʔ²ʦɿ⁵³,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Hefei,mɐʔ⁵ʦə,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Jinan,mej²¹ʦɿ,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Kunming,mə³¹ʦɿ⁵³,chinese_2004:wheat:45,chinese_2004:wheat:1
chinese_2004,wheat,Meixian,mak⁵e,chinese_2004:wheat:44,chinese_2004:wheat:1
