concept,doculect,counterpart,cc,inferredCC,db
right (side),Dedua,foi,7797,huon:right (side):1,huon
right (side),Kate,fare,7795,huon:right (side):1,huon
right (side),Komba,bon,7799,huon:right (side):2,huon
right (side),Kube,foi,7797,huon:right (side):1,huon
right (side),Mape,fare,7795,huon:right (side):1,huon
right (side),Mesem,pana,7798,huon:right (side):2,huon
right (side),Nabak,panaŋ,7798,huon:right (side):2,huon
right (side),Ono,waraɡe,13929,huon:right (side):1,huon
right (side),Selepet,bon,7799,huon:right (side):2,huon
right (side),Somba-Siawari (Burum Dialect),al,7796,huon:right (side):3,huon
right (side),Somba-Siawari (Mindik Dialect),hal,7796,huon:right (side):3,huon
right (side),Timbe,bun,7799,huon:right (side):2,huon
right (side),Tobo,hala,7796,huon:right (side):3,huon
good,Borong,auaː,13948,huon:good:7,huon
good,Kate,biaŋne,14028,huon:good:2,huon
good,Kube,fia,7773,huon:good:2,huon
good,Mape,fine,7773,huon:good:2,huon
good,Mesem,saŋɡam,13692,huon:good:6,huon
good,Nabak,kpembenəŋ,13668,huon:good:5,huon
good,Ono,maine,13795,huon:good:4,huon
good,Selepet,alipŋe,7772,huon:good:1,huon
good,Somba-Siawari (Burum Dialect),alipŋi,7772,huon:good:1,huon
good,Somba-Siawari (Mindik Dialect),alipŋi,7772,huon:good:1,huon
good,Timbe,alipŋe,7772,huon:good:1,huon
good,Tobo,eha,13894,huon:good:3,huon
(its) hair,Borong,dzui,8000,huon:(its) hair:1,huon
(its) hair,Komba,samot,8002,huon:(its) hair:2,huon
(its) hair,Kube,dzu,8000,huon:(its) hair:1,huon
(its) hair,Mape,kaŋdzaŋ,14008,huon:(its) hair:3,huon
(its) hair,Mesem,dzup,8000,huon:(its) hair:1,huon
(its) hair,Nabak,dzup,8000,huon:(its) hair:1,huon
(its) hair,Ono,dzou,8000,huon:(its) hair:1,huon
(its) hair,Selepet,somot,8002,huon:(its) hair:2,huon
(its) hair,Somba-Siawari (Burum Dialect),dzup,8000,huon:(its) hair:1,huon
(its) hair,Somba-Siawari (Mindik Dialect),dzup,8000,huon:(its) hair:1,huon
(its) hair,Timbe,dumut,8002,huon:(its) hair:2,huon
(its) hair,Tobo,dzu,8000,huon:(its) hair:1,huon
(he) shoots,Nabak,arai,13647,huon:(he) shoots:1,huon
(he) shoots,Ono,jato,14089,huon:(he) shoots:3,huon
(he) shoots,Selepet,jer,8024,huon:(he) shoots:1,huon
