db,concept,doculect,counterpart,fullCC,inferredCC
huon_2_train,rope,Mesem,tək,huon_2_train:rope:7693,huon_2_train:rope:2
huon_2_train,rope,Nabak,dze,huon_2_train:rope:13730,huon_2_train:rope:5
huon_2_train,rope,Ono,ranom,huon_2_train:rope:14077,huon_2_train:rope:4
huon_2_train,rope,Selepet,ip,huon_2_train:rope:13886,huon_2_train:rope:6
huon_2_train,rope,Somba-Siawari (Burum Dialect),kisa,huon_2_train:rope:7694,huon_2_train:rope:1
huon_2_train,rope,Somba-Siawari (Mindik Dialect),kisa,huon_2_train:rope:7694,huon_2_train:rope:1
huon_2_train,rope,Timbe,tak,huon_2_train:rope:7693,huon_2_train:rope:2
huon_2_train,rope,Tobo,sahap,huon_2_train:rope:13670,huon_2_train:rope:3
huon_2_train,(its) tail,Borong,dzi,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Dedua,dzi,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Kate,ɡec,huon_2_train:(its) tail:14099,huon_2_train:(its) tail:3
huon_2_train,(its) tail,Komba,daː,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Kube,dzi,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Mape,dzi,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Nabak,dak,huon_2_train:(its) tail:7888,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Ono,dai,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Selepet,hape,huon_2_train:(its) tail:7889,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Somba-Siawari (Burum Dialect),dai,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Somba-Siawari (Mindik Dialect),lou,huon_2_train:(its) tail:13831,huon_2_train:(its) tail:2
huon_2_train,(its) tail,Timbe,dape,huon_2_train:(its) tail:7889,huon_2_train:(its) tail:1
huon_2_train,(its) tail,Tobo,dzi,huon_2_train:(its) tail:7887,huon_2_train:(its) tail:1
huon_2_train,(its) nose,Borong,sewaŋ,huon_2_train:(its) nose:13813,huon_2_train:(its) nose:1
huon_2_train,(its) nose,Borong,saja,huon_2_train:(its) nose:8029,huon_2_train:(its) nose:1
huon_2_train,(its) nose,Dedua,soɡe,huon_2_train:(its) nose:8020,huon_2_train:(its) nose:1
huon_2_train,(its) nose,Kate,soc,huon_2_train:(its) nose:8029,huon_2_train:(its) nose:3
huon_2_train,(its) nose,Kate,sake,huon_2_train:(its) nose:8020,huon_2_train:(its) nose:1
