db,concept,doculect,counterpart,fullCC,inferredCC
huon_prop_50_2_train,(he) shoots,Nabak,arai,huon_prop_50_2_train:(he) shoots:13647,huon_prop_50_2_train:(he) shoots:1
huon_prop_50_2_train,(he) shoots,Ono,jato,huon_prop_50_2_train:(he) shoots:14089,huon_prop_50_2_train:(he) shoots:3
huon_prop_50_2_train,(he) shoots,Selepet,jer,huon_prop_50_2_train:(he) shoots:8024,huon_prop_50_2_train:(he) shoots:1
huon_prop_50_2_train,(he) shoots,Somba-Siawari (Burum Dialect),era,huon_prop_50_2_train:(he) shoots:8024,huon_prop_50_2_train:(he) shoots:1
huon_prop_50_2_train,(he) shoots,Somba-Siawari (Mindik Dialect),era,huon_prop_50_2_train:(he) shoots:8024,huon_prop_50_2_train:(he) shoots:1
huon_prop_50_2_train,(he) shoots,Timbe,er,huon_prop_50_2_train:(he) shoots:8024,huon_prop_50_2_train:(he) shoots:1
huon_prop_50_2_train,(he) shoots,Tobo,wiri,huon_prop_50_2_train:(he) shoots:8025,huon_prop_50_2_train:(he) shoots:2
huon_prop_50_2_train,big,Borong,somata,huon_prop_50_2_train:big:13827,huon_prop_50_2_train:big:11
huon_prop_50_2_train,big,Dedua,kuneŋ,huon_prop_50_2_train:big:7742,huon_prop_50_2_train:big:3
huon_prop_50_2_train,big,Kate,kacɡbene,huon_prop_50_2_train:big:13752,huon_prop_50_2_train:big:10
huon_prop_50_2_train,big,Komba,pata,huon_prop_50_2_train:big:7743,huon_prop_50_2_train:big:2
huon_prop_50_2_train,big,Kube,kuneŋ,huon_prop_50_2_train:big:7742,huon_prop_50_2_train:big:3
huon_prop_50_2_train,big,Mape,jasoɡo,huon_prop_50_2_train:big:14115,huon_prop_50_2_train:big:9
huon_prop_50_2_train,big,Mesem,kəitn̥,huon_prop_50_2_train:big:13688,huon_prop_50_2_train:big:8
huon_prop_50_2_train,big,Nabak,taemba,huon_prop_50_2_train:big:13974,huon_prop_50_2_train:big:7
huon_prop_50_2_train,big,Ono,suaine,huon_prop_50_2_train:big:13802,huon_prop_50_2_train:big:6
huon_prop_50_2_train,big,Selepet,pato,huon_prop_50_2_train:big:7743,huon_prop_50_2_train:big:2
huon_prop_50_2_train,big,Somba-Siawari (Burum Dialect),ketaŋi,huon_prop_50_2_train:big:7741,huon_prop_50_2_train:big:1
huon_prop_50_2_train,big,Somba-Siawari (Mindik Dialect),ketaŋi,huon_prop_50_2_train:big:7741,huon_prop_50_2_train:big:1
huon_prop_50_2_train,big,Timbe,humo,huon_prop_50_2_train:big:14069,huon_prop_50_2_train:big:5
huon_prop_50_2_train,big,Tobo,baia,huon_prop_50_2_train:big:13897,huon_prop_50_2_train:big:4
huon_prop_50_2_train,he,Dedua,je,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Kate,e,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,he,Komba,zak,huon_prop_50_2_train:he:7871,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Kube,i,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,he,Mape,i,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,he,Nabak,ək,huon_prop_50_2_train:he:7871,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Ono,e,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Selepet,jak,huon_prop_50_2_train:he:7871,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Somba-Siawari (Burum Dialect),i,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,he,Somba-Siawari (Mindik Dialect),i,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,he,Timbe,jak,huon_prop_50_2_train:he:7871,huon_prop_50_2_train:he:2
huon_prop_50_2_train,he,Tobo,i,huon_prop_50_2_train:he:7872,huon_prop_50_2_train:he:1
huon_prop_50_2_train,we,Borong,nono,huon_prop_50_2_train:we:8014,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Dedua,nini,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Komba,nen,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Kube,nini,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Mape,ŋaŋu,huon_prop_50_2_train:we:8014,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Nabak,nin,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Ono,ŋedo,huon_prop_50_2_train:we:14086,huon_prop_50_2_train:we:2
huon_prop_50_2_train,we,Selepet,nen,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Somba-Siawari (Burum Dialect),nini,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Somba-Siawari (Mindik Dialect),nini,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Timbe,nen,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,we,Tobo,nini,huon_prop_50_2_train:we:8016,huon_prop_50_2_train:we:1
huon_prop_50_2_train,ye,Dedua,ŋeni,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Kate,ŋoŋe,huon_prop_50_2_train:ye:7965,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Komba,zen,huon_prop_50_2_train:ye:7964,huon_prop_50_2_train:ye:2
huon_prop_50_2_train,ye,Kube,ini,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Mape,ŋoŋai,huon_prop_50_2_train:ye:7965,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Mesem,lɨ,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:3
huon_prop_50_2_train,ye,Nabak,in,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Ono,ŋine,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Selepet,jen,huon_prop_50_2_train:ye:7964,huon_prop_50_2_train:ye:2
huon_prop_50_2_train,ye,Somba-Siawari (Burum Dialect),ini,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Somba-Siawari (Mindik Dialect),iŋiŋi,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,ye,Timbe,je,huon_prop_50_2_train:ye:7964,huon_prop_50_2_train:ye:2
huon_prop_50_2_train,ye,Tobo,ini,huon_prop_50_2_train:ye:7963,huon_prop_50_2_train:ye:1
huon_prop_50_2_train,this,Borong,i,huon_prop_50_2_train:this:7940,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Dedua,i,huon_prop_50_2_train:this:7940,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Kate,dzi,huon_prop_50_2_train:this:7939,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Komba,zi,huon_prop_50_2_train:this:7939,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Kube,i,huon_prop_50_2_train:this:7940,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Mape,ai,huon_prop_50_2_train:this:14021,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Mesem,wi,huon_prop_50_2_train:this:13684,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Nabak,kapi,huon_prop_50_2_train:this:13984,huon_prop_50_2_train:this:3
huon_prop_50_2_train,this,Ono,i,huon_prop_50_2_train:this:7940,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Selepet,ju,huon_prop_50_2_train:this:13910,huon_prop_50_2_train:this:2
huon_prop_50_2_train,this,Somba-Siawari (Burum Dialect),ke,huon_prop_50_2_train:this:13763,huon_prop_50_2_train:this:3
huon_prop_50_2_train,this,Somba-Siawari (Mindik Dialect),mu,huon_prop_50_2_train:this:7938,huon_prop_50_2_train:this:2
huon_prop_50_2_train,this,Timbe,i,huon_prop_50_2_train:this:7940,huon_prop_50_2_train:this:1
huon_prop_50_2_train,this,Tobo,mu,huon_prop_50_2_train:this:7938,huon_prop_50_2_train:this:2
huon_prop_50_2_train,thou,Borong,ɡi,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Dedua,ɡe,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Kate,ɡo,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Komba,ɡa,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Kube,ɡi,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Mape,ɡo,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Nabak,ɡəŋ,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Ono,ɡe,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Selepet,ɡa,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Somba-Siawari (Burum Dialect),ɡi,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Somba-Siawari (Mindik Dialect),ɡi,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Timbe,ɡa,huon_prop_50_2_train:thou:7807,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,thou,Tobo,ɡi,huon_prop_50_2_train:thou:7808,huon_prop_50_2_train:thou:1
huon_prop_50_2_train,(his) father,Borong,nemuŋ,huon_prop_50_2_train:(his) father:13993,huon_prop_50_2_train:(his) father:4
huon_prop_50_2_train,(his) father,Mape,mama,huon_prop_50_2_train:(his) father:1192,huon_prop_50_2_train:(his) father:1
huon_prop_50_2_train,(his) father,Mesem,bip,huon_prop_50_2_train:(his) father:7933,huon_prop_50_2_train:(his) father:3
huon_prop_50_2_train,(his) father,Nabak,bip,huon_prop_50_2_train:(his) father:7933,huon_prop_50_2_train:(his) father:3
huon_prop_50_2_train,(his) father,Ono,maɡa,huon_prop_50_2_train:(his) father:13782,huon_prop_50_2_train:(his) father:1
huon_prop_50_2_train,(his) father,Selepet,awa,huon_prop_50_2_train:(his) father:7935,huon_prop_50_2_train:(his) father:2
huon_prop_50_2_train,(his) father,Somba-Siawari (Burum Dialect),iwi,huon_prop_50_2_train:(his) father:7935,huon_prop_50_2_train:(his) father:2
huon_prop_50_2_train,(his) father,Somba-Siawari (Mindik Dialect),mam,huon_prop_50_2_train:(his) father:1192,huon_prop_50_2_train:(his) father:1
huon_prop_50_2_train,(his) father,Timbe,ewe,huon_prop_50_2_train:(his) father:7935,huon_prop_50_2_train:(his) father:2
huon_prop_50_2_train,(his) father,Tobo,mam,huon_prop_50_2_train:(his) father:1192,huon_prop_50_2_train:(his) father:1
huon_prop_50_2_train,rope,Mesem,tək,huon_prop_50_2_train:rope:7693,huon_prop_50_2_train:rope:2
huon_prop_50_2_train,rope,Nabak,dze,huon_prop_50_2_train:rope:13730,huon_prop_50_2_train:rope:5
huon_prop_50_2_train,rope,Ono,ranom,huon_prop_50_2_train:rope:14077,huon_prop_50_2_train:rope:4
huon_prop_50_2_train,rope,Selepet,ip,huon_prop_50_2_train:rope:13886,huon_prop_50_2_train:rope:6
huon_prop_50_2_train,rope,Somba-Siawari (Burum Dialect),kisa,huon_prop_50_2_train:rope:7694,huon_prop_50_2_train:rope:1
huon_prop_50_2_train,rope,Somba-Siawari (Mindik Dialect),kisa,huon_prop_50_2_train:rope:7694,huon_prop_50_2_train:rope:1
huon_prop_50_2_train,rope,Timbe,tak,huon_prop_50_2_train:rope:7693,huon_prop_50_2_train:rope:2
huon_prop_50_2_train,rope,Tobo,sahap,huon_prop_50_2_train:rope:13670,huon_prop_50_2_train:rope:3
huon_prop_50_2_train,(its) tail,Borong,dzi,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Dedua,dzi,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Kate,ɡec,huon_prop_50_2_train:(its) tail:14099,huon_prop_50_2_train:(its) tail:2
huon_prop_50_2_train,(its) tail,Komba,daː,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Kube,dzi,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Mape,dzi,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Nabak,dak,huon_prop_50_2_train:(its) tail:7888,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Ono,dai,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Selepet,hape,huon_prop_50_2_train:(its) tail:7889,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Somba-Siawari (Burum Dialect),dai,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Somba-Siawari (Mindik Dialect),lou,huon_prop_50_2_train:(its) tail:13831,huon_prop_50_2_train:(its) tail:3
huon_prop_50_2_train,(its) tail,Timbe,dape,huon_prop_50_2_train:(its) tail:7889,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) tail,Tobo,dzi,huon_prop_50_2_train:(its) tail:7887,huon_prop_50_2_train:(its) tail:1
huon_prop_50_2_train,(its) nose,Borong,sewaŋ,huon_prop_50_2_train:(its) nose:13813,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Borong,saja,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Dedua,soɡe,huon_prop_50_2_train:(its) nose:8020,huon_prop_50_2_train:(its) nose:3
huon_prop_50_2_train,(its) nose,Kate,soc,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:3
huon_prop_50_2_train,(its) nose,Kate,sake,huon_prop_50_2_train:(its) nose:8020,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Komba,sep,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Komba,saɡan,huon_prop_50_2_train:(its) nose:8019,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Kube,sawa,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Kube,sere,huon_prop_50_2_train:(its) nose:13713,huon_prop_50_2_train:(its) nose:3
huon_prop_50_2_train,(its) nose,Mape,sika,huon_prop_50_2_train:(its) nose:8020,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Mape,dari,huon_prop_50_2_train:(its) nose:14014,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Mesem,siŋɡeŋ,huon_prop_50_2_train:(its) nose:13718,huon_prop_50_2_train:(its) nose:5
huon_prop_50_2_train,(its) nose,Mesem,sip,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Nabak,sip,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Nabak,ŋiŋəŋ,huon_prop_50_2_train:(its) nose:13991,huon_prop_50_2_train:(its) nose:5
huon_prop_50_2_train,(its) nose,Ono,sot,huon_prop_50_2_train:(its) nose:13939,huon_prop_50_2_train:(its) nose:3
huon_prop_50_2_train,(its) nose,Ono,weŋemi,huon_prop_50_2_train:(its) nose:13943,huon_prop_50_2_train:(its) nose:6
huon_prop_50_2_train,(its) nose,Selepet,hame,huon_prop_50_2_train:(its) nose:8018,huon_prop_50_2_train:(its) nose:4
huon_prop_50_2_train,(its) nose,Selepet,hep,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Somba-Siawari (Burum Dialect),sahara,huon_prop_50_2_train:(its) nose:8019,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Somba-Siawari (Burum Dialect),sep,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Somba-Siawari (Mindik Dialect),sep,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,(its) nose,Somba-Siawari (Mindik Dialect),saŋɡara,huon_prop_50_2_train:(its) nose:8019,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Timbe,hame,huon_prop_50_2_train:(its) nose:8018,huon_prop_50_2_train:(its) nose:4
huon_prop_50_2_train,(its) nose,Timbe,ɡilam,huon_prop_50_2_train:(its) nose:14039,huon_prop_50_2_train:(its) nose:7
huon_prop_50_2_train,(its) nose,Tobo,sahari,huon_prop_50_2_train:(its) nose:8019,huon_prop_50_2_train:(its) nose:1
huon_prop_50_2_train,(its) nose,Tobo,sap,huon_prop_50_2_train:(its) nose:8029,huon_prop_50_2_train:(its) nose:2
huon_prop_50_2_train,earth,Dedua,banek,huon_prop_50_2_train:earth:7804,huon_prop_50_2_train:earth:1
huon_prop_50_2_train,earth,Kate,mareŋ,huon_prop_50_2_train:earth:7805,huon_prop_50_2_train:earth:3
huon_prop_50_2_train,earth,Komba,an,huon_prop_50_2_train:earth:7806,huon_prop_50_2_train:earth:2
huon_prop_50_2_train,earth,Kube,baek,huon_prop_50_2_train:earth:7804,huon_prop_50_2_train:earth:1
huon_prop_50_2_train,earth,Mape,mareŋ,huon_prop_50_2_train:earth:7805,huon_prop_50_2_train:earth:3
huon_prop_50_2_train,earth,Mesem,misa,huon_prop_50_2_train:earth:7809,huon_prop_50_2_train:earth:4
huon_prop_50_2_train,earth,Nabak,misat,huon_prop_50_2_train:earth:7809,huon_prop_50_2_train:earth:4
huon_prop_50_2_train,earth,Ono,kepe,huon_prop_50_2_train:earth:13938,huon_prop_50_2_train:earth:6
huon_prop_50_2_train,earth,Selepet,han,huon_prop_50_2_train:earth:7806,huon_prop_50_2_train:earth:2
huon_prop_50_2_train,earth,Somba-Siawari (Burum Dialect),ɡalme,huon_prop_50_2_train:earth:13697,huon_prop_50_2_train:earth:5
