db,concept,doculect,counterpart,fullCC,inferredCC
iel_train,all,Armenian_Mod,boloɾ,iel_train:all:566,iel_train:all:6
iel_train,all,Bihari,səb,iel_train:all:748,iel_train:all:3
iel_train,all,Breton_ST,ɔl,iel_train:all:965,iel_train:all:1
iel_train,all,Catalan,tot,iel_train:all:543,iel_train:all:2
iel_train,all,Czech,fʃɪxɲɪ,iel_train:all:1102,iel_train:all:4
iel_train,all,Danish,ɛl,iel_train:all:175,iel_train:all:1
iel_train,all,Dutch_List,ɑləs,iel_train:all:175,iel_train:all:1
iel_train,all,English,ɔːl,iel_train:all:175,iel_train:all:1
iel_train,all,French,tu,iel_train:all:543,iel_train:all:2
iel_train,all,German,alə,iel_train:all:175,iel_train:all:1
iel_train,all,Greek_Mod,o̞lo̞s,iel_train:all:965,iel_train:all:1
iel_train,all,Italian,tutto,iel_train:all:543,iel_train:all:2
iel_train,all,Marathi,səɾwə,iel_train:all:748,iel_train:all:3
iel_train,all,Oriya,sɔbɔ,iel_train:all:748,iel_train:all:3
iel_train,all,Polish,kaʒdɨ,iel_train:all:3542,iel_train:all:5
iel_train,all,Portuguese_ST,toðu,iel_train:all:543,iel_train:all:2
iel_train,all,Russian,vsʲo,iel_train:all:1102,iel_train:all:4
iel_train,all,Spanish,toðo,iel_train:all:543,iel_train:all:2
iel_train,all,Swedish,ala,iel_train:all:175,iel_train:all:1
iel_train,all,Urdu,səb,iel_train:all:748,iel_train:all:3
iel_train,belly,Bihari,peʈ,iel_train:belly:752,iel_train:belly:2
iel_train,belly,Breton_ST,koːf,iel_train:belly:973,iel_train:belly:6
iel_train,belly,Catalan,bentrə,iel_train:belly:854,iel_train:belly:3
iel_train,belly,Catalan,panʃə,iel_train:belly:3167,iel_train:belly:5
iel_train,belly,Czech,br̝ɪxo,iel_train:belly:1218,iel_train:belly:4
iel_train,belly,Danish,b̥u,iel_train:belly:184,iel_train:belly:1
iel_train,belly,Dutch_List,bœyk,iel_train:belly:184,iel_train:belly:1
iel_train,belly,English,bɛlɪ,iel_train:belly:184,iel_train:belly:1
iel_train,belly,French,vɑ̃tʀ,iel_train:belly:854,iel_train:belly:3
