db,concept,doculect,counterpart,fullCC,inferredCC
japanese,right,Amami,nigiri,japanese:right:395,japanese:right:1
japanese,right,Hachijō,nigiri,japanese:right:395,japanese:right:1
japanese,right,Kagoshima,miː,japanese:right:395,japanese:right:1
japanese,right,Kyōto,miŋi,japanese:right:395,japanese:right:1
japanese,right,Kōchi,migi,japanese:right:395,japanese:right:1
japanese,right,Miyako,nʦɨ,japanese:right:395,japanese:right:2
japanese,right,Oki,miŋi,japanese:right:395,japanese:right:1
japanese,right,Sado,migi,japanese:right:395,japanese:right:1
japanese,right,Shuri,niʥiri,japanese:right:395,japanese:right:1
japanese,right,Tōkyō,miŋi,japanese:right:395,japanese:right:1
japanese,good,Amami,iʨːari,japanese:good:212,japanese:good:3
japanese,good,Hachijō,jokːja,japanese:good:215,japanese:good:2
japanese,good,Kagoshima,joka,japanese:good:215,japanese:good:2
japanese,good,Kyōto,eː,japanese:good:211,japanese:good:1
japanese,good,Kōchi,eː,japanese:good:211,japanese:good:1
japanese,good,Miyako,ʣautuː,japanese:good:214,japanese:good:4
japanese,good,Oki,eː,japanese:good:211,japanese:good:1
japanese,good,Sado,eː,japanese:good:211,japanese:good:1
japanese,good,Shuri,jutaɕaɴ,japanese:good:213,japanese:good:2
japanese,good,Tōkyō,iː,japanese:good:211,japanese:good:1
japanese,hair,Amami,higi,japanese:hair:88,japanese:hair:1
japanese,hair,Hachijō,kiː,japanese:hair:89,japanese:hair:1
japanese,hair,Hachijō,kebuɕo,japanese:hair:89,japanese:hair:1
japanese,hair,Kagoshima,kei,japanese:hair:89,japanese:hair:1
japanese,hair,Kyōto,keː,japanese:hair:89,japanese:hair:1
japanese,hair,Kōchi,ke,japanese:hair:89,japanese:hair:1
japanese,hair,Miyako,p͡sɨgi,japanese:hair:88,japanese:hair:1
japanese,hair,Oki,ke,japanese:hair:89,japanese:hair:1
japanese,hair,Sado,ke,japanese:hair:89,japanese:hair:1
japanese,hair,Shuri,kiː,japanese:hair:89,japanese:hair:1
japanese,hair,Tōkyō,ke,japanese:hair:89,japanese:hair:1
japanese,many,Amami,ɕogoɕaɴ,japanese:many:34,japanese:many:1
japanese,many,Hachijō,sikːari,japanese:many:30,japanese:many:2
japanese,many,Kagoshima,dosːai,japanese:many:28,japanese:many:1
japanese,many,Kyōto,joːke,japanese:many:32,japanese:many:2
japanese,many,Kōchi,joke,japanese:many:32,japanese:many:2
japanese,many,Miyako,ukaːʃa,japanese:many:34,japanese:many:1
japanese,many,Oki,etːo,japanese:many:27,japanese:many:1
japanese,many,Sado,ikai,japanese:many:33,japanese:many:2
japanese,many,Shuri,ʔuhoːku,japanese:many:29,japanese:many:3
japanese,many,Tōkyō,takusaɴ,japanese:many:31,japanese:many:1
japanese,wife,Amami,θuʥi,japanese:wife:336,japanese:wife:2
japanese,wife,Hachijō,jome,japanese:wife:337,japanese:wife:4
japanese,wife,Kagoshima,ukːaita,japanese:wife:335,japanese:wife:1
japanese,wife,Kyōto,kaka,japanese:wife:338,japanese:wife:1
japanese,wife,Kōchi,kanai,japanese:wife:338,japanese:wife:1
japanese,wife,Miyako,tuʣɨ,japanese:wife:336,japanese:wife:2
japanese,wife,Oki,nʲoːba,japanese:wife:334,japanese:wife:3
japanese,wife,Sado,kaːsaɴ,japanese:wife:338,japanese:wife:1
japanese,wife,Shuri,tuʥi,japanese:wife:336,japanese:wife:2
japanese,wife,Tōkyō,kanai,japanese:wife:338,japanese:wife:1
japanese,husband,Amami,uθu,japanese:husband:331,japanese:husband:1
japanese,husband,Hachijō,ʨieɕu,japanese:husband:329,japanese:husband:2
japanese,husband,Kagoshima,jado,japanese:husband:333,japanese:husband:1
japanese,husband,Kyōto,ɕuʥiɴ,japanese:husband:330,japanese:husband:2
japanese,husband,Kōchi,ɕuʥiɴ,japanese:husband:330,japanese:husband:2
japanese,husband,Miyako,butu,japanese:husband:331,japanese:husband:1
japanese,husband,Oki,otoko,japanese:husband:332,japanese:husband:1
japanese,husband,Sado,otːo,japanese:husband:331,japanese:husband:1
japanese,husband,Shuri,utu,japanese:husband:331,japanese:husband:1
japanese,husband,Tōkyō,ɕuʥiɴ,japanese:husband:330,japanese:husband:2
japanese,feather,Amami,haɴge,japanese:feather:87,japanese:feather:1
japanese,feather,Hachijō,hane,japanese:feather:87,japanese:feather:1
japanese,feather,Kagoshima,haine,japanese:feather:87,japanese:feather:1
japanese,feather,Kyōto,hane,japanese:feather:87,japanese:feather:1
japanese,feather,Kōchi,hane,japanese:feather:87,japanese:feather:1
japanese,feather,Miyako,pani,japanese:feather:87,japanese:feather:1
japanese,feather,Oki,hane,japanese:feather:87,japanese:feather:1
japanese,feather,Sado,hane,japanese:feather:87,japanese:feather:1
japanese,feather,Shuri,hanigiː,japanese:feather:87,japanese:feather:1
japanese,feather,Tōkyō,hane,japanese:feather:87,japanese:feather:1
japanese,big,Amami,hwɨsːari,japanese:big:40,japanese:big:2
japanese,big,Hachijō,boːkʲa,japanese:big:37,japanese:big:1
japanese,big,Kagoshima,hute,japanese:big:39,japanese:big:1
japanese,big,Kyōto,oːkiː,japanese:big:38,japanese:big:1
japanese,big,Kōchi,hutoi,japanese:big:39,japanese:big:1
japanese,big,Miyako,uku,japanese:big:38,japanese:big:1
japanese,big,Oki,ɸuteː,japanese:big:39,japanese:big:1
japanese,big,Sado,oːkiː,japanese:big:38,japanese:big:1
japanese,big,Shuri,magisaɴ,japanese:big:41,japanese:big:3
japanese,big,Tōkyō,oːkiː,japanese:big:38,japanese:big:1
japanese,long,Amami,nagasari,japanese:long:48,japanese:long:1
japanese,long,Hachijō,nagakʲa,japanese:long:48,japanese:long:1
japanese,long,Kagoshima,nage,japanese:long:48,japanese:long:1
japanese,long,Kyōto,naŋai,japanese:long:48,japanese:long:1
japanese,long,Kōchi,nagai,japanese:long:48,japanese:long:1
japanese,long,Miyako,naga,japanese:long:48,japanese:long:1
japanese,long,Oki,naŋeː,japanese:long:48,japanese:long:1
japanese,long,Sado,nagai,japanese:long:48,japanese:long:1
japanese,long,Shuri,nagasaɴ,japanese:long:48,japanese:long:1
japanese,long,Tōkyō,naŋai,japanese:long:48,japanese:long:1
japanese,bark (of tree),Amami,xɨɴxo,japanese:bark (of tree):66,japanese:bark (of tree):2
japanese,bark (of tree),Hachijō,kua,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Kagoshima,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Kyōto,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Kōchi,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Miyako,kaː,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Oki,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Sado,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Shuri,kaː,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,bark (of tree),Tōkyō,kawa,japanese:bark (of tree):65,japanese:bark (of tree):1
japanese,I,Amami,waɴ,japanese:I:1,japanese:I:1
japanese,I,Hachijō,ware,japanese:I:1,japanese:I:1
japanese,I,Kagoshima,oiː,japanese:I:3,japanese:I:1
japanese,I,Kyōto,wate,japanese:I:2,japanese:I:1
japanese,I,Kōchi,asi,japanese:I:2,japanese:I:1
japanese,I,Miyako,ban,japanese:I:1,japanese:I:1
japanese,I,Oki,ora,japanese:I:3,japanese:I:1
japanese,I,Sado,ore,japanese:I:3,japanese:I:1
japanese,I,Shuri,waɴ,japanese:I:1,japanese:I:1
japanese,I,Tōkyō,watasi,japanese:I:2,japanese:I:1
japanese,heavy,Amami,ʔubusari,japanese:heavy:361,japanese:heavy:2
japanese,heavy,Hachijō,omokʲa,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Kagoshima,oimi,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Kyōto,omotai,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Kōchi,omotai,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Miyako,ivu,japanese:heavy:361,japanese:heavy:3
japanese,heavy,Oki,omeː,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Sado,omoi,japanese:heavy:361,japanese:heavy:1
japanese,heavy,Shuri,ʔɴbusaɴ,japanese:heavy:361,japanese:heavy:2
japanese,heavy,Tōkyō,omoi,japanese:heavy:361,japanese:heavy:1
japanese,he,Amami,ʔaɴʨu,japanese:he:230,japanese:he:1
japanese,he,Hachijō,ora,japanese:he:229,japanese:he:2
japanese,he,Kagoshima,aiː,japanese:he:230,japanese:he:3
japanese,he,Kyōto,anohito,japanese:he:230,japanese:he:1
japanese,he,Kōchi,anohito,japanese:he:230,japanese:he:1
japanese,he,Miyako,kanup͡sɨtu,japanese:he:231,japanese:he:1
japanese,he,Oki,are,japanese:he:230,japanese:he:2
japanese,he,Sado,anohito,japanese:he:230,japanese:he:1
japanese,he,Shuri,ʔanuʦːu,japanese:he:230,japanese:he:1
japanese,he,Tōkyō,anohito,japanese:he:230,japanese:he:1
japanese,we,Amami,waxja,japanese:we:11,japanese:we:1
japanese,we,Hachijō,wareɴisa,japanese:we:11,japanese:we:1
