db,concept,doculect,counterpart,fullCC,inferredCC
ob_ugrian,good,Jugan Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Kazym Khanty,jam,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Konda Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Konda Mansi,jɔməs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Likrisovskoje Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Lower Lozva Mansi,jæməs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Malyj Jugan Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Middle Lozva Mansi,jæməs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Nizjam Khanty,jam,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,North Mansi,jɔməs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Obdorsk Khanty,jiːm,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Pelymka Mansi,jɔməs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Sherkaly Khanty,jam,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Synja Khanty,jam,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Tavda Mansi,jumɔs,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Tremjugan Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Upper Demjanka Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Vakh Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Vartovskoje Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Vasjugan Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,good,Verkhne-Kalymsk Khanty,jem,ob_ugrian:good:71,ob_ugrian:good:1
ob_ugrian,hair,Jugan Khanty,oːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Kazym Khanty,ɵːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Konda Khanty,uːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Konda Mansi,əːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Likrisovskoje Khanty,oːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Lower Lozva Mansi,əːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Malyj Jugan Khanty,oːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Middle Lozva Mansi,əːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Nizjam Khanty,uːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,North Mansi,aːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Obdorsk Khanty,oːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Pelymka Mansi,əːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Sherkaly Khanty,uːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Synja Khanty,uːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Tavda Mansi,æːt,ob_ugrian:hair:74,ob_ugrian:hair:1
ob_ugrian,hair,Tremjugan Khanty,oːpət,ob_ugrian:hair:74,ob_ugrian:hair:1
