concept,doculect,counterpart,cc,inferredCC,db
ABOVE,Adnyamathanha,ara,18,pn:ABOVE:8,pn
ABOVE,Alyawarr,erɹul,36,pn:ABOVE:42,pn
ABOVE,Alyawarr,erɹuleŋ,36,pn:ABOVE:43,pn
ABOVE,Arabana,aɹata,18,pn:ABOVE:5,pn
ABOVE,Banggarla,kakːanːaɹa,34,pn:ABOVE:1,pn
ABOVE,Bayungu,kankaɹa,34,pn:ABOVE:1,pn
ABOVE,Dhalandji,kankaɹa,34,pn:ABOVE:1,pn
ABOVE,Dhangu,garwaɹ,56,pn:ABOVE:2,pn
ABOVE,Dhargari,jiraɹa,31,pn:ABOVE:3,pn
ABOVE,Dhuwal,garwaɹ,56,pn:ABOVE:2,pn
ABOVE,Dieri,miɹi,17,pn:ABOVE:44,pn
ABOVE,Djambarrpuyngu,garwaɹ,56,pn:ABOVE:2,pn
ABOVE,Djinang,gurgi,15,pn:ABOVE:9,pn
ABOVE,Djiwarli,jiraɹa,31,pn:ABOVE:3,pn
ABOVE,Dyaabugay,waŋgaɹ,32,pn:ABOVE:41,pn
ABOVE,Gamilaraay,ŋuriba,26,pn:ABOVE:10,pn
ABOVE,Gamilaraay,ŋguriba,26,pn:ABOVE:11,pn
ABOVE,Gupapuyngu,garwaɹ,56,pn:ABOVE:2,pn
ABOVE,Gurdjar,ŋkaːɖ,32,pn:ABOVE:6,pn
ABOVE,Gurdjar,ŋkaɖijaŋ,32,pn:ABOVE:12,pn
ABOVE,Gurindji,kankula,34,pn:ABOVE:1,pn
ABOVE,Guyani,kaɹa,18,pn:ABOVE:4,pn
ABOVE,Jaru,gaŋani,34,pn:ABOVE:1,pn
ABOVE,Jaru,gaŋanimaɹaŋo,34,pn:ABOVE:7,pn
ABOVE,Kala Lagaw Ya,gimal,57,pn:ABOVE:13,pn
ABOVE,Kalkutung,pirin̪a,30,pn:ABOVE:45,pn
ABOVE,Karadjeri,kantiŋka,45,pn:ABOVE:1,pn
ABOVE,Kartujarra,katuwanacanu,55,pn:ABOVE:14,pn
ABOVE,Kaurna,kara,18,pn:ABOVE:4,pn
ABOVE,Kukatja,gaŋaɹa,34,pn:ABOVE:1,pn
ABOVE,Kuku-Yalanji,waŋkaɹwaŋkaɹ,32,pn:ABOVE:15,pn
ABOVE,Kumbainggar,waɹu,13,pn:ABOVE:16,pn
ABOVE,Martu Wangka,kanka,34,pn:ABOVE:1,pn
ABOVE,Mudburra,dimbu,23,pn:ABOVE:17,pn
ABOVE,Muruwari,karanta,49,pn:ABOVE:5,pn
ABOVE,Narrinyeri,t̪alwulda,25,pn:ABOVE:18,pn
ABOVE,Ngaanyatjarra,kankaɹara,34,pn:ABOVE:1,pn
ABOVE,Ngamini,kuɹumu,24,pn:ABOVE:19,pn
ABOVE,Ngarinman,dalwir,1,pn:ABOVE:20,pn
ABOVE,Ngarluma,gankanmani,34,pn:ABOVE:1,pn
ABOVE,Ngura,piʈabada,38,pn:ABOVE:21,pn
ABOVE,Northern Coastal Nyangumarta,kanka,34,pn:ABOVE:1,pn
