db,concept,doculect,counterpart,fullCC,inferredCC
pn_1_train,NO OR NOT,Adnyamathanha,vidi,pn_1_train:NO OR NOT:7637,pn_1_train:NO OR NOT:12
pn_1_train,NO OR NOT,Alyawarr,araŋkʷ,pn_1_train:NO OR NOT:7664,pn_1_train:NO OR NOT:13
pn_1_train,NO OR NOT,Arabana,padni,pn_1_train:NO OR NOT:7640,pn_1_train:NO OR NOT:4
pn_1_train,NO OR NOT,Banggarla,kaɹi_kuru,pn_1_train:NO OR NOT:7639,pn_1_train:NO OR NOT:1
pn_1_train,NO OR NOT,Bayungu,kuɖa,pn_1_train:NO OR NOT:7629,pn_1_train:NO OR NOT:5
pn_1_train,NO OR NOT,Dhalandji,kuɖa,pn_1_train:NO OR NOT:7629,pn_1_train:NO OR NOT:5
pn_1_train,NO OR NOT,Dhangu,jaka,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:6
pn_1_train,NO OR NOT,Dhargari,t̪iː,pn_1_train:NO OR NOT:7668,pn_1_train:NO OR NOT:4
pn_1_train,NO OR NOT,Dhuwal,jaka,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:6
pn_1_train,NO OR NOT,Dieri,wata,pn_1_train:NO OR NOT:7632,pn_1_train:NO OR NOT:7
pn_1_train,NO OR NOT,Djambarrpuyngu,baːjŋu,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:19
pn_1_train,NO OR NOT,Djinang,iŋki,pn_1_train:NO OR NOT:7622,pn_1_train:NO OR NOT:14
pn_1_train,NO OR NOT,Djiwarli,wari,pn_1_train:NO OR NOT:7627,pn_1_train:NO OR NOT:1
pn_1_train,NO OR NOT,Dyaabugay,majŋga,pn_1_train:NO OR NOT:7674,pn_1_train:NO OR NOT:3
pn_1_train,NO OR NOT,Gamilaraay,waɹai,pn_1_train:NO OR NOT:7627,pn_1_train:NO OR NOT:1
pn_1_train,NO OR NOT,Gamilaraay,kumːil,pn_1_train:NO OR NOT:7659,pn_1_train:NO OR NOT:15
pn_1_train,NO OR NOT,Gupapuyngu,jaka,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:6
pn_1_train,NO OR NOT,Gurdjar,aːɖ,pn_1_train:NO OR NOT:7686,pn_1_train:NO OR NOT:10
pn_1_train,NO OR NOT,Gurindji,kuɭana,pn_1_train:NO OR NOT:7628,pn_1_train:NO OR NOT:5
pn_1_train,NO OR NOT,Guyani,malka,pn_1_train:NO OR NOT:7662,pn_1_train:NO OR NOT:3
pn_1_train,NO OR NOT,Jaru,waguɹa,pn_1_train:NO OR NOT:7633,pn_1_train:NO OR NOT:5
pn_1_train,NO OR NOT,Kala Lagaw Ya,lawŋa,pn_1_train:NO OR NOT:7623,pn_1_train:NO OR NOT:11
pn_1_train,NO OR NOT,Kalkutung,kuntu,pn_1_train:NO OR NOT:7658,pn_1_train:NO OR NOT:5
pn_1_train,NO OR NOT,Karadjeri,molal,pn_1_train:NO OR NOT:7621,pn_1_train:NO OR NOT:3
pn_1_train,NO OR NOT,Kartujarra,paki,pn_1_train:NO OR NOT:7651,pn_1_train:NO OR NOT:4
pn_1_train,NO OR NOT,Kaurna,jakːo,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:6
pn_1_train,NO OR NOT,Kaurna,madlanːa,pn_1_train:NO OR NOT:7694,pn_1_train:NO OR NOT:11
pn_1_train,NO OR NOT,Kukatja,wica,pn_1_train:NO OR NOT:7665,pn_1_train:NO OR NOT:7
pn_1_train,NO OR NOT,Kukatja,wia,pn_1_train:NO OR NOT:7665,pn_1_train:NO OR NOT:2
pn_1_train,NO OR NOT,Kukatja,wi,pn_1_train:NO OR NOT:7665,pn_1_train:NO OR NOT:2
