db,concept,doculect,counterpart,fullCC,inferredCC
pn_prop_50_3_train,NEAR,Adnyamathanha,japiri,pn_prop_50_3_train:NEAR:7337,pn_prop_50_3_train:NEAR:8
pn_prop_50_3_train,NEAR,Alyawarr,aŋat̪,pn_prop_50_3_train:NEAR:7360,pn_prop_50_3_train:NEAR:22
pn_prop_50_3_train,NEAR,Arabana,itcaɖa,pn_prop_50_3_train:NEAR:7355,pn_prop_50_3_train:NEAR:13
pn_prop_50_3_train,NEAR,Banggarla,naɳa,pn_prop_50_3_train:NEAR:7334,pn_prop_50_3_train:NEAR:14
pn_prop_50_3_train,NEAR,Bayungu,juruga,pn_prop_50_3_train:NEAR:7374,pn_prop_50_3_train:NEAR:15
pn_prop_50_3_train,NEAR,Dhalandji,jint̪a,pn_prop_50_3_train:NEAR:7373,pn_prop_50_3_train:NEAR:2
pn_prop_50_3_train,NEAR,Dhangu,galki,pn_prop_50_3_train:NEAR:7367,pn_prop_50_3_train:NEAR:1
pn_prop_50_3_train,NEAR,Dhargari,n̪ugu,pn_prop_50_3_train:NEAR:7358,pn_prop_50_3_train:NEAR:7
pn_prop_50_3_train,NEAR,Dhuwal,galki,pn_prop_50_3_train:NEAR:7367,pn_prop_50_3_train:NEAR:1
pn_prop_50_3_train,NEAR,Dieri,kaɹakaɹa,pn_prop_50_3_train:NEAR:7328,pn_prop_50_3_train:NEAR:4
pn_prop_50_3_train,NEAR,Djambarrpuyngu,galki,pn_prop_50_3_train:NEAR:7367,pn_prop_50_3_train:NEAR:1
pn_prop_50_3_train,NEAR,Djinang,ŋidcirgi,pn_prop_50_3_train:NEAR:7321,pn_prop_50_3_train:NEAR:41
pn_prop_50_3_train,NEAR,Djiwarli,n̪ugu,pn_prop_50_3_train:NEAR:7358,pn_prop_50_3_train:NEAR:7
pn_prop_50_3_train,NEAR,Dyaabugay,biri,pn_prop_50_3_train:NEAR:7339,pn_prop_50_3_train:NEAR:8
pn_prop_50_3_train,NEAR,Gamilaraay,gunba,pn_prop_50_3_train:NEAR:7349,pn_prop_50_3_train:NEAR:12
pn_prop_50_3_train,NEAR,Gupapuyngu,galki,pn_prop_50_3_train:NEAR:7367,pn_prop_50_3_train:NEAR:1
pn_prop_50_3_train,NEAR,Gurdjar,βaːrik,pn_prop_50_3_train:NEAR:7387,pn_prop_50_3_train:NEAR:16
pn_prop_50_3_train,NEAR,Gurindji,witkupaɹi,pn_prop_50_3_train:NEAR:7324,pn_prop_50_3_train:NEAR:5
pn_prop_50_3_train,NEAR,Guyani,ŋuɹi,pn_prop_50_3_train:NEAR:7333,pn_prop_50_3_train:NEAR:17
pn_prop_50_3_train,NEAR,Jaru,jaɖig,pn_prop_50_3_train:NEAR:7330,pn_prop_50_3_train:NEAR:23
pn_prop_50_3_train,NEAR,Kala Lagaw Ya,gai,pn_prop_50_3_train:NEAR:7320,pn_prop_50_3_train:NEAR:1
pn_prop_50_3_train,NEAR,Kalkutung,pikaja,pn_prop_50_3_train:NEAR:7351,pn_prop_50_3_train:NEAR:18
pn_prop_50_3_train,NEAR,Karadjeri,lani,pn_prop_50_3_train:NEAR:7326,pn_prop_50_3_train:NEAR:19
pn_prop_50_3_train,NEAR,Kartujarra,ŋamu,pn_prop_50_3_train:NEAR:7316,pn_prop_50_3_train:NEAR:3
pn_prop_50_3_train,NEAR,Kaurna,kuɹa,pn_prop_50_3_train:NEAR:7332,pn_prop_50_3_train:NEAR:20
