concept,doculect,counterpart,cc,inferredCC,db
good,Aromanian,bˈun+ŭ,76,rom:good:1,rom
good,Barbania_Piemontese,buŋ,76,rom:good:1,rom
good,Bellunese_Venetian,boŋ,76,rom:good:1,rom
good,Campidanese,bˈon+u,76,rom:good:1,rom
good,Carmagnola_Piemontese,buŋ,76,rom:good:1,rom
good,Carpigiano_Emiliano,bɔwn,76,rom:good:1,rom
good,Castelló_de_la_Plana_Catalan,bɔ,76,rom:good:1,rom
good,Castilian_Spanish,bˈwen+o,76,rom:good:1,rom
good,Catanian_Sicilian,bˈɔn+u,76,rom:good:1,rom
good,Central_Catalan,bɔ,76,rom:good:1,rom
good,Dalmatian,buŋ,76,rom:good:1,rom
good,Fassano_Ladin,boŋ,76,rom:good:1,rom
good,Ferrarese_Emiliano,bon,76,rom:good:1,rom
good,Friulian,bɔŋ,76,rom:good:1,rom
good,Gardenese_Ladin,boŋ,76,rom:good:1,rom
good,Genoese_Ligurian,buŋ,76,rom:good:1,rom
good,Grosseto_Italian,bˈɔn+o,76,rom:good:1,rom
good,Istro_Romanian,bur,76,rom:good:1,rom
good,Lanzo_Torinese_Piemontese,buŋ,76,rom:good:1,rom
good,Logudorese,vˈon+u,76,rom:good:1,rom
good,Manises_Catalan,bɔn,76,rom:good:1,rom
good,Megleno_Romanian,bun,76,rom:good:1,rom
good,Messinese_Sicilian,bˈɔn+u,76,rom:good:1,rom
good,Minorcan_Catalan,bɔ,76,rom:good:1,rom
good,Neapolitan,bˈwon+ə,76,rom:good:1,rom
good,North-Western_Catalan,bɔ,76,rom:good:1,rom
good,Palermitan_Sicilian,bˈwɔn+u,76,rom:good:1,rom
good,Primiero_Venetian,bɔŋ,76,rom:good:1,rom
good,Provençal_Occitan,boŋ,76,rom:good:1,rom
good,Rapallo_Ligurian,buŋ,76,rom:good:1,rom
good,Ravennate_Romagnol,bown,76,rom:good:1,rom
good,Reggiano_Emiliano,bɔwn,76,rom:good:1,rom
good,Romanian,bun,76,rom:good:1,rom
good,Rumantsch_Grischun,bun,76,rom:good:1,rom
good,South-Eastern_Sicilian,bˈwɔn+u,76,rom:good:1,rom
good,Standard_Italian,bˈwɔn+o,76,rom:good:1,rom
good,Stella_Ligurian,buŋ,76,rom:good:1,rom
good,Surmiran_Romansh,buŋ,76,rom:good:1,rom
good,Sursilvan_Romansh,bjen,76,rom:good:1,rom
good,Valencian_Catalan,bɔ,76,rom:good:1,rom
good,Vallader_Romansh,bun,76,rom:good:1,rom
good,Venice_Venetian,boŋ,76,rom:good:1,rom
good,Vercellese_Piemontese,boːŋ,76,rom:good:1,rom
hair,Aromanian,pˈer+ŭ,78,rom:hair:2,rom
hair,Barbania_Piemontese,kavɛ+j,79,rom:hair:1,rom
hair,Bellunese_Venetian,kavˈe+i,79,rom:hair:1,rom
hair,Campidanese,pˈilu+zu,78,rom:hair:3,rom
hair,Carmagnola_Piemontese,kavɛ+j,79,rom:hair:1,rom
hair,Carpigiano_Emiliano,kav+ˈiː,79,rom:hair:1,rom
hair,Castelló_de_la_Plana_Catalan,kaβˈeʎ,79,rom:hair:1,rom
hair,Castilian_Spanish,pˈel+o,78,rom:hair:2,rom
hair,Catanian_Sicilian,kapˈiɖː+i,79,rom:hair:1,rom
hair,Central_Catalan,kəβˈɛʎ,79,rom:hair:1,rom
hair,Dalmatian,kapˈe+j,79,rom:hair:1,rom
hair,Fassano_Ladin,ʨavˈe+j,79,rom:hair:1,rom
hair,Ferrarese_Emiliano,kav+ˈi,79,rom:hair:1,rom
hair,Friulian,ȶavˈɛ+j,79,rom:hair:1,rom
hair,Gardenese_Ladin,ʨavˈə+j,79,rom:hair:1,rom
hair,Genoese_Ligurian,kavˈelː+i,79,rom:hair:1,rom
hair,Grosseto_Italian,kapˈelː+i,79,rom:hair:1,rom
hair,Istro_Romanian,per,78,rom:hair:2,rom
hair,Lanzo_Torinese_Piemontese,kavɛ+j,79,rom:hair:1,rom
hair,Logudorese,pˈil+os,78,rom:hair:3,rom
hair,Manises_Catalan,mˈoɲ+o,80,rom:hair:5,rom
hair,Megleno_Romanian,per,78,rom:hair:2,rom
hair,Messinese_Sicilian,kapˈiɖː+ɨ,79,rom:hair:1,rom
hair,Minorcan_Catalan,kəβˈɛj,79,rom:hair:1,rom
hair,Neapolitan,kapˈilː+ə,79,rom:hair:1,rom
hair,North-Western_Catalan,kaβˈeʎ,79,rom:hair:1,rom
hair,Palermitan_Sicilian,kapˈiɖː+i,79,rom:hair:1,rom
hair,Primiero_Venetian,kavˈe+i,79,rom:hair:1,rom
hair,Provençal_Occitan,pɛw,78,rom:hair:4,rom
hair,Rapallo_Ligurian,kavˈelː+i,79,rom:hair:1,rom
hair,Ravennate_Romagnol,kavˈɛl,79,rom:hair:1,rom
hair,Reggiano_Emiliano,kav+ˈiː,79,rom:hair:1,rom
hair,Romanian,pər,78,rom:hair:2,rom
hair,Rumantsch_Grischun,ʨəvˈɛl+s,79,rom:hair:1,rom
hair,South-Eastern_Sicilian,kapˈiɖː+i,79,rom:hair:1,rom
hair,Standard_Italian,kapˈelː+o,79,rom:hair:1,rom
hair,Stella_Ligurian,kavˈäːj+i,79,rom:hair:1,rom
hair,Surmiran_Romansh,ȶəvˈɛl+s,79,rom:hair:1,rom
hair,Sursilvan_Romansh,kəvˈɛʎ+s,79,rom:hair:1,rom
hair,Valencian_Catalan,kaβˈeʎ,79,rom:hair:1,rom
hair,Vallader_Romansh,ʨəvˈɛl+s,79,rom:hair:1,rom
hair,Venice_Venetian,kavˈe+i,79,rom:hair:1,rom
hair,Vercellese_Piemontese,kavˈö+j,79,rom:hair:1,rom
many,Aromanian,mˈult+u,129,rom:many:1,rom
many,Barbania_Piemontese,əŋ+mˈüč,129,rom:many:5,rom
many,Barbania_Piemontese,tˈaŋt+i,130,rom:many:2,rom
many,Bellunese_Venetian,tˈaŋt+i,130,rom:many:2,rom
many,Campidanese,mˈeða,137,rom:many:8,rom
many,Carmagnola_Piemontese,tˈaŋt+i,130,rom:many:2,rom
many,Carpigiano_Emiliano,tant,130,rom:many:2,rom
many,Castelló_de_la_Plana_Catalan,moɫt,129,rom:many:1,rom
many,Castilian_Spanish,mˈuč+o,129,rom:many:1,rom
many,Catanian_Sicilian,asːˈa+i,136,rom:many:3,rom
many,Central_Catalan,moɫ,129,rom:many:1,rom
many,Dalmatian,mwalt,129,rom:many:1,rom
many,Fassano_Ladin,trop,131,rom:many:7,rom
many,Fassano_Ladin,n+mˈuje,129,rom:many:5,rom
many,Ferrarese_Emiliano,parˈɛč,134,rom:many:6,rom
many,Friulian,tanȶ,130,rom:many:2,rom
many,Gardenese_Ladin,trwep,131,rom:many:7,rom
many,Genoese_Ligurian,iŋ+mˈuʤː+u,129,rom:many:5,rom
many,Grosseto_Italian,tˈant+o,130,rom:many:2,rom
many,Istro_Romanian,čˈuda,-350,rom:many:13,rom
many,Istro_Romanian,maj+mˈunt,129,rom:many:1,rom
many,Lanzo_Torinese_Piemontese,tˈaŋt,130,rom:many:2,rom
many,Logudorese,mˈed+as,137,rom:many:8,rom
many,Manises_Catalan,moɫt,129,rom:many:1,rom
many,Megleno_Romanian,mult,129,rom:many:1,rom
many,Messinese_Sicilian,asːˈa+i,136,rom:many:3,rom
many,Minorcan_Catalan,moɫt,129,rom:many:1,rom
many,Neapolitan,asːˈaj+ə,136,rom:many:3,rom
many,Neapolitan,parˈikːj+ə,134,rom:many:6,rom
many,North-Western_Catalan,moɫ,129,rom:many:1,rom
many,Palermitan_Sicilian,asːˈa+i,136,rom:many:3,rom
many,Primiero_Venetian,tˈaŋt+i,130,rom:many:2,rom
many,Provençal_Occitan,fˈɔɾs+o,138,rom:many:12,rom
many,Provençal_Occitan,bɾav+amˈeŋ,139,rom:many:11,rom
many,Rapallo_Ligurian,mˈuʤː+u,129,rom:many:1,rom
many,Ravennate_Romagnol,un+mˈownt,133,rom:many:10,rom
many,Reggiano_Emiliano,taːnt,130,rom:many:2,rom
many,Romanian,mult,129,rom:many:1,rom
many,Rumantsch_Grischun,bler,132,rom:many:4,rom
