db,concept,doculect,counterpart,fullCC,inferredCC
rom_1_train,feather,Aromanian,pˈe̯an+ə,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Barbania_Piemontese,pˈjüm+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Bellunese_Venetian,pˈen+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Campidanese,pˈinː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Carmagnola_Piemontese,pˈjüm+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Carpigiano_Emiliano,pˈɛn+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Castelló_de_la_Plana_Catalan,pɫˈom+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Castilian_Spanish,plˈum+a,rom_1_train:feather:-332,rom_1_train:feather:1
rom_1_train,feather,Catanian_Sicilian,pˈinː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Central_Catalan,pɫˈom+ə,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Dalmatian,pˈajn+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Fassano_Ladin,pˈjum+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Ferrarese_Emiliano,pˈɛn+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Friulian,plˈum+e,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Gardenese_Ladin,plˈum+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Genoese_Ligurian,pˈenː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Grosseto_Italian,pˈenː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Istro_Romanian,pˈäna,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Lanzo_Torinese_Piemontese,pˈjüm+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Logudorese,prˈumː+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Manises_Catalan,pɫˈom+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Megleno_Romanian,pˈe̯an+ə,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Messinese_Sicilian,pˈinː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Minorcan_Catalan,pɫˈom+ə,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Neapolitan,pˈenː+ə,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,North-Western_Catalan,pɫˈom+ɛ,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Palermitan_Sicilian,pˈinː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Primiero_Venetian,pˈjum+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Provençal_Occitan,plˈüm+o,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Rapallo_Ligurian,pˈeŋː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Ravennate_Romagnol,pˈɛn+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Reggiano_Emiliano,pˈjom+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Romanian,pˈan+ə,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Rumantsch_Grischun,plˈim+ə,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,South-Eastern_Sicilian,pˈjum+a,rom_1_train:feather:-331,rom_1_train:feather:1
rom_1_train,feather,Standard_Italian,pˈenː+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Stella_Ligurian,čˈümː+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Surmiran_Romansh,plˈem+ə,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Sursilvan_Romansh,plˈem+ə,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Valencian_Catalan,pɫˈom+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,feather,Vallader_Romansh,pˈɛn+ə,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Venice_Venetian,pˈen+a,rom_1_train:feather:67,rom_1_train:feather:2
rom_1_train,feather,Vercellese_Piemontese,pˈjüːm+a,rom_1_train:feather:68,rom_1_train:feather:1
rom_1_train,nose,Aromanian,nˈar+e,rom_1_train:nose:160,rom_1_train:nose:1
rom_1_train,nose,Barbania_Piemontese,nas,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Bellunese_Venetian,nas,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Campidanese,nˈaz+u,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Carmagnola_Piemontese,naz,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Carpigiano_Emiliano,nɛːz,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Castelló_de_la_Plana_Catalan,nas,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Castilian_Spanish,naɾˈiθ,rom_1_train:nose:160,rom_1_train:nose:1
rom_1_train,nose,Catanian_Sicilian,nˈas+u,rom_1_train:nose:159,rom_1_train:nose:1
rom_1_train,nose,Central_Catalan,nas,rom_1_train:nose:159,rom_1_train:nose:1
