db,concept,doculect,counterpart,fullCC,inferredCC
rom_prop_50_0_train,many,Aromanian,mˈult+u,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Barbania_Piemontese,əŋ+mˈüč,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:5
rom_prop_50_0_train,many,Barbania_Piemontese,tˈaŋt+i,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Bellunese_Venetian,tˈaŋt+i,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Campidanese,mˈeða,rom_prop_50_0_train:many:137,rom_prop_50_0_train:many:8
rom_prop_50_0_train,many,Carmagnola_Piemontese,tˈaŋt+i,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Carpigiano_Emiliano,tant,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Castelló_de_la_Plana_Catalan,moɫt,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Castilian_Spanish,mˈuč+o,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:5
rom_prop_50_0_train,many,Catanian_Sicilian,asːˈa+i,rom_prop_50_0_train:many:136,rom_prop_50_0_train:many:3
rom_prop_50_0_train,many,Central_Catalan,moɫ,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Dalmatian,mwalt,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Fassano_Ladin,trop,rom_prop_50_0_train:many:131,rom_prop_50_0_train:many:7
rom_prop_50_0_train,many,Fassano_Ladin,n+mˈuje,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:5
rom_prop_50_0_train,many,Ferrarese_Emiliano,parˈɛč,rom_prop_50_0_train:many:134,rom_prop_50_0_train:many:6
rom_prop_50_0_train,many,Friulian,tanȶ,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Gardenese_Ladin,trwep,rom_prop_50_0_train:many:131,rom_prop_50_0_train:many:7
rom_prop_50_0_train,many,Genoese_Ligurian,iŋ+mˈuʤː+u,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:5
rom_prop_50_0_train,many,Grosseto_Italian,tˈant+o,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Istro_Romanian,čˈuda,rom_prop_50_0_train:many:-350,rom_prop_50_0_train:many:13
rom_prop_50_0_train,many,Istro_Romanian,maj+mˈunt,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Lanzo_Torinese_Piemontese,tˈaŋt,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Logudorese,mˈed+as,rom_prop_50_0_train:many:137,rom_prop_50_0_train:many:8
rom_prop_50_0_train,many,Manises_Catalan,moɫt,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Megleno_Romanian,mult,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Messinese_Sicilian,asːˈa+i,rom_prop_50_0_train:many:136,rom_prop_50_0_train:many:3
rom_prop_50_0_train,many,Minorcan_Catalan,moɫt,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Neapolitan,asːˈaj+ə,rom_prop_50_0_train:many:136,rom_prop_50_0_train:many:3
rom_prop_50_0_train,many,Neapolitan,parˈikːj+ə,rom_prop_50_0_train:many:134,rom_prop_50_0_train:many:6
rom_prop_50_0_train,many,North-Western_Catalan,moɫ,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Palermitan_Sicilian,asːˈa+i,rom_prop_50_0_train:many:136,rom_prop_50_0_train:many:3
rom_prop_50_0_train,many,Primiero_Venetian,tˈaŋt+i,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Provençal_Occitan,fˈɔɾs+o,rom_prop_50_0_train:many:138,rom_prop_50_0_train:many:12
rom_prop_50_0_train,many,Provençal_Occitan,bɾav+amˈeŋ,rom_prop_50_0_train:many:139,rom_prop_50_0_train:many:11
rom_prop_50_0_train,many,Rapallo_Ligurian,mˈuʤː+u,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
rom_prop_50_0_train,many,Ravennate_Romagnol,un+mˈownt,rom_prop_50_0_train:many:133,rom_prop_50_0_train:many:10
rom_prop_50_0_train,many,Reggiano_Emiliano,taːnt,rom_prop_50_0_train:many:130,rom_prop_50_0_train:many:2
rom_prop_50_0_train,many,Romanian,mult,rom_prop_50_0_train:many:129,rom_prop_50_0_train:many:1
