concept,doculect,counterpart,cc,inferredCC,db
I,Alike Tibetan,ŋä,615,st:I:1,st
I,Ao-Chungli,ni,615,st:I:1,st
I,Ao-Mongsen,ni,615,st:I:1,st
I,Apatari,ŋó,615,st:I:1,st
I,Batang Tibetan,ŋa²³¹,615,st:I:1,st
I,Beijing,wǒ,615,st:I:1,st
I,Bodo,aŋ,615,st:I:1,st
I,Bokar,ŋoː,615,st:I:1,st
I,Bola,ŋa⁵⁵,615,st:I:1,st
I,Burmese,ŋa,615,st:I:1,st
I,Dhimal,ka,615,st:I:1,st
I,Dimasa,aŋ,615,st:I:1,st
I,Dulong,ŋa⁵³,615,st:I:1,st
I,Ersu,a⁵⁵,769,st:I:1,st
I,Fuzhou,ŋuai³³,615,st:I:1,st
I,Garo,aŋa,615,st:I:1,st
I,Geba,jɛ³³,615,st:I:1,st
I,Geker,khe⁵³,615,st:I:2,st
I,Guiqiong,ŋö³⁵,615,st:I:1,st
I,Gurung,ŋa¹,769,st:I:1,st
I,Hakka,ŋai²,615,st:I:1,st
I,Hill-Miri,ŋo,615,st:I:1,st
I,Horpa,ŋa,615,st:I:1,st
I,Idu,ŋa²,615,st:I:1,st
I,Jingpo,ŋai³³,615,st:I:1,st
I,Jinuo,ŋɔ⁴²,615,st:I:1,st
I,Jirel,ŋa_L²,615,st:I:1,st
I,Kaike,ŋa,615,st:I:1,st
I,Khaling,uŋH,615,st:I:1,st
I,Kulung,kɔŋ,615,st:I:1,st
I,Lepcha,kă-do,615,st:I:1,st
I,Lhasa Tibetan,ŋa¹³,615,st:I:1,st
I,Lhota,a,769,st:I:1,st
I,Liangmai,i,769,st:I:3,st
I,Lijiang-Naxi,ŋə³¹,615,st:I:1,st
I,Limbu,\Iaŋgā,615,st:I:1,st
I,Lushai,keima,615,st:I:3,st
I,Lüsu,æ⁵³,769,st:I:2,st
I,Manu,he¹¹,615,st:I:2,st
I,Motuo-M,ʒ́aŋ,764,st:I:1,st
I,N-Qiang,qa,769,st:I:1,st
I,Namuzi,ŋa⁵⁵,615,st:I:1,st
I,Ninglang-Naxi,ńa³³,615,st:I:1,st
I,Nusu,ŋa³⁵,615,st:I:1,st
I,Old Chinese,ŋhājʔ,615,st:I:1,st
I,Old Chinese,Ła,1331,st:I:1,st
I,Pa'O,khwi⁵⁵,615,st:I:2,st
I,Padam,ŋo,615,st:I:1,st
I,Quueyu,ŋa¹³,615,st:I:1,st
I,Rawang,ŋa,615,st:I:1,st
I,Rourou,ŋo³³,615,st:I:1,st
I,Serdukpen,gu,615,st:I:1,st
I,Sgaw,jạ³³,615,st:I:1,st
I,Sherpa,ŋa_LF,615,st:I:1,st
I,Shixing,ŋâ⁵⁵,615,st:I:1,st
I,Tangkul,iya,769,st:I:3,st
I,Tujia,ŋa³,615,st:I:1,st
I,W. Kayah,va³³,1015,st:I:1,st
I,Written Tibetan,ŋa,615,st:I:1,st
I,Xiaxe Tibetan,ŋa,615,st:I:1,st
I,Yeinbaw,khi⁵⁵,615,st:I:2,st
I,Yintale,khwɛ⁵⁵,615,st:I:2,st
I,Zeme,i,769,st:I:3,st
I,Zhaba,ŋo⁵¹,615,st:I:1,st
blood,Alike Tibetan,cśhak,686,st:blood:4,st
blood,Ao-Chungli,ayi,487,st:blood:3,st
blood,Ao-Mongsen,si,487,st:blood:1,st
blood,Apatari,àyi,487,st:blood:3,st
blood,Batang Tibetan,ćhâʔ⁵³,686,st:blood:4,st
blood,Beijing,śuè,487,st:blood:1,st
blood,Bodo,təʔj,487,st:blood:2,st
blood,Bokar,u_yiː,487,st:blood:3,st
blood,Bola,sui³⁵,487,st:blood:1,st
blood,Burmese,sweː,487,st:blood:1,st
blood,Dhimal,hiti,487,st:blood:2,st
blood,Dimasa,thi,487,st:blood:2,st
blood,Dulong,śɨi⁵⁵,487,st:blood:1,st
blood,Ersu,ṣo⁵⁵,487,st:blood:1,st
blood,Fuzhou,xaik²³,487,st:blood:5,st
blood,Garo,anci,487,st:blood:2,st
blood,Geba,ṭwĩʔ⁵³,487,st:blood:2,st
blood,Geker,ṭwiʔ⁵³,487,st:blood:2,st
blood,Guiqiong,cɨ⁵³,487,st:blood:2,st
blood,Gurung,ko²,726,st:blood:6,st
blood,Hakka,xiat⁵,487,st:blood:5,st
blood,Hill-Miri,ui,487,st:blood:3,st
blood,Hmar,thisen,487,st:blood:2,st
blood,Horpa,she,487,st:blood:1,st
blood,Idu,i¹_ru¹,487,st:blood:7,st
blood,Jingpo,sai³¹,487,st:blood:1,st
blood,Jinuo,ʃi⁴⁴,487,st:blood:1,st
blood,Kulung,hi,487,st:blood:2,st
blood,Lepcha,vi,487,st:blood:2,st
blood,Lhasa Tibetan,ćha⁵²,686,st:blood:4,st
blood,Lhota,echẽn,194,st:blood:2,st
