db,concept,doculect,counterpart,fullCC,inferredCC
st_4_train,warm,Alike Tibetan,ćo_ɣə,st_4_train:warm:1010,st_4_train:warm:8
st_4_train,warm,Apatari,gùbú,st_4_train:warm:1290,st_4_train:warm:2
st_4_train,warm,Batang Tibetan,ćo¹³_bo⁵³,st_4_train:warm:1010,st_4_train:warm:2
st_4_train,warm,Beijing,nuǎnxuo,st_4_train:warm:811,st_4_train:warm:6
st_4_train,warm,Bodo,duŋloʔb,st_4_train:warm:1029,st_4_train:warm:9
st_4_train,warm,Bokar,yiː_po,st_4_train:warm:1090,st_4_train:warm:29
st_4_train,warm,Bola,lam⁵⁵,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Burmese,nweː,st_4_train:warm:811,st_4_train:warm:10
st_4_train,warm,Dhimal,boboka,st_4_train:warm:1125,st_4_train:warm:11
st_4_train,warm,Dulong,lɨm⁵³,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Ersu,cha⁵⁵_cha⁵⁵,st_4_train:warm:176,st_4_train:warm:4
st_4_train,warm,Fuzhou,nuoŋ³³_xuo⁵²,st_4_train:warm:811,st_4_train:warm:6
st_4_train,warm,Garo,diŋ-a,st_4_train:warm:1029,st_4_train:warm:12
st_4_train,warm,Geba,ʔək̯o²²_k̯o²²,st_4_train:warm:422,st_4_train:warm:13
st_4_train,warm,Geker,k̯əɨʔ⁵³_la²²,st_4_train:warm:422,st_4_train:warm:14
st_4_train,warm,Guiqiong,jo³⁵,st_4_train:warm:1011,st_4_train:warm:30
st_4_train,warm,Gurung,laː¹-la,st_4_train:warm:422,st_4_train:warm:5
st_4_train,warm,Hakka,non¹,st_4_train:warm:811,st_4_train:warm:7
st_4_train,warm,Hill-Miri,og,st_4_train:warm:1290,st_4_train:warm:31
st_4_train,warm,Hmar,lum,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Horpa,xcɛ,st_4_train:warm:176,st_4_train:warm:15
st_4_train,warm,Idu,loŋ²,st_4_train:warm:422,st_4_train:warm:7
st_4_train,warm,Jingpo,lum³³,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Jinuo,ło⁴²_khə⁴²,st_4_train:warm:422,st_4_train:warm:16
st_4_train,warm,Jirel,ṭhom_L¹mu_L¹_E,st_4_train:warm:1010,st_4_train:warm:17
st_4_train,warm,Kaike,mhummɔ,st_4_train:warm:1160,st_4_train:warm:18
st_4_train,warm,Khaling,hɔynpɛ_L,st_4_train:warm:1134,st_4_train:warm:19
st_4_train,warm,Lepcha,ă,st_4_train:warm:1220,st_4_train:warm:20
st_4_train,warm,Lhasa Tibetan,ćho¹³_po⁵⁵,st_4_train:warm:1010,st_4_train:warm:2
st_4_train,warm,Lhota,elama,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Lijiang-Naxi,lv³¹_fv⁵⁵,st_4_train:warm:422,st_4_train:warm:21
st_4_train,warm,Limbu,mɔkmaʔ,st_4_train:warm:1160,st_4_train:warm:22
st_4_train,warm,Lushai,lum,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Lüsu,mæ³³nphi⁵⁵_m,st_4_train:warm:176,st_4_train:warm:23
st_4_train,warm,Manu,lạ¹¹,st_4_train:warm:422,st_4_train:warm:3
st_4_train,warm,Motuo-M,gom_bo,st_4_train:warm:1290,st_4_train:warm:2
st_4_train,warm,N-Qiang,ṣća_lə,st_4_train:warm:176,st_4_train:warm:24
st_4_train,warm,Ninglang-Naxi,chɨ³³,st_4_train:warm:176,st_4_train:warm:4
st_4_train,warm,Nusu,lɔ³⁵_ńɛr³⁵,st_4_train:warm:422,st_4_train:warm:7
st_4_train,warm,Old Chinese,ʔūn,st_4_train:warm:1320,st_4_train:warm:25
st_4_train,warm,Pa'O,lom²²²²,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Padam,i-ga,st_4_train:warm:1290,st_4_train:warm:26
st_4_train,warm,Quueyu,ły⁵⁵_ły³³,st_4_train:warm:422,st_4_train:warm:5
st_4_train,warm,Rawang,lim,st_4_train:warm:422,st_4_train:warm:1
st_4_train,warm,Rourou,læ³³,st_4_train:warm:422,st_4_train:warm:3
st_4_train,warm,Sgaw,k̯o⁴⁴_lə³³,st_4_train:warm:422,st_4_train:warm:5
st_4_train,warm,Sherpa,chandi_LR,st_4_train:warm:1446,st_4_train:warm:4
st_4_train,warm,Shixing,ji⁵⁵,st_4_train:warm:1011,st_4_train:warm:27
st_4_train,warm,Tujia,lo¹_xo¹_xui¹,st_4_train:warm:422,st_4_train:warm:28
st_4_train,warm,W. Kayah,lẹ¹¹,st_4_train:warm:422,st_4_train:warm:3
st_4_train,warm,Written Tibetan,dron__po,st_4_train:warm:1446,st_4_train:warm:2
st_4_train,warm,Xiaxe Tibetan,ćo_mbo,st_4_train:warm:1010,st_4_train:warm:2
st_4_train,warm,Yeinbaw,lạ³³,st_4_train:warm:422,st_4_train:warm:3
st_4_train,warm,Yintale,la¹¹,st_4_train:warm:422,st_4_train:warm:3
st_4_train,warm,Zhaba,lum⁵⁵,st_4_train:warm:422,st_4_train:warm:1
st_4_train,woman,Alike Tibetan,wəmńət,st_4_train:woman:1021,st_4_train:woman:15
st_4_train,woman,Ao-Chungli,tetzɨr,st_4_train:woman:817,st_4_train:woman:10
st_4_train,woman,Ao-Mongsen,anuti,st_4_train:woman:1401,st_4_train:woman:16
st_4_train,woman,Batang Tibetan,mü¹³_ńoʔ⁵³,st_4_train:woman:1401,st_4_train:woman:46
st_4_train,woman,Batang Tibetan,mü¹³_ńoʔ⁵³,st_4_train:woman:1404,st_4_train:woman:17
st_4_train,woman,Beijing,nǚrén,st_4_train:woman:1401,st_4_train:woman:11
st_4_train,woman,Bodo,hinzaw,st_4_train:woman:817,st_4_train:woman:18
st_4_train,woman,Bokar,ńe-məː,st_4_train:woman:1404,st_4_train:woman:2
st_4_train,woman,Bola,mi³¹_ɣɛ³¹,st_4_train:woman:1404,st_4_train:woman:3
st_4_train,woman,Burmese,minː_ma,st_4_train:woman:1404,st_4_train:woman:2
st_4_train,woman,Dhimal,bebal,st_4_train:woman:1404,st_4_train:woman:19
st_4_train,woman,Dimasa,masainʒu,st_4_train:woman:817,st_4_train:woman:12
