db,concept,doculect,counterpart,fullCC,inferredCC
st_prop_50_4_train,I,Alike Tibetan,ŋä,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Ao-Chungli,ni,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Ao-Mongsen,ni,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Apatari,ŋó,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Batang Tibetan,ŋa²³¹,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Beijing,wǒ,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Bodo,aŋ,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Bokar,ŋoː,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Bola,ŋa⁵⁵,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Burmese,ŋa,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Dhimal,ka,st_prop_50_4_train:I:615,st_prop_50_4_train:I:3
st_prop_50_4_train,I,Dimasa,aŋ,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Dulong,ŋa⁵³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Ersu,a⁵⁵,st_prop_50_4_train:I:769,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Fuzhou,ŋuai³³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Garo,aŋa,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Geba,jɛ³³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:5
st_prop_50_4_train,I,Geker,khe⁵³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:2
st_prop_50_4_train,I,Guiqiong,ŋö³⁵,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Gurung,ŋa¹,st_prop_50_4_train:I:769,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Hakka,ŋai²,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Hill-Miri,ŋo,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Horpa,ŋa,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Idu,ŋa²,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Jingpo,ŋai³³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Jinuo,ŋɔ⁴²,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Jirel,ŋa_L²,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Kaike,ŋa,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Khaling,uŋH,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Kulung,kɔŋ,st_prop_50_4_train:I:615,st_prop_50_4_train:I:3
st_prop_50_4_train,I,Lepcha,kă-do,st_prop_50_4_train:I:615,st_prop_50_4_train:I:3
st_prop_50_4_train,I,Lhasa Tibetan,ŋa¹³,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Lhota,a,st_prop_50_4_train:I:769,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Liangmai,i,st_prop_50_4_train:I:769,st_prop_50_4_train:I:4
st_prop_50_4_train,I,Lijiang-Naxi,ŋə³¹,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
st_prop_50_4_train,I,Limbu,\Iaŋgā,st_prop_50_4_train:I:615,st_prop_50_4_train:I:3
st_prop_50_4_train,I,Lushai,keima,st_prop_50_4_train:I:615,st_prop_50_4_train:I:2
st_prop_50_4_train,I,Lüsu,æ⁵³,st_prop_50_4_train:I:769,st_prop_50_4_train:I:2
st_prop_50_4_train,I,Manu,he¹¹,st_prop_50_4_train:I:615,st_prop_50_4_train:I:6
st_prop_50_4_train,I,Motuo-M,ʒ́aŋ,st_prop_50_4_train:I:764,st_prop_50_4_train:I:1
st_prop_50_4_train,I,N-Qiang,qa,st_prop_50_4_train:I:769,st_prop_50_4_train:I:3
st_prop_50_4_train,I,Namuzi,ŋa⁵⁵,st_prop_50_4_train:I:615,st_prop_50_4_train:I:1
