concept,doculect,counterpart,cc,inferredCC,db
good,Boluo_Tujia,ʦʰo²¹,46,tujia:good:1,tujia
good,Dianfang_Tujia,ʦʰa³⁵,46,tujia:good:1,tujia
good,Duogu_Tujia,ʦʰa²⁴,46,tujia:good:1,tujia
good,Tanxi_Tujia,ʦʰo³³,46,tujia:good:1,tujia
good,Tasha_Tujia,ʦʰa²⁴,46,tujia:good:1,tujia
hair,Boluo_Tujia,a²¹+bo⁵³+a²¹+so²¹,49,tujia:hair:2,tujia
hair,Dianfang_Tujia,sa³⁵+ʨʰi⁵⁵,49,tujia:hair:1,tujia
hair,Duogu_Tujia,sa²⁴+ʨʰi⁴⁴,49,tujia:hair:1,tujia
hair,Tanxi_Tujia,ʔa²¹+so²¹,49,tujia:hair:3,tujia
hair,Tasha_Tujia,sa²⁴+ʨʰi⁵⁵,49,tujia:hair:1,tujia
many,Boluo_Tujia,zi⁴⁵,77,tujia:many:1,tujia
many,Dianfang_Tujia,zi²¹,77,tujia:many:1,tujia
many,Duogu_Tujia,zi²¹,77,tujia:many:1,tujia
many,Tanxi_Tujia,zi³⁵,77,tujia:many:1,tujia
many,Tasha_Tujia,zi²¹,77,tujia:many:1,tujia
feather,Boluo_Tujia,a³³+so³³,37,tujia:feather:2,tujia
feather,Duogu_Tujia,ʨi²⁴+ka⁴⁴,36,tujia:feather:1,tujia
feather,Tasha_Tujia,si²⁴+ka²¹,36,tujia:feather:1,tujia
big,Boluo_Tujia,ʨʰi³³,6,tujia:big:1,tujia
big,Dianfang_Tujia,ʦʰi⁵⁵,6,tujia:big:1,tujia
big,Duogu_Tujia,ʦʰi⁵³,6,tujia:big:1,tujia
big,Tanxi_Tujia,ʨʰi³³,6,tujia:big:1,tujia
big,Tasha_Tujia,ʦʰi²¹,6,tujia:big:1,tujia
long,Boluo_Tujia,ɣɨe¹³,73,tujia:long:1,tujia
long,Dianfang_Tujia,ɣɨe²¹,73,tujia:long:1,tujia
long,Duogu_Tujia,ɣɨe²¹,73,tujia:long:1,tujia
long,Tanxi_Tujia,ɣɨe³⁵,73,tujia:long:1,tujia
long,Tasha_Tujia,ɣɤ²¹,73,tujia:long:1,tujia
tongue,Boluo_Tujia,ʣi²¹+la²¹,133,tujia:tongue:1,tujia
tongue,Dianfang_Tujia,ji³⁵+la⁵⁵,133,tujia:tongue:1,tujia
tongue,Duogu_Tujia,i²⁴+la⁵³,133,tujia:tongue:1,tujia
tongue,Tanxi_Tujia,ʣi²¹+la²¹,133,tujia:tongue:1,tujia
tongue,Tasha_Tujia,ji²⁴+la⁵⁵,133,tujia:tongue:1,tujia
I,Boluo_Tujia,ŋo³³,59,tujia:I:1,tujia
I,Dianfang_Tujia,ŋa³⁵,59,tujia:I:1,tujia
I,Duogu_Tujia,ŋa²⁴,59,tujia:I:1,tujia
I,Tanxi_Tujia,ŋo³³,59,tujia:I:1,tujia
I,Tasha_Tujia,ŋa²⁴,59,tujia:I:1,tujia
heavy,Boluo_Tujia,doʉ¹³,154,tujia:heavy:1,tujia
heavy,Dianfang_Tujia,tu⁵⁵,154,tujia:heavy:1,tujia
heavy,Duogu_Tujia,tu⁵³,154,tujia:heavy:1,tujia
heavy,Tanxi_Tujia,dʉ³⁵,154,tujia:heavy:1,tujia
heavy,Tasha_Tujia,tu²¹,154,tujia:heavy:1,tujia
we,Boluo_Tujia,a³³+ni³³,142,tujia:we:1,tujia
we,Dianfang_Tujia,ŋa³⁵+ni³⁵,142,tujia:we:1,tujia
we,Duogu_Tujia,ŋa²⁴+ni⁴⁴,142,tujia:we:1,tujia
we,Tanxi_Tujia,ʔa²¹+ni³³,142,tujia:we:1,tujia
we,Tasha_Tujia,aŋ²⁴,142,tujia:we:1,tujia
this,Boluo_Tujia,ʥia²¹+bu²¹,131,tujia:this:3,tujia
this,Dianfang_Tujia,ũ⁵⁵,129,tujia:this:2,tujia
this,Dianfang_Tujia,kaj³⁵,130,tujia:this:1,tujia
this,Duogu_Tujia,kaj²⁴+ti⁴⁴,130,tujia:this:1,tujia
this,Tanxi_Tujia,ʥia²¹,131,tujia:this:3,tujia
this,Tasha_Tujia,ɤŋ⁵⁵,129,tujia:this:2,tujia
this,Tasha_Tujia,kaj²⁴,130,tujia:this:1,tujia
thou,Boluo_Tujia,ni³³,132,tujia:thou:1,tujia
thou,Dianfang_Tujia,ni³⁵,132,tujia:thou:1,tujia
thou,Duogu_Tujia,ni²⁴,132,tujia:thou:1,tujia
thou,Tanxi_Tujia,ni³³,132,tujia:thou:1,tujia
thou,Tasha_Tujia,ni²⁴,132,tujia:thou:1,tujia
worm,Boluo_Tujia,ka⁵³+doʉ¹³+se²¹,165,tujia:worm:2,tujia
worm,Dianfang_Tujia,kʰuaj³⁵+ʨʰi⁵⁵+la⁵⁵,164,tujia:worm:1,tujia
worm,Duogu_Tujia,kʰuaj²⁴+ʨʰi²¹+la²¹,164,tujia:worm:1,tujia
worm,Tanxi_Tujia,ka²¹+dʉ³⁵+se²¹,165,tujia:worm:2,tujia
worm,Tasha_Tujia,kʰu̯aj⁵⁵+ʨʰi⁵⁵+la⁵⁵,164,tujia:worm:1,tujia
tail,Boluo_Tujia,liã²¹+to⁵³,126,tujia:tail:2,tujia
tail,Dianfang_Tujia,le²¹+pʰũ³⁵,126,tujia:tail:1,tujia
tail,Duogu_Tujia,nie²¹+pʰũ⁵³,126,tujia:tail:1,tujia
tail,Tanxi_Tujia,jiã²¹+tʉ⁵⁵,126,tujia:tail:2,tujia
tail,Tasha_Tujia,li̯ɛ²¹+pʰɔŋ²⁴,126,tujia:tail:1,tujia
nose,Boluo_Tujia,koʉ²¹+ʨi⁵³,91,tujia:nose:2,tujia
nose,Dianfang_Tujia,ẽ³⁵+ʨʰi⁵⁵,90,tujia:nose:1,tujia
nose,Duogu_Tujia,ũ²⁴+ʨʰi⁴⁴,90,tujia:nose:1,tujia
nose,Tanxi_Tujia,kʉ¹³+ʨi⁵⁵+dʉ³⁵,91,tujia:nose:2,tujia
nose,Tasha_Tujia,ɤŋ²⁴+ʨʰi⁵⁵,90,tujia:nose:1,tujia
heart,Boluo_Tujia,tu¹³+sẽ³³,57,tujia:heart:2,tujia
heart,Dianfang_Tujia,li⁵⁵+kʰo⁵⁵+lo³⁵,56,tujia:heart:1,tujia
heart,Duogu_Tujia,li⁵³+kʰo⁴⁴+lo⁴⁴,56,tujia:heart:1,tujia
heart,Tanxi_Tujia,li²¹+ŋa²¹,56,tujia:heart:3,tujia
heart,Tasha_Tujia,li⁵⁵+kʰu̯ɔ⁵⁵+lu̯ɔ⁵⁵,56,tujia:heart:1,tujia
liver,Dianfang_Tujia,ã⁵⁵+ŋa⁵⁵,72,tujia:liver:1,tujia
liver,Duogu_Tujia,a⁵³+ŋai⁴⁴,72,tujia:liver:1,tujia
liver,Tasha_Tujia,aŋ⁵⁵+a⁵⁵,72,tujia:liver:1,tujia
year,Dianfang_Tujia,nũ²¹,166,tujia:year:1,tujia
year,Tanxi_Tujia,niʉ³⁵,166,tujia:year:1,tujia
year,Tasha_Tujia,lɔŋ⁵⁵,166,tujia:year:2,tujia
earth,Boluo_Tujia,za⁵³,31,tujia:earth:1,tujia
earth,Dianfang_Tujia,zo⁵⁵,31,tujia:earth:1,tujia
earth,Duogu_Tujia,zo⁵³,31,tujia:earth:1,tujia
earth,Tanxi_Tujia,za⁵⁵,31,tujia:earth:1,tujia
earth,Tasha_Tujia,zu̯ɔ²¹,31,tujia:earth:1,tujia
new,Boluo_Tujia,a³³+ɕi³³,88,tujia:new:1,tujia
new,Dianfang_Tujia,a³⁵+si³⁵,88,tujia:new:1,tujia
new,Duogu_Tujia,ɣa²⁴+si⁴⁴,88,tujia:new:1,tujia
new,Tanxi_Tujia,ʔa⁵⁵+ɕi²¹,88,tujia:new:1,tujia
new,Tasha_Tujia,a²⁴+ɕi⁵⁵,88,tujia:new:1,tujia
warm,Boluo_Tujia,si²¹+to²¹,140,tujia:warm:2,tujia
warm,Dianfang_Tujia,kɨ²¹,139,tujia:warm:1,tujia
warm,Duogu_Tujia,kɨ²¹,139,tujia:warm:1,tujia
warm,Tanxi_Tujia,si²¹+to¹³,140,tujia:warm:2,tujia
warm,Tasha_Tujia,ki²¹,139,tujia:warm:1,tujia
who,Boluo_Tujia,a³³+si³³+ŋe³³,147,tujia:who:2,tujia
who,Dianfang_Tujia,a⁵⁵+se²¹,147,tujia:who:1,tujia
who,Duogu_Tujia,a⁵³+so²¹,147,tujia:who:1,tujia
who,Tanxi_Tujia,ʔa³³+si³³,147,tujia:who:2,tujia
who,Tasha_Tujia,a²¹+sɤ²¹,147,tujia:who:1,tujia
what,Boluo_Tujia,ʦʰu⁵³+u³³,145,tujia:what:2,tujia
what,Dianfang_Tujia,naj⁵⁵+ɕi²¹,144,tujia:what:1,tujia
what,Duogu_Tujia,naj⁵³+ɕi²¹,144,tujia:what:1,tujia
what,Tanxi_Tujia,ʦʰu⁵⁵+mo²¹,145,tujia:what:4,tujia
what,Tasha_Tujia,ʨʰi̯ɛ²¹,143,tujia:what:3,tujia
not,Boluo_Tujia,læ̃,93,tujia:not:2,tujia
not,Dianfang_Tujia,tʰa⁵⁵,92,tujia:not:1,tujia
not,Duogu_Tujia,tʰa⁵³,92,tujia:not:1,tujia
not,Tanxi_Tujia,ma⁵³,94,tujia:not:1,tujia
