db,concept,doculect,counterpart,fullCC,inferredCC
tujia_2_train,we,Boluo_Tujia,a³³+ni³³,tujia_2_train:we:142,tujia_2_train:we:1
tujia_2_train,we,Dianfang_Tujia,ŋa³⁵+ni³⁵,tujia_2_train:we:142,tujia_2_train:we:1
tujia_2_train,we,Duogu_Tujia,ŋa²⁴+ni⁴⁴,tujia_2_train:we:142,tujia_2_train:we:1
tujia_2_train,we,Tanxi_Tujia,ʔa²¹+ni³³,tujia_2_train:we:142,tujia_2_train:we:1
tujia_2_train,we,Tasha_Tujia,aŋ²⁴,tujia_2_train:we:142,tujia_2_train:we:1
tujia_2_train,liver,Dianfang_Tujia,ã⁵⁵+ŋa⁵⁵,tujia_2_train:liver:72,tujia_2_train:liver:1
tujia_2_train,liver,Duogu_Tujia,a⁵³+ŋai⁴⁴,tujia_2_train:liver:72,tujia_2_train:liver:1
tujia_2_train,liver,Tasha_Tujia,aŋ⁵⁵+a⁵⁵,tujia_2_train:liver:72,tujia_2_train:liver:1
tujia_2_train,new,Boluo_Tujia,a³³+ɕi³³,tujia_2_train:new:88,tujia_2_train:new:1
tujia_2_train,new,Dianfang_Tujia,a³⁵+si³⁵,tujia_2_train:new:88,tujia_2_train:new:1
tujia_2_train,new,Duogu_Tujia,ɣa²⁴+si⁴⁴,tujia_2_train:new:88,tujia_2_train:new:1
tujia_2_train,new,Tanxi_Tujia,ʔa⁵⁵+ɕi²¹,tujia_2_train:new:88,tujia_2_train:new:1
tujia_2_train,new,Tasha_Tujia,a²⁴+ɕi⁵⁵,tujia_2_train:new:88,tujia_2_train:new:1
tujia_2_train,neck,Boluo_Tujia,kua¹³+la⁵³,tujia_2_train:neck:87,tujia_2_train:neck:2
tujia_2_train,neck,Dianfang_Tujia,kʰũ⁵⁵+ti⁵⁵,tujia_2_train:neck:86,tujia_2_train:neck:1
tujia_2_train,neck,Duogu_Tujia,kʰũ⁴⁴+ti⁴⁴,tujia_2_train:neck:86,tujia_2_train:neck:1
tujia_2_train,neck,Tanxi_Tujia,gua²¹+la⁵⁵,tujia_2_train:neck:87,tujia_2_train:neck:2
tujia_2_train,neck,Tasha_Tujia,kʰɔŋ⁵⁵+ti⁵⁵,tujia_2_train:neck:86,tujia_2_train:neck:1
tujia_2_train,sun,Boluo_Tujia,no⁴⁵+doʉ³³,tujia_2_train:sun:123,tujia_2_train:sun:2
tujia_2_train,sun,Dianfang_Tujia,naw²¹,tujia_2_train:sun:123,tujia_2_train:sun:1
tujia_2_train,sun,Duogu_Tujia,naw²¹+ʦʰi²¹,tujia_2_train:sun:123,tujia_2_train:sun:1
tujia_2_train,sun,Tanxi_Tujia,lo³⁵+ji³³+dʉ¹³,tujia_2_train:sun:123,tujia_2_train:sun:3
tujia_2_train,sun,Tasha_Tujia,law²¹,tujia_2_train:sun:123,tujia_2_train:sun:1
tujia_2_train,breast,Boluo_Tujia,dẽ³³+go¹³+lẽ³³,tujia_2_train:breast:14,tujia_2_train:breast:3
tujia_2_train,breast,Dianfang_Tujia,li⁵⁵+kʰo⁵⁵+ʦʰũ⁵⁵,tujia_2_train:breast:14,tujia_2_train:breast:1
tujia_2_train,breast,Tanxi_Tujia,ɕiõ⁵⁵+kẽ²¹+ʥiã²¹,tujia_2_train:breast:15,tujia_2_train:breast:2
tujia_2_train,breast,Tasha_Tujia,li⁵⁵+ku̯ɔ⁵⁵+ʦʰɔŋ⁵⁵,tujia_2_train:breast:14,tujia_2_train:breast:1
tujia_2_train,know,Boluo_Tujia,ɕie⁵³,tujia_2_train:know:66,tujia_2_train:know:2
tujia_2_train,know,Dianfang_Tujia,xau⁵⁵+ɕi³⁵,tujia_2_train:know:65,tujia_2_train:know:1
tujia_2_train,know,Duogu_Tujia,xau⁵³+ɕi⁴⁴,tujia_2_train:know:65,tujia_2_train:know:1
tujia_2_train,know,Tanxi_Tujia,ɕe⁵⁵+ʦʰe⁵⁵,tujia_2_train:know:66,tujia_2_train:know:3
tujia_2_train,know,Tasha_Tujia,xa²¹+zi²¹,tujia_2_train:know:65,tujia_2_train:know:1
tujia_2_train,green,Boluo_Tujia,ɕi²¹,tujia_2_train:green:47,tujia_2_train:green:2
tujia_2_train,green,Dianfang_Tujia,lu³⁵+ka⁵⁵,tujia_2_train:green:48,tujia_2_train:green:1
tujia_2_train,green,Duogu_Tujia,lu²¹+lu²¹+ti⁴⁴,tujia_2_train:green:48,tujia_2_train:green:3
tujia_2_train,green,Tanxi_Tujia,lu²¹,tujia_2_train:green:48,tujia_2_train:green:1
tujia_2_train,green,Tasha_Tujia,ɕiŋ²⁴+ka⁵⁵,tujia_2_train:green:47,tujia_2_train:green:1
tujia_2_train,swim,Duogu_Tujia,ʦʰe²¹+ʨʰiw²¹,tujia_2_train:swim:125,tujia_2_train:swim:2
tujia_2_train,swim,Tasha_Tujia,ʨi̯ɛ²⁴+ta⁵⁵+wu²¹,tujia_2_train:swim:124,tujia_2_train:swim:1
tujia_2_train,fly,Boluo_Tujia,mu³³+ʥi³³,tujia_2_train:fly:42,tujia_2_train:fly:2
tujia_2_train,fly,Dianfang_Tujia,za⁵⁵,tujia_2_train:fly:41,tujia_2_train:fly:1
tujia_2_train,fly,Duogu_Tujia,za⁵³,tujia_2_train:fly:41,tujia_2_train:fly:1
tujia_2_train,fly,Tanxi_Tujia,mu³³+ʣi³³,tujia_2_train:fly:42,tujia_2_train:fly:2
tujia_2_train,fly,Tasha_Tujia,za²⁴,tujia_2_train:fly:41,tujia_2_train:fly:1
tujia_2_train,stand,Boluo_Tujia,du³³,tujia_2_train:stand:119,tujia_2_train:stand:2
tujia_2_train,stand,Dianfang_Tujia,ʦu⁵⁵+ʦu⁵⁵,tujia_2_train:stand:118,tujia_2_train:stand:1
tujia_2_train,stand,Duogu_Tujia,ʦu⁵³+ʦu⁵³,tujia_2_train:stand:118,tujia_2_train:stand:1
tujia_2_train,stand,Tanxi_Tujia,du³³,tujia_2_train:stand:119,tujia_2_train:stand:2
tujia_2_train,stand,Tasha_Tujia,ʦu⁵⁵+ʦu²¹,tujia_2_train:stand:118,tujia_2_train:stand:1
tujia_2_train,seed,Boluo_Tujia,a³³+lie³³,tujia_2_train:seed:111,tujia_2_train:seed:1
tujia_2_train,seed,Dianfang_Tujia,ne⁵⁵+nã⁵⁵,tujia_2_train:seed:109,tujia_2_train:seed:2
tujia_2_train,seed,Duogu_Tujia,pu²⁴+li⁵³,tujia_2_train:seed:110,tujia_2_train:seed:3
tujia_2_train,seed,Tanxi_Tujia,ʔa³³+le³³,tujia_2_train:seed:111,tujia_2_train:seed:1
tujia_2_train,seed,Tasha_Tujia,ni̯ɛ⁵⁵+laŋ⁵⁵,tujia_2_train:seed:109,tujia_2_train:seed:2
tujia_2_train,egg,Boluo_Tujia,si²¹+ŋɨe²¹+a¹³+lɨe⁵³,tujia_2_train:egg:34,tujia_2_train:egg:3
tujia_2_train,egg,Dianfang_Tujia,a⁵⁵+le⁵⁵,tujia_2_train:egg:34,tujia_2_train:egg:1
tujia_2_train,egg,Tanxi_Tujia,ʔa²¹+le⁵⁵,tujia_2_train:egg:34,tujia_2_train:egg:2
tujia_2_train,egg,Tasha_Tujia,a⁵⁵+li̯ɛ⁵⁵,tujia_2_train:egg:34,tujia_2_train:egg:1
tujia_2_train,water,Boluo_Tujia,ʦʰe¹³,tujia_2_train:water:141,tujia_2_train:water:1
tujia_2_train,water,Dianfang_Tujia,ʦʰe²¹,tujia_2_train:water:141,tujia_2_train:water:1
tujia_2_train,water,Duogu_Tujia,ʦʰe²¹,tujia_2_train:water:141,tujia_2_train:water:1
tujia_2_train,water,Tanxi_Tujia,ʦʰe³⁵,tujia_2_train:water:141,tujia_2_train:water:1
tujia_2_train,water,Tasha_Tujia,ʨʰɤ²¹,tujia_2_train:water:141,tujia_2_train:water:1
