db,concept,doculect,counterpart,fullCC,inferredCC
tujia_prop_50_2_train,I,Boluo_Tujia,ŋo³³,tujia_prop_50_2_train:I:59,tujia_prop_50_2_train:I:1
tujia_prop_50_2_train,I,Dianfang_Tujia,ŋa³⁵,tujia_prop_50_2_train:I:59,tujia_prop_50_2_train:I:1
tujia_prop_50_2_train,I,Duogu_Tujia,ŋa²⁴,tujia_prop_50_2_train:I:59,tujia_prop_50_2_train:I:1
tujia_prop_50_2_train,I,Tanxi_Tujia,ŋo³³,tujia_prop_50_2_train:I:59,tujia_prop_50_2_train:I:1
tujia_prop_50_2_train,I,Tasha_Tujia,ŋa²⁴,tujia_prop_50_2_train:I:59,tujia_prop_50_2_train:I:1
tujia_prop_50_2_train,heavy,Boluo_Tujia,doʉ¹³,tujia_prop_50_2_train:heavy:154,tujia_prop_50_2_train:heavy:1
tujia_prop_50_2_train,heavy,Dianfang_Tujia,tu⁵⁵,tujia_prop_50_2_train:heavy:154,tujia_prop_50_2_train:heavy:1
tujia_prop_50_2_train,heavy,Duogu_Tujia,tu⁵³,tujia_prop_50_2_train:heavy:154,tujia_prop_50_2_train:heavy:1
tujia_prop_50_2_train,heavy,Tanxi_Tujia,dʉ³⁵,tujia_prop_50_2_train:heavy:154,tujia_prop_50_2_train:heavy:1
tujia_prop_50_2_train,heavy,Tasha_Tujia,tu²¹,tujia_prop_50_2_train:heavy:154,tujia_prop_50_2_train:heavy:1
tujia_prop_50_2_train,we,Boluo_Tujia,a³³+ni³³,tujia_prop_50_2_train:we:142,tujia_prop_50_2_train:we:1
tujia_prop_50_2_train,we,Dianfang_Tujia,ŋa³⁵+ni³⁵,tujia_prop_50_2_train:we:142,tujia_prop_50_2_train:we:1
tujia_prop_50_2_train,we,Duogu_Tujia,ŋa²⁴+ni⁴⁴,tujia_prop_50_2_train:we:142,tujia_prop_50_2_train:we:1
tujia_prop_50_2_train,we,Tanxi_Tujia,ʔa²¹+ni³³,tujia_prop_50_2_train:we:142,tujia_prop_50_2_train:we:1
tujia_prop_50_2_train,we,Tasha_Tujia,aŋ²⁴,tujia_prop_50_2_train:we:142,tujia_prop_50_2_train:we:1
tujia_prop_50_2_train,this,Boluo_Tujia,ʥia²¹+bu²¹,tujia_prop_50_2_train:this:131,tujia_prop_50_2_train:this:3
tujia_prop_50_2_train,this,Dianfang_Tujia,ũ⁵⁵,tujia_prop_50_2_train:this:129,tujia_prop_50_2_train:this:2
tujia_prop_50_2_train,this,Dianfang_Tujia,kaj³⁵,tujia_prop_50_2_train:this:130,tujia_prop_50_2_train:this:1
tujia_prop_50_2_train,this,Duogu_Tujia,kaj²⁴+ti⁴⁴,tujia_prop_50_2_train:this:130,tujia_prop_50_2_train:this:1
tujia_prop_50_2_train,this,Tanxi_Tujia,ʥia²¹,tujia_prop_50_2_train:this:131,tujia_prop_50_2_train:this:3
tujia_prop_50_2_train,this,Tasha_Tujia,ɤŋ⁵⁵,tujia_prop_50_2_train:this:129,tujia_prop_50_2_train:this:2
tujia_prop_50_2_train,this,Tasha_Tujia,kaj²⁴,tujia_prop_50_2_train:this:130,tujia_prop_50_2_train:this:1
tujia_prop_50_2_train,worm,Boluo_Tujia,ka⁵³+doʉ¹³+se²¹,tujia_prop_50_2_train:worm:165,tujia_prop_50_2_train:worm:2
tujia_prop_50_2_train,worm,Dianfang_Tujia,kʰuaj³⁵+ʨʰi⁵⁵+la⁵⁵,tujia_prop_50_2_train:worm:164,tujia_prop_50_2_train:worm:1
tujia_prop_50_2_train,worm,Duogu_Tujia,kʰuaj²⁴+ʨʰi²¹+la²¹,tujia_prop_50_2_train:worm:164,tujia_prop_50_2_train:worm:1
tujia_prop_50_2_train,worm,Tanxi_Tujia,ka²¹+dʉ³⁵+se²¹,tujia_prop_50_2_train:worm:165,tujia_prop_50_2_train:worm:2
tujia_prop_50_2_train,worm,Tasha_Tujia,kʰu̯aj⁵⁵+ʨʰi⁵⁵+la⁵⁵,tujia_prop_50_2_train:worm:164,tujia_prop_50_2_train:worm:1
tujia_prop_50_2_train,tail,Boluo_Tujia,liã²¹+to⁵³,tujia_prop_50_2_train:tail:126,tujia_prop_50_2_train:tail:2
