db,concept,doculect,counterpart,fullCC,inferredCC
ura_4_train,because,Erzya,ɕeks,ura_4_train:because:2360,ura_4_train:because:11
ura_4_train,because,Erzya,ɕeks_meks,ura_4_train:because:2360,ura_4_train:because:10
ura_4_train,because,Ingrian,sentæː,ura_4_train:because:2,ura_4_train:because:9
ura_4_train,because,Ingrian,sem_peræst,ura_4_train:because:2363,ura_4_train:because:8
ura_4_train,because,Komi-Permyak,ɕiʥ_kɯʥ,ura_4_train:because:2369,ura_4_train:because:7
ura_4_train,because,Komi-Permyak,dɑ,ura_4_train:because:2368,ura_4_train:because:6
ura_4_train,because,Komi-Zyrian,sɯ_pondɑ,ura_4_train:because:2359,ura_4_train:because:5
ura_4_train,because,Komi-Zyrian,sɯ_vɤsnɑ,ura_4_train:because:2364,ura_4_train:because:4
ura_4_train,because,Nganasan,ɲiːðə,ura_4_train:because:2367,ura_4_train:because:3
ura_4_train,because,Nganasan,suəbəsɯ,ura_4_train:because:2370,ura_4_train:because:2
ura_4_train,because,Udmurt,mɑlɯ_ke_ʃuono,ura_4_train:because:2365,ura_4_train:because:1
ura_4_train,tongue,Erzya,keʎ,ura_4_train:tongue:51,ura_4_train:tongue:1
ura_4_train,tongue,Ingrian,keːli,ura_4_train:tongue:51,ura_4_train:tongue:1
ura_4_train,tongue,Komi-Permyak,kɯv,ura_4_train:tongue:51,ura_4_train:tongue:1
ura_4_train,tongue,Komi-Zyrian,kɯv,ura_4_train:tongue:51,ura_4_train:tongue:1
ura_4_train,tongue,Nganasan,ɕiədʲə,ura_4_train:tongue:51,ura_4_train:tongue:2
ura_4_train,tongue,Selkup,ɕeː,ura_4_train:tongue:51,ura_4_train:tongue:3
ura_4_train,tongue,Udmurt,kɯl,ura_4_train:tongue:51,ura_4_train:tongue:1
ura_4_train,heart,Erzya,ɕedʲej,ura_4_train:heart:2735,ura_4_train:heart:5
ura_4_train,heart,Ingrian,syæn,ura_4_train:heart:2735,ura_4_train:heart:4
ura_4_train,heart,Komi-Permyak,ɕɤlɤm,ura_4_train:heart:2735,ura_4_train:heart:1
ura_4_train,heart,Komi-Zyrian,ɕɤlɤm,ura_4_train:heart:2735,ura_4_train:heart:1
ura_4_train,heart,Nganasan,səː,ura_4_train:heart:2735,ura_4_train:heart:3
ura_4_train,heart,Selkup,siːʨə,ura_4_train:heart:2735,ura_4_train:heart:2
ura_4_train,heart,Udmurt,ɕulem,ura_4_train:heart:2735,ura_4_train:heart:1
ura_4_train,warm,Erzya,ʎembe,ura_4_train:warm:3479,ura_4_train:warm:2
ura_4_train,warm,Ingrian,vɑri,ura_4_train:warm:3487,ura_4_train:warm:7
ura_4_train,warm,Ingrian,soːjɑ,ura_4_train:warm:3480,ura_4_train:warm:3
ura_4_train,warm,Ingrian,læmmæː,ura_4_train:warm:3479,ura_4_train:warm:2
ura_4_train,warm,Komi-Permyak,ʃonɯt,ura_4_train:warm:3482,ura_4_train:warm:1
ura_4_train,warm,Komi-Zyrian,ʃonɯd,ura_4_train:warm:3482,ura_4_train:warm:1
ura_4_train,warm,Nganasan,ɲyɲɑ,ura_4_train:warm:3485,ura_4_train:warm:6
ura_4_train,warm,Nganasan,hekusɯ,ura_4_train:warm:3489,ura_4_train:warm:5
ura_4_train,warm,Selkup,pyː,ura_4_train:warm:3481,ura_4_train:warm:4
ura_4_train,warm,Udmurt,ʃunɯt,ura_4_train:warm:3482,ura_4_train:warm:1
ura_4_train,smooth,Erzya,vɑlɑɲɑ,ura_4_train:smooth:3226,ura_4_train:smooth:1
