db,concept,doculect,counterpart,fullCC,inferredCC
ura_prop_50_2_train,good,Erzya,pɑro,ura_prop_50_2_train:good:2693,ura_prop_50_2_train:good:1
ura_prop_50_2_train,good,Ingrian,hyvæ,ura_prop_50_2_train:good:2692,ura_prop_50_2_train:good:7
ura_prop_50_2_train,good,Komi-Permyak,bur,ura_prop_50_2_train:good:2693,ura_prop_50_2_train:good:1
ura_prop_50_2_train,good,Komi-Zyrian,bur,ura_prop_50_2_train:good:2693,ura_prop_50_2_train:good:1
ura_prop_50_2_train,good,Komi-Zyrian,ʃɑɲ,ura_prop_50_2_train:good:2695,ura_prop_50_2_train:good:6
ura_prop_50_2_train,good,Nganasan,ɲɑgəː,ura_prop_50_2_train:good:2701,ura_prop_50_2_train:good:5
ura_prop_50_2_train,good,Selkup,somɑ,ura_prop_50_2_train:good:2699,ura_prop_50_2_train:good:4
ura_prop_50_2_train,good,Udmurt,umoj,ura_prop_50_2_train:good:2696,ura_prop_50_2_train:good:3
ura_prop_50_2_train,good,Udmurt,ʥeʨ,ura_prop_50_2_train:good:2697,ura_prop_50_2_train:good:2
ura_prop_50_2_train,because,Erzya,ɕeks,ura_prop_50_2_train:because:2360,ura_prop_50_2_train:because:11
ura_prop_50_2_train,because,Erzya,ɕeks_meks,ura_prop_50_2_train:because:2360,ura_prop_50_2_train:because:10
ura_prop_50_2_train,because,Ingrian,sentæː,ura_prop_50_2_train:because:2,ura_prop_50_2_train:because:9
ura_prop_50_2_train,because,Ingrian,sem_peræst,ura_prop_50_2_train:because:2363,ura_prop_50_2_train:because:8
ura_prop_50_2_train,because,Komi-Permyak,ɕiʥ_kɯʥ,ura_prop_50_2_train:because:2369,ura_prop_50_2_train:because:7
ura_prop_50_2_train,because,Komi-Permyak,dɑ,ura_prop_50_2_train:because:2368,ura_prop_50_2_train:because:6
ura_prop_50_2_train,because,Komi-Zyrian,sɯ_pondɑ,ura_prop_50_2_train:because:2359,ura_prop_50_2_train:because:5
ura_prop_50_2_train,because,Komi-Zyrian,sɯ_vɤsnɑ,ura_prop_50_2_train:because:2364,ura_prop_50_2_train:because:4
ura_prop_50_2_train,because,Nganasan,ɲiːðə,ura_prop_50_2_train:because:2367,ura_prop_50_2_train:because:3
ura_prop_50_2_train,because,Nganasan,suəbəsɯ,ura_prop_50_2_train:because:2370,ura_prop_50_2_train:because:2
ura_prop_50_2_train,because,Udmurt,mɑlɯ_ke_ʃuono,ura_prop_50_2_train:because:2365,ura_prop_50_2_train:because:1
ura_prop_50_2_train,many,Erzya,lɑmo,ura_prop_50_2_train:many:2872,ura_prop_50_2_train:many:5
ura_prop_50_2_train,many,Ingrian,moni,ura_prop_50_2_train:many:2871,ura_prop_50_2_train:many:6
ura_prop_50_2_train,many,Komi-Permyak,unɑ,ura_prop_50_2_train:many:2874,ura_prop_50_2_train:many:1
ura_prop_50_2_train,many,Komi-Zyrian,unɑ,ura_prop_50_2_train:many:2874,ura_prop_50_2_train:many:1
ura_prop_50_2_train,many,Nganasan,ŋuŋkəgə,ura_prop_50_2_train:many:2879,ura_prop_50_2_train:many:4
ura_prop_50_2_train,many,Selkup,koʨʨə,ura_prop_50_2_train:many:2880,ura_prop_50_2_train:many:3
ura_prop_50_2_train,many,Udmurt,tros,ura_prop_50_2_train:many:2877,ura_prop_50_2_train:many:2
ura_prop_50_2_train,husband,Erzya,mirʲdʲe,ura_prop_50_2_train:husband:2783,ura_prop_50_2_train:husband:10
ura_prop_50_2_train,husband,Ingrian,meːz,ura_prop_50_2_train:husband:2782,ura_prop_50_2_train:husband:9
ura_prop_50_2_train,husband,Komi-Permyak,muʒik,ura_prop_50_2_train:husband:2791,ura_prop_50_2_train:husband:8
ura_prop_50_2_train,husband,Komi-Permyak,ɑjkɑ,ura_prop_50_2_train:husband:2788,ura_prop_50_2_train:husband:7
ura_prop_50_2_train,husband,Komi-Permyak,ʒɤnik,ura_prop_50_2_train:husband:2790,ura_prop_50_2_train:husband:6
ura_prop_50_2_train,husband,Komi-Zyrian,verɤs,ura_prop_50_2_train:husband:2785,ura_prop_50_2_train:husband:5
ura_prop_50_2_train,husband,Nganasan,bəbə_ʧərə,ura_prop_50_2_train:husband:2793,ura_prop_50_2_train:husband:4
ura_prop_50_2_train,husband,Nganasan,kuədʲumu,ura_prop_50_2_train:husband:2787,ura_prop_50_2_train:husband:3
ura_prop_50_2_train,husband,Selkup,tipi,ura_prop_50_2_train:husband:2789,ura_prop_50_2_train:husband:2
ura_prop_50_2_train,husband,Udmurt,kɑrt,ura_prop_50_2_train:husband:2786,ura_prop_50_2_train:husband:1
ura_prop_50_2_train,feather,Erzya,tolgɑ,ura_prop_50_2_train:feather:2591,ura_prop_50_2_train:feather:1
ura_prop_50_2_train,feather,Ingrian,sulg̊ɑ,ura_prop_50_2_train:feather:19,ura_prop_50_2_train:feather:1
ura_prop_50_2_train,feather,Ingrian,høyhen,ura_prop_50_2_train:feather:2596,ura_prop_50_2_train:feather:5
ura_prop_50_2_train,feather,Komi-Permyak,bordtɯv,ura_prop_50_2_train:feather:20,ura_prop_50_2_train:feather:4
ura_prop_50_2_train,feather,Komi-Permyak,gɤn,ura_prop_50_2_train:feather:2594,ura_prop_50_2_train:feather:3
ura_prop_50_2_train,feather,Komi-Zyrian,gɤn,ura_prop_50_2_train:feather:2594,ura_prop_50_2_train:feather:3
ura_prop_50_2_train,feather,Nganasan,totə,ura_prop_50_2_train:feather:2591,ura_prop_50_2_train:feather:2
ura_prop_50_2_train,feather,Selkup,tuː,ura_prop_50_2_train:feather:2591,ura_prop_50_2_train:feather:2
ura_prop_50_2_train,feather,Selkup,tɑr,ura_prop_50_2_train:feather:2595,ura_prop_50_2_train:feather:1
ura_prop_50_2_train,feather,Udmurt,tɯlɯ,ura_prop_50_2_train:feather:2591,ura_prop_50_2_train:feather:1
